term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 1582.0135208072636 1.2327404730076716 
eeeeeee 	 2859.861737092173 0.9573030236033381 
zzzzzzz 	 5719.723474184346 0.6292463765070894 
tttttttnn 	 11439.446948368692 0.37335649340935156 
eeee 	 5719.723474184346 0.6292463765070894 
hazai 	 11698.980554451822 0.37335649340935156 
sajto 	 6131.5117928790505 0.6292463765070894 
sajtokivonatok 	 16855.60553150247 0.37335649340935156 
napi 	 6285.624472838039 0.6292463765070894 
hetilapokbol 	 12571.248945676078 0.37335649340935156 
szent 	 12115.848477430174 0.37335649340935156 
hirek 	 12263.023585758101 0.37335649340935156 
sorok 	 12571.248945676078 0.37335649340935156 
kozt 	 13252.330114386506 0.37335649340935156 
olvaso 	 4190.416315225359 0.8155708190868105 
szabad 	 2828.6575387515354 0.9573030236033381 
velemenyeivel 	 15533.064077590703 0.37335649340935156 
tarkitva 	 15533.064077590703 0.37335649340935156 
magyar 	 246.0909921255743 1.8234565607219013 
nsz 	 1919.7699901917063 1.2327404730076716 
nepszabadsag 	 11972.93992064504 0.37335649340935156 
hirlap 	 6057.924238715087 0.6292463765070894 
nszv 	 6719.194965670972 0.6292463765070894 
nepszava 	 12732.902772193422 0.37335649340935156 
esti 	 13438.389931341944 0.37335649340935156 
hvg 	 14491.310245811374 0.37335649340935156 
heti 	 7021.40968962857 0.6292463765070894 
vilaggazdasag 	 6815.874023593809 0.6292463765070894 
napigazdasag 	 22666.374663466788 0.37335649340935156 
copyright 	 3845.052896499247 0.37335649340935156 
egyszer 	 6285.624472838039 0.6292463765070894 
mar 	 1807.4584947618034 1.1586578658338689 
megjelent 	 12414.727862985197 0.37335649340935156 
hetilap 	 14042.81937925714 0.37335649340935156 
anyagot 	 14261.966568731352 0.37335649340935156 
szabadon 	 4543.916015729206 0.8155708190868105 
utankozolhetonek 	 14731.845755166672 0.37335649340935156 
tart 	 12571.248945676078 0.37335649340935156 
hatarontul 	 15251.273097359757 0.37335649340935156 
alkotmanyellenes 	 19907.468828945155 0.37335649340935156 
rendkivuli 	 5893.060722963961 0.8155708190868105 
orszaggyules 	 2726.3496094375237 1.0687402458985191 
hazszabalyellenes 	 29500.80586378785 0.37335649340935156 
ugyvitele 	 29500.80586378785 0.37335649340935156 
erdelyi 	 4122.563307196156 0.9573030236033381 
magyarjaink 	 14750.402931893925 0.6292463765070894 
elarulasa 	 26083.59026362732 0.37335649340935156 
ugyeben 	 4910.6152517222245 0.8155708190868105 
kedden 	 9074.530677663603 0.6292463765070894 
orakor 	 20667.431680493537 0.37335649340935156 
ossze 	 13252.330114386506 0.37335649340935156 
ulese 	 10783.138477743867 0.6292463765070894 
roman 	 716.6687456641408 1.610247576754768 
alapszerzodes 	 1396.0816427174773 1.4979710665367054 
nem 	 155.97316402325131 1.884368499379958 
dolt 	 24084.64728065407 0.37335649340935156 
hogy 	 96.29647517957255 1.9269951915993426 
felszolalhat 	 29500.80586378785 0.37335649340935156 
marko 	 21566.276955487734 0.37335649340935156 
bela 	 13073.037628624093 0.37335649340935156 
rmdsz 	 10333.715840246768 0.6292463765070894 
elnok 	 4138.242620995065 0.8155708190868105 
hazszabalytol 	 29500.80586378785 0.37335649340935156 
elteroen 	 21566.276955487734 0.37335649340935156 
meg 	 425.92671714041705 1.7129599279616987 
szavazni 	 20667.431680493537 0.37335649340935156 
fog 	 3407.9370117969047 0.9573030236033381 
ellenzek 	 3622.8275614528434 0.9573030236033381 
altal 	 2859.861737092173 0.9573030236033381 
beterjesztett 	 24084.64728065407 0.37335649340935156 
hatarozati 	 21566.276955487734 0.37335649340935156 
javaslatrol 	 22666.374663466788 0.37335649340935156 
eloterjesztok 	 29500.80586378785 0.37335649340935156 
neveben 	 5383.3727907846505 0.8155708190868105 
isepy 	 20667.431680493537 0.37335649340935156 
tamas 	 6815.874023593809 0.6292463765070894 
kdnp 	 13252.330114386506 0.37335649340935156 
frakciovezetoje 	 9074.530677663603 0.6292463765070894 
kap 	 14731.845755166672 0.37335649340935156 
elsokent 	 20667.431680493537 0.37335649340935156 
szot 	 14042.81937925714 0.37335649340935156 
koveti 	 21566.276955487734 0.37335649340935156 
kormany 	 1119.2895574935612 1.3930670702115353 
kepviseloje 	 15251.273097359757 0.37335649340935156 
mindketten 	 7555.458221155596 0.8155708190868105 
percet 	 26083.59026362732 0.37335649340935156 
beszelhetnek 	 29500.80586378785 0.37335649340935156 
vitaban 	 18668.488697520286 0.37335649340935156 
felvaltva 	 29500.80586378785 0.37335649340935156 
szolalnak 	 29500.80586378785 0.37335649340935156 
koalicio 	 14491.310245811374 0.37335649340935156 
kepviseloi 	 14261.966568731352 0.37335649340935156 
hazszabaly 	 19907.468828945155 0.37335649340935156 
szerinti 	 19249.15906330626 0.37335649340935156 
idokeretben 	 29500.80586378785 0.37335649340935156 
gal 	 17679.182168891883 0.37335649340935156 
zoltan 	 15533.064077590703 0.37335649340935156 
kezdemenyezni 	 22666.374663466788 0.37335649340935156 
fogja 	 13073.037628624093 0.37335649340935156 
televizio 	 15831.943463145728 0.37335649340935156 
legalabb 	 2019.3080795716955 1.1586578658338689 
addig 	 13252.330114386506 0.37335649340935156 
kozvetitse 	 29500.80586378785 0.37335649340935156 
vitat 	 18149.061355327205 0.37335649340935156 
amig 	 13833.000480172477 0.37335649340935156 
minden 	 1006.7358768773495 1.4325891394660473 
frakcio 	 4419.795542222971 0.9573030236033381 
egy 	 553.7047322825422 1.6422511449202646 
szoszoloja 	 24084.64728065407 0.37335649340935156 
kifejti 	 22666.374663466788 0.37335649340935156 
velemenyet 	 6416.386354435419 0.8155708190868105 
letenek 	 29500.80586378785 0.37335649340935156 
alapveto 	 4910.6152517222245 0.8155708190868105 
kerdeseiben 	 26083.59026362732 0.37335649340935156 
hazszabalyellenesen 	 29500.80586378785 0.37335649340935156 
lebonyolitani 	 29500.80586378785 0.37335649340935156 
orszaggyulesi 	 7245.655122905687 0.6292463765070894 
akciot 	 19907.468828945155 0.37335649340935156 
tokeletesen 	 2525.5974526988407 1.2327404730076716 
jogtalanna 	 29500.80586378785 0.37335649340935156 
igy 	 2214.8189291301687 1.0687402458985191 
ervenytelenne 	 29500.80586378785 0.37335649340935156 
teszi 	 6719.194965670972 0.6292463765070894 
barminemu 	 13041.79513181366 0.6292463765070894 
hozzajarulasat 	 29500.80586378785 0.37335649340935156 
tortenelem 	 8625.108040166504 0.6292463765070894 
legaljasabb 	 14750.402931893925 0.6292463765070894 
dokumentumahoz 	 29500.80586378785 0.37335649340935156 
pufajkas 	 4680.939793085713 0.8155708190868105 
tokes 	 2809.2675885837452 1.1586578658338689 
laszlo 	 2043.8372642930167 1.1586578658338689 
kozul 	 12263.023585758101 0.37335649340935156 
valamelyik 	 18149.061355327205 0.37335649340935156 
hazudik 	 16490.253228784622 0.37335649340935156 
melyik 	 5618.5351771674905 0.8155708190868105 
kis 	 12571.248945676078 0.37335649340935156 
segitseg 	 20667.431680493537 0.37335649340935156 
sohasem 	 16855.60553150247 0.37335649340935156 
volt 	 2768.523661412711 0.9573030236033381 
szabadsagharcosok 	 24084.64728065407 0.37335649340935156 
gyilkosa 	 29500.80586378785 0.37335649340935156 
bizonyitott 	 19907.468828945155 0.37335649340935156 
elismert 	 18668.488697520286 0.37335649340935156 
hazaarulo 	 13041.79513181366 0.6292463765070894 
kezdemenyezte 	 24084.64728065407 0.37335649340935156 
csucstalalkozo 	 26083.59026362732 0.37335649340935156 
osszehivasat 	 29500.80586378785 0.37335649340935156 
szandekaban 	 24084.64728065407 0.37335649340935156 
ezt 	 1119.2895574935612 1.3930670702115353 
allaspontot 	 19249.15906330626 0.37335649340935156 
magas 	 7492.360848248649 0.6292463765070894 
