term 	 tf-idf weight 	 BM25 ranking 
 lancaster 	 398.2567970886179 1.8450954419903685 
county 	 300.5823266187757 1.7986587034132995 
solid 	 1398.913451323395 1.4972087520205302 
waste 	 154.62971208686506 1.9084440155728923 
management 	 633.2503035173344 1.4972087520205302 
authority 	 827.3640405484109 1.4972087520205302 
pennsylvania 	 1135.5175227106158 1.4972087520205302 
rules 	 176.34847222637333 1.8741265159511225 
regulations 	 163.57346360491889 1.8939934791163078 
recycl01 	 928.2115584836254 1.712461403575649 
gif 	 65.66050615715449 1.712461403575649 
licenses 	 767.2249650100567 1.712461403575649 
manifests 	 1856.4231169672507 1.4972087520205302 
person 	 56.22518789642254 1.9496365290401196 
excepting 	 1136.9478933305663 1.712461403575649 
transporting 	 767.2249650100567 1.712461403575649 
regulated 	 618.8077056557503 1.7986587034132995 
municipal 	 466.30448377446504 1.7986587034132995 
generated 	 370.9270002056987 1.8450954419903685 
person's 	 622.4183551211462 1.712461403575649 
primary 	 466.93939365349553 1.712461403575649 
residence 	 558.4886301631158 1.712461403575649 
shall 	 132.75226569620597 1.9455538272201993 
collect 	 305.07801805250386 1.8450954419903685 
transport 	 311.2091775605731 1.8450954419903685 
vehicle 	 68.09851850529914 1.9562046126535169 
container 	 185.64231169672507 1.9350183926463875 
licensed 	 332.46187598723486 1.8741265159511225 
lcswma 	 67.19630497829131 1.9744971616554698 
source 	 116.73484841337388 1.919427457473229 
separated 	 218.38799117944674 1.919427457473229 
recyclable 	 251.31248225604415 1.919427457473229 
materials 	 100.19410887292523 1.9280579313436326 
facility 	 177.70588852148552 1.8939934791163078 
sludge 	 309.40385282787514 1.8939934791163078 
business 	 345.32973687227815 1.4972087520205302 
license 	 120.87556906742658 1.9407508065957244 
issued 	 213.24706622578262 1.8741265159511225 
transportable 	 2273.8957866611327 1.4972087520205302 
owns 	 1483.7080008227947 1.4972087520205302 
leases 	 1747.103929435574 1.4972087520205302 
satisfaction 	 1299.2150308257483 1.4972087520205302 
following 	 279.88458709236465 1.712461403575649 
conditions 	 718.0448530167341 1.4972087520205302 
submit 	 293.88862966514745 1.8450954419903685 
completed 	 1116.9772603262315 1.4972087520205302 
application 	 218.02581112847753 1.7986587034132995 
form 	 585.6883091948122 1.4972087520205302 
fee 	 1220.3120722100155 1.4972087520205302 
discretion 	 1747.103929435574 1.4972087520205302 
waive 	 1747.103929435574 1.4972087520205302 
fees 	 1271.0540014073342 1.4972087520205302 
governmental 	 1021.4777775794872 1.4972087520205302 
charitable 	 1856.4231169672507 1.4972087520205302 
entities 	 1329.6312597416922 1.4972087520205302 
inspection 	 1483.7080008227947 1.4972087520205302 
maintain 	 956.9161435972362 1.4972087520205302 
current 	 535.5056148298469 1.4972087520205302 
certificates 	 1662.3093799361743 1.4972087520205302 
insurances 	 2273.8957866611327 1.4972087520205302 
liability 	 372.3257534420772 1.7986587034132995 
minimum 	 1007.6580727945549 1.4972087520205302 
insurance 	 293.9141203772889 1.7986587034132995 
required 	 393.6635222992184 1.712461403575649 
motor 	 1135.5175227106158 1.4972087520205302 
financial 	 638.3510512435479 1.4972087520205302 
responsibility 	 687.6286241007903 1.4972087520205302 
law 	 158.9239427360101 1.712461403575649 
bodily 	 1662.3093799361743 1.4972087520205302 
injury 	 1244.8367102422924 1.4972087520205302 
occurrence 	 699.4567256616975 1.712461403575649 
property 	 862.7384013134955 1.4972087520205302 
damage 	 1197.2747159197702 1.4972087520205302 
requirement 	 1021.4777775794872 1.4972087520205302 
waived 	 1483.7080008227947 1.4972087520205302 
respect 	 901.746979856327 1.4972087520205302 
october 	 819.0120559952762 1.4972087520205302 
continuously 	 1856.4231169672507 1.4972087520205302 
held 	 718.0448530167341 1.4972087520205302 
iii 	 1050.7229732112162 1.4972087520205302 
worker's 	 1593.0271883544715 1.4972087520205302 
compensation 	 1116.9772603262315 1.4972087520205302 
pay 	 827.3640405484109 1.4972087520205302 
overdue 	 1747.103929435574 1.4972087520205302 
charge 	 1050.7229732112162 1.4972087520205302 
account 	 730.927442653493 1.4972087520205302 
balance 	 956.9161435972362 1.4972087520205302 
including 	 333.63650657891174 1.4972087520205302 
penalties 	 1362.6955829977517 1.4972087520205302 
finance 	 1007.6580727945549 1.4972087520205302 
charges 	 968.9806489567767 1.4972087520205302 
firmly 	 1593.0271883544715 1.4972087520205302 
affixed 	 2010.4998580483532 1.4972087520205302 
prominent 	 1135.5175227106158 1.4972087520205302 
location 	 587.7772593302949 1.712461403575649 
left 	 827.3640405484109 1.4972087520205302 
side 	 835.9037257721932 1.4972087520205302 
readily 	 1856.4231169672507 1.4972087520205302 
visible 	 1329.6312597416922 1.4972087520205302 
scale 	 558.4886301631158 1.712461403575649 
house 	 340.9134923455453 1.712461403575649 
operator 	 719.4752236366845 1.712461403575649 
transferable 	 2273.8957866611327 1.4972087520205302 
refuse 	 1299.2150308257483 1.4972087520205302 
issue 	 539.4434739033546 1.4972087520205302 
revoke 	 1856.4231169672507 1.4972087520205302 
comply 	 1534.4499300201135 1.4972087520205302 
dep 	 1747.103929435574 1.4972087520205302 
coverage 	 912.1585900478105 1.4972087520205302 
maintained 	 1329.6312597416922 1.4972087520205302 
accordance 	 1362.6955829977517 1.4972087520205302 
owned 	 1175.5545186605898 1.4972087520205302 
leased 	 1747.103929435574 1.4972087520205302 
violates 	 1534.4499300201135 1.4972087520205302 
employees 	 945.2229133038699 1.4972087520205302 
agents 	 1155.008974577885 1.4972087520205302 
violate 	 1438.950447273369 1.4972087520205302 
provision 	 1220.3120722100155 1.4972087520205302 
load 	 296.7416001645589 1.8741265159511225 
delivered 	 370.9270002056987 1.8450954419903685 
accompanied 	 443.21041991389745 1.7986587034132995 
manifest 	 265.50453139241193 1.8939934791163078 
entry 	 1299.2150308257483 1.4972087520205302 
day 	 263.8751218049941 1.712461403575649 
month 	 230.7158808237888 1.8450954419903685 
collection 	 549.6498271924862 1.712461403575649 
transportation 	 490.7203908147566 1.712461403575649 
hauling 	 1136.9478933305663 1.712461403575649 
monthly 	 598.6373579598851 1.712461403575649 
report 	 299.67123635035813 1.712461403575649 
copy 	 610.1560361050077 1.712461403575649 
collected 	 317.76350035183356 1.8450954419903685 
transported 	 371.28462339345015 1.8741265159511225 
preceding 	 831.1546899680872 1.712461403575649 
calendar 	 796.5135941772357 1.712461403575649 
recycling 	 1534.4499300201135 1.4972087520205302 
request 	 1035.8191022129693 1.4972087520205302 
generator 	 1005.2499290241766 1.712461403575649 
provide 	 643.5211990247437 1.4972087520205302 
accurate 	 1362.6955829977517 1.4972087520205302 
verifiable 	 2273.8957866611327 1.4972087520205302 
documentation 	 681.3477914988758 1.712461403575649 
types 	 751.1091762727933 1.4972087520205302 
quantities 	 1593.0271883544715 1.4972087520205302 
disposition 	 1747.103929435574 1.4972087520205302 
absence 	 1116.9772603262315 1.4972087520205302 
conclusively 	 2273.8957866611327 1.4972087520205302 
presumed 	 1534.4499300201135 1.4972087520205302 
contravention 	 1856.4231169672507 1.4972087520205302 
return 	 288.4253507861953 1.712461403575649 
table 	 1244.8367102422924 1.4972087520205302 
contents 	 933.8787873069911 1.4972087520205302 
regstble 	 2273.8957866611327 1.4972087520205302 
htm 	 249.30284252109158 1.4972087520205302 
home 	 169.70876519408847 1.4972087520205302 
page 	 186.53243819172394 1.4972087520205302 
index 	 165.24687440094885 1.4972087520205302 
html 	 149.32073406700678 1.4972087520205302 
