term 	 tf-idf weight 	 BM25 ranking 
 law 	 101.69738265431525 1.8059548913288364 
leading 	 1124.3674251516197 1.2160388933215038 
attorneys 	 1385.2923241606604 1.398807315120091 
web 	 2994.0294353778195 0.8736033634983804 
header 	 4034.223205039906 0.8736033634983804 
gif 	 126.05089274116895 1.5124678943986114 
webhead 	 4359.789646407338 0.8736033634983804 
illinois 	 325.9639116461483 1.7901652184040837 
federal 	 70.15990545489707 1.9326513585205933 
local 	 190.28954889561453 1.8059548913288364 
government 	 45.30253498044182 1.934365528131702 
public 	 143.06973925281292 1.7901652184040837 
financing 	 263.79575587955173 1.850848401222469 
contracts 	 554.3283203648468 1.7223991106772174 
technical 	 744.0751404357565 1.589984755995049 
assistance 	 208.43001245938567 1.8590034995782079 
lobbying 	 613.8680416876741 1.7493785011032403 
dealing 	 734.4767829125163 1.5124678943986114 
administrative 	 173.16154052008255 1.8980307890073738 
agencies 	 124.72969479714243 1.9055039711798556 
limited 	 1027.493586202666 1.398807315120091 
role 	 318.81762734044827 1.6462331464302695 
process 	 285.4343233434218 1.7223991106772174 
courts 	 1055.183023518207 1.5124678943986114 
freedom 	 935.458893711795 1.398807315120091 
information 	 71.28885865590301 1.8590034995782079 
act 	 380.39323070012136 1.6889103243888757 
resources 	 910.9326885645831 1.398807315120091 
businesses 	 168.82928376291312 1.9019095132562962 
deal 	 1080.990688241901 1.398807315120091 
exclusively 	 5232.0338305097885 0.8736033634983804 
branches 	 2848.328912105865 1.2160388933215038 
permission 	 3462.2337989746875 0.8736033634983804 
embark 	 8730.56303352261 0.8736033634983804 
projects 	 3921.9370460222945 0.8736033634983804 
chapter 	 942.0540134193815 1.5124678943986114 
focuses 	 2910.6353095853347 0.8736033634983804 
frequently 	 942.0540134193815 1.5124678943986114 
contact 	 1177.7693083866134 1.2160388933215038 
governments 	 1837.0271756689049 1.2160388933215038 
environmental 	 3277.303060447177 0.8736033634983804 
natural 	 1638.6515302235885 1.2160388933215038 
b23 	 8730.56303352261 0.8736033634983804 
html 	 95.55217149287847 1.6462331464302695 
examines 	 1954.3967116753481 0.8736033634983804 
issues 	 2026.283172176244 0.8736033634983804 
relating 	 4596.904764544592 0.8736033634983804 
business 	 37.88241248847021 1.9289396024713856 
interaction 	 4513.510638752106 0.8736033634983804 
protecting 	 4779.517790114486 0.8736033634983804 
environment 	 2662.7526149008495 0.8736033634983804 
intellectual 	 4155.876972481981 0.8736033634983804 
property 	 3312.461388201026 0.8736033634983804 
computer 	 3385.426591819457 0.8736033634983804 
b29 	 8730.56303352261 0.8736033634983804 
discusses 	 1968.4934396955723 0.8736033634983804 
registers 	 7719.261297085651 0.8736033634983804 
trademark 	 7127.687704355839 0.8736033634983804 
authorities 	 3768.216053677526 0.8736033634983804 
commercial 	 1674.2439549851888 1.2160388933215038 
real 	 2910.6353095853347 0.8736033634983804 
estate 	 4434.626562918775 0.8736033634983804 
b18 	 8730.56303352261 0.8736033634983804 
covers 	 4434.626562918775 0.8736033634983804 
zoning 	 7719.261297085651 0.8736033634983804 
land 	 3312.461388201026 0.8736033634983804 
variances 	 8730.56303352261 0.8736033634983804 
appendix 	 4988.301920986229 0.8736033634983804 
appendices 	 7719.261297085651 0.8736033634983804 
appendixa 	 8730.56303352261 0.8736033634983804 
lists 	 3191.1965596406294 1.2160388933215038 
sources 	 424.44305732621547 1.5124678943986114 
management 	 607.8369689682835 1.5124678943986114 
government's 	 4034.223205039906 0.8736033634983804 
primary 	 3585.6030281076314 0.8736033634983804 
expand 	 2440.0891948069743 1.2160388933215038 
economy 	 979.3023772166885 1.398807315120091 
increase 	 3052.3972185792068 0.8736033634983804 
opportunities 	 1837.0271756689049 1.2160388933215038 
wider 	 5891.480126050909 0.8736033634983804 
cross 	 3977.000184549269 0.8736033634983804 
section 	 3720.3757021787824 0.8736033634983804 
population 	 3022.921468602946 0.8736033634983804 
participate 	 4288.604796884137 0.8736033634983804 
poor 	 3277.303060447177 0.8736033634983804 
lay 	 5232.0338305097885 0.8736033634983804 
employees 	 1814.579250671508 1.2160388933215038 
people 	 569.8620196780845 1.398807315120091 
jobs 	 4685.35608777477 0.8736033634983804 
tend 	 5232.0338305097885 0.8736033634983804 
vote 	 3629.158501343016 0.8736033634983804 
incumbent 	 7719.261297085651 0.8736033634983804 
politicians 	 1662.7673069954094 1.398807315120091 
created 	 903.024655247274 1.398807315120091 
variety 	 1017.4657395264022 1.398807315120091 
