term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 435.3522490023908 1.5537435906304313 
logo_asm 	 1306.0567470071724 1.0743209714159307 
gif 	 56.15701184493476 1.74885278130581 
subject 	 287.3227021804724 1.5537435906304313 
index 	 211.9943454485857 1.3977993597996166 
anthropology 	 1296.7265322664252 1.0743209714159307 
ant 	 1306.0567470071724 1.0743209714159307 
idx 	 68.73982878985117 1.9132356657844345 
html 	 12.770852255730844 1.944161036066496 
architecture 	 1251.3695170224048 1.0743209714159307 
arc 	 616.9007370786468 1.3977993597996166 
art 	 551.804183174192 1.3977993597996166 
black 	 1126.731979800267 1.0743209714159307 
studies 	 130.56242000966998 1.8055346572333244 
blk 	 1306.0567470071724 1.0743209714159307 
stu 	 1306.0567470071724 1.0743209714159307 
business 	 886.0434038170295 1.0743209714159307 
bus 	 1242.5459273904848 1.0743209714159307 
ecology 	 1296.7265322664252 1.0743209714159307 
eco 	 1296.7265322664252 1.0743209714159307 
economics 	 1233.8014741572936 1.0743209714159307 
ecn 	 1296.7265322664252 1.0743209714159307 
education 	 151.27772410255312 1.7807986839143355 
edu 	 1066.2474736538006 1.0743209714159307 
film 	 1208.0290485158419 1.0743209714159307 
flm 	 1306.0567470071724 1.0743209714159307 
gen 	 233.30668489150312 1.7060068926886234 
healthcare 	 1287.4847569107453 1.0743209714159307 
med 	 639.1648800348261 1.3977993597996166 
history 	 536.8029995741496 1.3977993597996166 
law 	 407.765379388447 1.3977993597996166 
linguistics 	 1287.4847569107453 1.0743209714159307 
lin 	 1278.3297600696521 1.0743209714159307 
literature 	 204.18912507091312 1.74885278130581 
lit 	 1296.7265322664252 1.0743209714159307 
mass 	 1103.608366348384 1.0743209714159307 
media 	 844.2939065636745 1.0743209714159307 
mda 	 1306.0567470071724 1.0743209714159307 
medicine 	 1199.587437341305 1.0743209714159307 
music 	 1251.3695170224048 1.0743209714159307 
mus 	 1296.7265322664252 1.0743209714159307 
philosophy 	 1251.3695170224048 1.0743209714159307 
phi 	 1306.0567470071724 1.0743209714159307 
political 	 923.3090863167222 1.0743209714159307 
science 	 533.1237368269003 1.3977993597996166 
psi 	 1296.7265322664252 1.0743209714159307 
psychology 	 1287.4847569107453 1.0743209714159307 
psy 	 1287.4847569107453 1.0743209714159307 
religion 	 1242.5459273904848 1.0743209714159307 
rel 	 1296.7265322664252 1.0743209714159307 
sci 	 1260.2736884965957 1.0743209714159307 
shakespeare 	 1306.0567470071724 1.0743209714159307 
sha 	 643.7423784553727 1.3977993597996166 
sociology 	 1296.7265322664252 1.0743209714159307 
soc 	 1296.7265322664252 1.0743209714159307 
sports 	 1233.8014741572936 1.0743209714159307 
recreation 	 1260.2736884965957 1.0743209714159307 
spt 	 1269.2599272238965 1.0743209714159307 
urban 	 1242.5459273904848 1.0743209714159307 
urb 	 1306.0567470071724 1.0743209714159307 
women's 	 1242.5459273904848 1.0743209714159307 
wom 	 1306.0567470071724 1.0743209714159307 
home 	 435.43696332693753 1.0743209714159307 
page 	 239.30148320648794 1.3977993597996166 
topic 	 643.7423784553727 1.3977993597996166 
search 	 394.30678827199586 1.5537435906304313 
custom 	 634.6299636119483 1.3977993597996166 
child 	 530.7104865359872 1.6455349027813708 
guidance 	 191.83864572324316 1.903520507578217 
specific 	 1051.6949646925418 1.0743209714159307 
paper 	 223.7926028784639 1.7060068926886234 
click 	 599.7937186706525 1.3977993597996166 
catalog 	 1278.3297600696521 1.0743209714159307 
button 	 1166.5334244575156 1.0743209714159307 
title 	 563.3659899001335 1.3977993597996166 
description 	 1191.2182872421984 1.0743209714159307 
written 	 1073.6059991482991 1.0743209714159307 
pgs 	 28.18970722318316 1.9632261691539215 
pages 	 1134.5633472050997 1.0743209714159307 
footnotes 	 1296.7265322664252 1.0743209714159307 
sources 	 1134.5633472050997 1.0743209714159307 
price 	 1118.9630143923196 1.0743209714159307 
classroom 	 341.15538901267104 1.8413423850390676 
standardized 	 1021.8430977931642 1.6455349027813708 
testing 	 256.4155892405139 1.8547180734920303 
compares 	 2122.841946143949 1.0743209714159307 
teacher 	 447.29483849803194 1.7807986839143355 
tests 	 323.72210077276327 1.8252540266740704 
counseling 	 191.99717895094997 1.8977986746766065 
schizophrenic 	 4763.190892218604 1.0743209714159307 
pre 	 2213.605108633311 1.0743209714159307 
psychotic 	 5158.519372624064 1.0743209714159307 
boy 	 1748.1949913457997 1.3977993597996166 
pregnant 	 3589.317408000816 1.0743209714159307 
woman 	 2695.933944423515 1.0743209714159307 
paranoiac 	 5158.519372624064 1.0743209714159307 
marriage 	 3193.9889275953556 1.0743209714159307 
consummated 	 5158.519372624064 1.0743209714159307 
theories 	 666.9359605879309 1.5537435906304313 
reviews 	 1040.2219810013519 1.3977993597996166 
rogers 	 4482.700871578118 1.0743209714159307 
freud 	 3937.0754783410803 1.0743209714159307 
adler 	 4763.190892218604 1.0743209714159307 
froom 	 5834.337873670011 1.0743209714159307 
jung 	 5158.519372624064 1.0743209714159307 
peer 	 1021.8430977931642 1.6455349027813708 
relations 	 867.3812848819093 1.3977993597996166 
self 	 882.1551427608822 1.3977993597996166 
confidence 	 3016.2254097212503 1.0743209714159307 
relation 	 1963.303257956692 1.0743209714159307 
academic 	 885.8979163663553 1.5537435906304313 
performance 	 1095.0549979218633 1.3977993597996166 
american 	 1081.020483548888 1.0743209714159307 
school 	 120.69212321673642 1.891355373814561 
system 	 525.8474823462709 1.3977993597996166 
includes 	 266.9190739499565 1.7060068926886234 
proposal 	 2367.8735137178323 1.0743209714159307 
apa 	 4087.372391172657 1.0743209714159307 
format 	 1705.7769450633552 1.3977993597996166 
review 	 263.0954220292232 1.7060068926886234 
procedure 	 1328.846874549533 1.3977993597996166 
questionnaire 	 3692.043910767197 1.0743209714159307 
appendix 	 3333.5122501450123 1.0743209714159307 
afn 	 157.2281519828429 1.8252540266740704 
educational 	 288.58792048250973 1.7807986839143355 
pupils 	 4265.135909046763 1.0743209714159307 
ranging 	 3131.063869486224 1.0743209714159307 
family 	 832.2942038146784 1.3977993597996166 
background 	 1029.9584440174085 1.3977993597996166 
initiation 	 4482.700871578118 1.0743209714159307 
session 	 1508.1127048606252 1.3977993597996166 
discussed 	 1927.1880180683513 1.0743209714159307 
future 	 493.35915266059715 1.5537435906304313 
