term 	 tf-idf weight 	 BM25 ranking 
 nelson 	 434.2096086509114 1.8159780846726108 
communcations 	 2058.474080556394 1.533736885411012 
home 	 153.63109270201693 1.533736885411012 
page 	 168.86094404724483 1.533736885411012 
images 	 131.16023997056521 1.8853678865900203 
nggheadr 	 2058.474080556394 1.533736885411012 
gif 	 19.813345717597496 1.9035519013767201 
published 	 816.3183186067803 1.533736885411012 
communications 	 184.2603999315958 1.736107622209254 
professional 	 346.34683114723185 1.736107622209254 
public 	 185.5297783867869 1.736107622209254 
relations 	 612.0598194859011 1.533736885411012 
firm_ 	 2058.474080556394 1.533736885411012 
volume 	 1126.9048113772333 1.533736885411012 
issue 	 488.33830269145784 1.533736885411012 
line 	 139.94156104379348 1.858734059895898 
scholastic 	 686.1580268521312 1.8159780846726108 
donates 	 1820.0314504437724 1.533736885411012 
books 	 403.5722208052584 1.736107622209254 
california 	 177.6924362529224 1.8853678865900203 
schools 	 462.35309932545215 1.736107622209254 
scholinc 	 2058.474080556394 1.533736885411012 
htm 	 15.045645232851841 1.9602712312898671 
golden 	 601.8330965146607 1.736107622209254 
warrior 	 790.7944101655756 1.736107622209254 
armstrong 	 501.60914622635437 1.8159780846726108 
jpg 	 912.1957290561234 1.533736885411012 
shares 	 1176.1315015896248 1.533736885411012 
experience 	 617.2328492993031 1.533736885411012 
oakland 	 1680.5514532545637 1.533736885411012 
reading 	 979.864070276766 1.533736885411012 
program 	 202.9454205840766 1.736107622209254 
press 	 279.88312208758697 1.736107622209254 
conference 	 154.54314637338297 1.8853678865900203 
western 	 303.4817149879064 1.736107622209254 
dental's 	 2058.474080556394 1.533736885411012 
quality 	 249.66072802513452 1.8159780846726108 
management 	 286.62908474995135 1.736107622209254 
system 	 185.5297783867869 1.736107622209254 
hailed 	 1442.1088231419426 1.533736885411012 
art 	 194.68783488402258 1.736107622209254 
wdsstory 	 2058.474080556394 1.533736885411012 
highly 	 866.2609299932875 1.533736885411012 
regarded 	 1126.9048113772333 1.533736885411012 
independent 	 650.0195511519909 1.533736885411012 
dental 	 463.02699642712196 1.8159780846726108 
consultant 	 1389.0809892813659 1.533736885411012 
announced 	 482.61178145835015 1.736107622209254 
improvement 	 979.864070276766 1.533736885411012 
study 	 417.3585697402048 1.533736885411012 
nation's 	 651.3144129763671 1.736107622209254 
largest 	 866.2609299932875 1.533736885411012 
provider 	 1266.3848085664417 1.533736885411012 
services 	 484.77350395122977 1.533736885411012 
macy's 	 910.0157252218862 1.736107622209254 
west 	 306.02990974295057 1.736107622209254 
children's 	 552.3517800529544 1.736107622209254 
spirits 	 1504.827438679063 1.533736885411012 
bright 	 1389.0809892813659 1.533736885411012 
giving 	 399.10443714389754 1.736107622209254 
tree 	 601.8330965146607 1.736107622209254 
holiday 	 671.573095109265 1.736107622209254 
ornaments 	 2058.474080556394 1.533736885411012 
macys2 	 2058.474080556394 1.533736885411012 
holidays 	 1504.827438679063 1.533736885411012 
raised 	 1045.587071723138 1.533736885411012 
funds 	 866.2609299932875 1.533736885411012 
charities 	 1680.5514532545637 1.533736885411012 
ornament 	 2058.474080556394 1.533736885411012 
governor 	 588.0657507948124 1.736107622209254 
