term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 135.2940835361276 1.8361136826702797 
logo_asm 	 405.8822506083828 1.5775713274839733 
gif 	 17.451871373348958 1.9145560685179481 
subject 	 267.8731654174866 1.5775713274839733 
index 	 65.88131966248355 1.7638461213780403 
anthropology 	 402.9827069504891 1.5775713274839733 
ant 	 405.8822506083828 1.5775713274839733 
idx 	 21.362223716230673 1.9722052423263803 
html 	 3.96878793178097 1.982306492568943 
architecture 	 388.8871422131166 1.5775713274839733 
arc 	 191.71376752290254 1.7638461213780403 
art 	 171.48376154028733 1.7638461213780403 
black 	 350.15363064562143 1.5775713274839733 
studies 	 108.19942089006497 1.8361136826702797 
blk 	 405.8822506083828 1.5775713274839733 
stu 	 405.8822506083828 1.5775713274839733 
business 	 275.35502703236915 1.5775713274839733 
bus 	 386.1450420505814 1.5775713274839733 
ecology 	 402.9827069504891 1.5775713274839733 
eco 	 402.9827069504891 1.5775713274839733 
economics 	 383.4275350458051 1.5775713274839733 
ecn 	 402.9827069504891 1.5775713274839733 
education 	 329.08723366309255 1.5775713274839733 
edu 	 331.3569071970273 1.5775713274839733 
film 	 375.41825815415393 1.5775713274839733 
flm 	 405.8822506083828 1.5775713274839733 
gen 	 72.50453899705174 1.898335939919905 
healthcare 	 400.11064753226236 1.5775713274839733 
med 	 198.63277810313056 1.7638461213780403 
history 	 83.4109276261371 1.874514594376936 
law 	 126.72093328687123 1.7638461213780403 
linguistics 	 400.11064753226236 1.5775713274839733 
lin 	 397.2655562062611 1.5775713274839733 
literature 	 380.7341839783795 1.5775713274839733 
lit 	 402.9827069504891 1.5775713274839733 
mass 	 342.96752308057467 1.5775713274839733 
media 	 262.3805678859419 1.5775713274839733 
mda 	 405.8822506083828 1.5775713274839733 
medicine 	 372.7948651429902 1.5775713274839733 
music 	 27.77765301522261 1.962464843261834 
mus 	 402.9827069504891 1.5775713274839733 
philosophy 	 388.8871422131166 1.5775713274839733 
phi 	 405.8822506083828 1.5775713274839733 
political 	 286.93605451688904 1.5775713274839733 
science 	 165.67845359851364 1.7638461213780403 
psi 	 402.9827069504891 1.5775713274839733 
psychology 	 400.11064753226236 1.5775713274839733 
psy 	 400.11064753226236 1.5775713274839733 
religion 	 386.1450420505814 1.5775713274839733 
rel 	 402.9827069504891 1.5775713274839733 
sci 	 391.6542847327882 1.5775713274839733 
shakespeare 	 405.8822506083828 1.5775713274839733 
sha 	 200.05532376613118 1.7638461213780403 
sociology 	 402.9827069504891 1.5775713274839733 
soc 	 402.9827069504891 1.5775713274839733 
sports 	 383.4275350458051 1.5775713274839733 
recreation 	 391.6542847327882 1.5775713274839733 
spt 	 394.4469312295802 1.5775713274839733 
urban 	 386.1450420505814 1.5775713274839733 
urb 	 405.8822506083828 1.5775713274839733 
women's 	 386.1450420505814 1.5775713274839733 
wom 	 405.8822506083828 1.5775713274839733 
home 	 135.3204101416021 1.5775713274839733 
page 	 74.36753785801625 1.7638461213780403 
