term 	 tf-idf weight 	 BM25 ranking 
 nelson 	 203.72508964028225 1.9092260203498344 
communications 	 36.02183690523203 1.9422839281820163 
images 	 170.94042903140524 1.8531533197706678 
logosm 	 1176.7400610600812 1.6158684083212387 
gif 	 30.987151151358873 1.8531533197706678 
index 	 58.488696334020055 1.7875301043617875 
htm 	 88.24008505022846 1.7875301043617875 
professional 	 541.6703347593335 1.6158684083212387 
public 	 290.1599441049167 1.6158684083212387 
relations 	 478.61654488868436 1.6158684083212387 
firm 	 733.2508907770756 1.6158684083212387 
sacramento 	 1127.6955622825074 1.6158684083212387 
blball 	 588.3700305300406 1.7875301043617875 
san 	 661.0878783831068 1.6158684083212387 
diego 	 941.2389707118822 1.6158684083212387 
irvine 	 1176.7400610600812 1.6158684083212387 
pacific 	 817.6247741090817 1.6158684083212387 
care 	 531.7062326773195 1.6158684083212387 
health 	 107.72842369439502 1.8878055673307899 
systems 	 141.4237939969234 1.8531533197706678 
crisis 	 135.41758368983338 1.8878055673307899 
situation 	 261.0490342286801 1.7875301043617875 
analysis 	 330.96309809724215 1.6158684083212387 
saturday 	 1050.3090847929784 1.6158684083212387 
january 	 312.0903883479897 1.7875301043617875 
article 	 585.6866497566382 1.6158684083212387 
peggy 	 402.41971487621356 1.8878055673307899 
maley 	 402.41971487621356 1.8878055673307899 
pacificare 	 201.20985743810678 1.9422839281820163 
victim 	 778.1884395514672 1.6158684083212387 
breast 	 543.1145147044875 1.7875301043617875 
cancer 	 440.60667770417984 1.7875301043617875 
appeared 	 863.852493222353 1.6158684083212387 
chino 	 1609.6788595048542 1.6158684083212387 
daily 	 610.7279735613955 1.6158684083212387 
bulletin 	 1176.7400610600812 1.6158684083212387 
told 	 326.645115482101 1.7875301043617875 
pay 	 585.6866497566382 1.6158684083212387 
bone 	 1314.1521538531326 1.6158684083212387 
marrow 	 1609.6788595048542 1.6158684083212387 
transplant 	 711.6111339671145 1.7875301043617875 
treat 	 1018.6254482014112 1.6158684083212387 
condition 	 638.3419410035578 1.6158684083212387 
procedure 	 733.2508907770756 1.6158684083212387 
regarded 	 881.2133554083597 1.6158684083212387 
experimental 	 470.6194853559411 1.7875301043617875 
covered 	 733.2508907770756 1.6158684083212387 
plan 	 486.7686839029278 1.6158684083212387 
days 	 568.3257875706316 1.6158684083212387 
local 	 421.0107360075694 1.6158684083212387 
television 	 677.3959016517277 1.6158684083212387 
station 	 743.8012626153082 1.6158684083212387 
kttv 	 1609.6788595048542 1.6158684083212387 
picked 	 1176.7400610600812 1.6158684083212387 
story 	 617.3702863482054 1.6158684083212387 
call 	 508.30017226710913 1.6158684083212387 
sam 	 281.92389057062684 1.8878055673307899 
donaldson 	 402.41971487621356 1.8878055673307899 
planning 	 638.3419410035578 1.6158684083212387 
interview 	 247.93375420510276 1.8531533197706678 
report 	 424.2713819907702 1.6158684083212387 
insurance 	 312.0903883479897 1.7875301043617875 
prime 	 604.2457321866282 1.6158684083212387 
time 	 128.24552932514456 1.7875301043617875 
live 	 685.9363014983498 1.6158684083212387 
national 	 306.5925332474932 1.6158684083212387 
network 	 669.118325470371 1.6158684083212387 
vice 	 389.0942197757336 1.7875301043617875 
