term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 166.1036273116814 1.802478844757231 
logo_asm 	 498.3108819350442 1.505174949825268 
gif 	 21.42605990391357 1.8961092680291403 
subject 	 328.873985265033 1.505174949825268 
index 	 80.88399641730655 1.717660283861495 
anthropology 	 494.7510461570361 1.505174949825268 
ant 	 498.3108819350442 1.505174949825268 
idx 	 26.226888522897063 1.965983397085864 
html 	 4.872571322186538 1.9783209527718424 
architecture 	 477.445600340856 1.505174949825268 
arc 	 235.37135814692985 1.717660283861495 
art 	 210.5345191187686 1.717660283861495 
black 	 429.8915861391788 1.505174949825268 
studies 	 132.83889297394117 1.802478844757231 
blk 	 498.3108819350442 1.505174949825268 
stu 	 498.3108819350442 1.505174949825268 
business 	 338.05963714865123 1.505174949825268 
bus 	 474.07906152744647 1.505174949825268 
ecology 	 494.7510461570361 1.505174949825268 
eco 	 494.7510461570361 1.505174949825268 
economics 	 235.37135814692985 1.717660283861495 
ecn 	 494.7510461570361 1.505174949825268 
education 	 404.02789083389575 1.505174949825268 
edu 	 406.8144207171424 1.505174949825268 
film 	 460.9095446645058 1.505174949825268 
flm 	 498.3108819350442 1.505174949825268 
gen 	 89.01547362014274 1.8766129982279471 
healthcare 	 491.2249534059459 1.505174949825268 
med 	 243.86598499790287 1.717660283861495 
history 	 204.81099060675245 1.717660283861495 
law 	 155.57817552051517 1.717660283861495 
linguistics 	 491.2249534059459 1.505174949825268 
lin 	 487.73196999580574 1.505174949825268 
literature 	 467.4360278546442 1.505174949825268 
lit 	 494.7510461570361 1.505174949825268 
mass 	 105.2672595593843 1.8481089208908341 
media 	 35.79228868851133 1.9295191271069598 
mda 	 498.3108819350442 1.505174949825268 
medicine 	 228.8443726620336 1.717660283861495 
music 	 477.445600340856 1.505174949825268 
mus 	 494.7510461570361 1.505174949825268 
philosophy 	 477.445600340856 1.505174949825268 
phi 	 498.3108819350442 1.505174949825268 
political 	 176.1389641588824 1.717660283861495 
science 	 203.4072103585712 1.717660283861495 
psi 	 494.7510461570361 1.505174949825268 
psychology 	 491.2249534059459 1.505174949825268 
psy 	 491.2249534059459 1.505174949825268 
religion 	 474.07906152744647 1.505174949825268 
rel 	 494.7510461570361 1.505174949825268 
sci 	 480.84288422639344 1.505174949825268 
shakespeare 	 498.3108819350442 1.505174949825268 
sha 	 245.61247670297294 1.717660283861495 
sociology 	 494.7510461570361 1.505174949825268 
soc 	 494.7510461570361 1.505174949825268 
sports 	 470.7427162938597 1.505174949825268 
recreation 	 480.84288422639344 1.505174949825268 
spt 	 484.2714799254251 1.505174949825268 
urban 	 474.07906152744647 1.505174949825268 
urb 	 498.3108819350442 1.505174949825268 
women's 	 474.07906152744647 1.505174949825268 
wom 	 498.3108819350442 1.505174949825268 
home 	 166.13594908473925 1.505174949825268 
page 	 91.3027197464754 1.717660283861495 
topic 	 491.2249534059459 1.505174949825268 
search 	 225.66480805720377 1.717660283861495 
custom 	 242.13573996271256 1.717660283861495 
print 	 218.6923899165043 1.8766129982279471 
specific 	 401.26207883653905 1.505174949825268 
paper 	 106.73185675742124 1.8481089208908341 
click 	 228.8443726620336 1.717660283861495 
catalog 	 487.73196999580574 1.505174949825268 
button 	 445.07736810071367 1.505174949825268 
title 	 214.9457930695894 1.717660283861495 
description 	 454.49559267086954 1.505174949825268 
written 	 409.6219812135049 1.505174949825268 
pgs 	 41.229253846419674 1.9466694977867431 
pages 	 432.8795540105611 1.505174949825268 
footnotes 	 494.7510461570361 1.505174949825268 
sources 	 432.8795540105611 1.505174949825268 
price 	 426.92742702968496 1.505174949825268 
phila 	 1968.1735452473354 1.505174949825268 
inquirer 	 2226.024296415635 1.505174949825268 
discusses 	 250.95255639710516 1.717660283861495 
origins 	 835.6111984142219 1.505174949825268 
editorial 	 1408.6567536465614 1.505174949825268 
policies 	 696.7792189431631 1.505174949825268 
advertising 	 1111.6118906535503 1.505174949825268 
philadelphia 	 635.9315677199716 1.717660283861495 
press 	 121.06572257742134 1.8766129982279471 
contends 	 1076.1565037663413 1.505174949825268 
majority 	 925.3234835501041 1.505174949825268 
physicians 	 1369.46264182185 1.505174949825268 
remain 	 936.7705405741365 1.505174949825268 
competent 	 1334.007254934641 1.505174949825268 
branded 	 2226.024296415635 1.505174949825268 
sensationalistic 	 2226.024296415635 1.505174949825268 
reveals 	 1218.6296216056126 1.505174949825268 
weaknesses 	 1172.0689324267223 1.505174949825268 
