term 	 tf-idf weight 	 BM25 ranking 
 appendix 	 943.6403908102803 1.6078324701772722 
illinois 	 6.585348627918487 1.9952750590326547 
notice 	 838.901255219727 1.6078324701772722 
capacity 	 763.1566858060412 1.6078324701772722 
requirements 	 607.1300745082244 1.6078324701772722 
county 	 130.99061391597172 1.9069737430817388 
telecommunications 	 886.3319261314849 1.6078324701772722 
carriers 	 989.7473181773144 1.6078324701772722 
providing 	 566.3825388377506 1.6078324701772722 
local 	 431.9664057178035 1.6078324701772722 
services 	 388.94618340273087 1.6078324701772722 
represent 	 786.1700098732192 1.6078324701772722 
historical 	 229.96984706682144 1.7826021396146152 
simultaneous 	 522.566215062434 1.7826021396146152 
interceptions 	 301.84038740946323 1.8850538056283477 
estimation 	 965.7321781281765 1.6078324701772722 
requirement 	 370.9577192262348 1.7826021396146152 
pen 	 1077.6405479660298 1.6078324701772722 
register 	 923.1865904958532 1.6078324701772722 
trap 	 1157.0407999627214 1.6078324701772722 
trace 	 1114.495212330398 1.6078324701772722 
call 	 521.5273142963647 1.6078324701772722 
content 	 571.8480639714962 1.6078324701772722 
conducted 	 254.38556193534706 1.8496193546527666 
estimated 	 370.9577192262348 1.7826021396146152 
actual 	 695.02330429694 1.6078324701772722 
maximum 	 774.4235562936316 1.6078324701772722 
experience 	 495.22170467037114 1.6078324701772722 
adams 	 1045.132430124868 1.6078324701772722 
alexander 	 923.1865904958532 1.6078324701772722 
bond 	 1157.0407999627214 1.6078324701772722 
boone 	 1348.3494217972664 1.6078324701772722 
brown 	 824.744305968763 1.6078324701772722 
bureau 	 869.5995305101488 1.6078324701772722 
calhoun 	 1268.9491698005747 1.6078324701772722 
carroll 	 1348.3494217972664 1.6078324701772722 
cass 	 1348.3494217972664 1.6078324701772722 
champaign 	 1207.361549637853 1.6078324701772722 
christian 	 678.2909086756041 1.6078324701772722 
clark 	 1016.052927803308 1.6078324701772722 
clay 	 1077.6405479660298 1.6078324701772722 
clinton 	 774.4235562936316 1.6078324701772722 
coles 	 1651.5664134696647 1.6078324701772722 
cook 	 965.7321781281765 1.6078324701772722 
crawford 	 1460.2577916351197 1.6078324701772722 
cumberland 	 1348.3494217972664 1.6078324701772722 
witt 	 1651.5664134696647 1.6078324701772722 
dekalb 	 1460.2577916351197 1.6078324701772722 
douglas 	 965.7321781281765 1.6078324701772722 
dupage 	 1348.3494217972664 1.6078324701772722 
edgar 	 1077.6405479660298 1.6078324701772722 
edwards 	 1157.0407999627214 1.6078324701772722 
effingham 	 1460.2577916351197 1.6078324701772722 
fayette 	 1460.2577916351197 1.6078324701772722 
ford 	 989.7473181773144 1.6078324701772722 
franklin 	 943.6403908102803 1.6078324701772722 
fulton 	 1460.2577916351197 1.6078324701772722 
gallatin 	 1460.2577916351197 1.6078324701772722 
greene 	 1268.9491698005747 1.6078324701772722 
grundy 	 1651.5664134696647 1.6078324701772722 
hamilton 	 1207.361549637853 1.6078324701772722 
hancock 	 1460.2577916351197 1.6078324701772722 
hardin 	 1460.2577916351197 1.6078324701772722 
henderson 	 1114.495212330398 1.6078324701772722 
henry 	 886.3319261314849 1.6078324701772722 
iroquois 	 1651.5664134696647 1.6078324701772722 
jackson 	 923.1865904958532 1.6078324701772722 
jasper 	 1460.2577916351197 1.6078324701772722 
jefferson 	 1045.132430124868 1.6078324701772722 
jersey 	 824.744305968763 1.6078324701772722 
daviess 	 1651.5664134696647 1.6078324701772722 
johnson 	 886.3319261314849 1.6078324701772722 
kane 	 1268.9491698005747 1.6078324701772722 
kankakee 	 1651.5664134696647 1.6078324701772722 
kendall 	 1460.2577916351197 1.6078324701772722 
knox 	 1348.3494217972664 1.6078324701772722 
salle 	 1460.2577916351197 1.6078324701772722 
lake 	 786.1700098732192 1.6078324701772722 
lawrence 	 886.3319261314849 1.6078324701772722 
lee 	 1045.132430124868 1.6078324701772722 
livingston 	 1348.3494217972664 1.6078324701772722 
logan 	 1460.2577916351197 1.6078324701772722 
macon 	 1348.3494217972664 1.6078324701772722 
macoupin 	 1651.5664134696647 1.6078324701772722 
madison 	 1016.052927803308 1.6078324701772722 
marion 	 1268.9491698005747 1.6078324701772722 
marshall 	 989.7473181773144 1.6078324701772722 
mason 	 1157.0407999627214 1.6078324701772722 
massac 	 1651.5664134696647 1.6078324701772722 
mcdonough 	 1651.5664134696647 1.6078324701772722 
mchenry 	 1348.3494217972664 1.6078324701772722 
mclean 	 1348.3494217972664 1.6078324701772722 
menard 	 1460.2577916351197 1.6078324701772722 
mercer 	 1460.2577916351197 1.6078324701772722 
monroe 	 1157.0407999627214 1.6078324701772722 
montgomery 	 1077.6405479660298 1.6078324701772722 
morgan 	 1077.6405479660298 1.6078324701772722 
moultrie 	 1651.5664134696647 1.6078324701772722 
ogle 	 1651.5664134696647 1.6078324701772722 
peoria 	 1348.3494217972664 1.6078324701772722 
perry 	 1114.495212330398 1.6078324701772722 
piatt 	 1651.5664134696647 1.6078324701772722 
pike 	 1207.361549637853 1.6078324701772722 
pope 	 1157.0407999627214 1.6078324701772722 
pulaski 	 1651.5664134696647 1.6078324701772722 
putnam 	 1651.5664134696647 1.6078324701772722 
randolph 	 869.5995305101488 1.6078324701772722 
richland 	 1651.5664134696647 1.6078324701772722 
rock 	 965.7321781281765 1.6078324701772722 
island 	 811.2782206579998 1.6078324701772722 
saline 	 1651.5664134696647 1.6078324701772722 
sangamon 	 1651.5664134696647 1.6078324701772722 
schuyler 	 1651.5664134696647 1.6078324701772722 
scott 	 741.9154384524696 1.6078324701772722 
shelby 	 1460.2577916351197 1.6078324701772722 
clair 	 1651.5664134696647 1.6078324701772722 
stark 	 1460.2577916351197 1.6078324701772722 
stephenson 	 1460.2577916351197 1.6078324701772722 
tazewell 	 1460.2577916351197 1.6078324701772722 
union 	 516.9652269578306 1.6078324701772722 
vermilion 	 1651.5664134696647 1.6078324701772722 
wabash 	 1651.5664134696647 1.6078324701772722 
warren 	 965.7321781281765 1.6078324701772722 
washington 	 583.1149344590867 1.6078324701772722 
wayne 	 1268.9491698005747 1.6078324701772722 
white 	 583.1149344590867 1.6078324701772722 
whiteside 	 1651.5664134696647 1.6078324701772722 
williamson 	 1157.0407999627214 1.6078324701772722 
winnebago 	 1460.2577916351197 1.6078324701772722 
woodford 	 1460.2577916351197 1.6078324701772722 
term 	 540.5693468267633 1.6078324701772722 
includes 	 377.7931508214769 1.6078324701772722 
boroughs 	 1207.361549637853 1.6078324701772722 
parishes 	 1207.361549637853 1.6078324701772722 
district 	 695.02330429694 1.6078324701772722 
columbia 	 943.6403908102803 1.6078324701772722 
independent 	 521.5273142963647 1.6078324701772722 
cities 	 824.744305968763 1.6078324701772722 
territories 	 1016.052927803308 1.6078324701772722 
american 	 306.01195226614675 1.6078324701772722 
samoa 	 1114.495212330398 1.6078324701772722 
guam 	 1207.361549637853 1.6078324701772722 
mariana 	 1207.361549637853 1.6078324701772722 
islands 	 471.82019540514017 1.7826021396146152 
puerto 	 943.6403908102803 1.6078324701772722 
rico 	 989.7473181773144 1.6078324701772722 
virgin 	 1157.0407999627214 1.6078324701772722 
considered 	 571.8480639714962 1.6078324701772722 
single 	 594.8613880386742 1.6078324701772722 
entities 	 965.7321781281765 1.6078324701772722 
digi_tele 	 603.6807748189265 1.7826021396146152 
intercept_data 	 1207.361549637853 1.6078324701772722 
cdt 	 508.026463901654 1.7826021396146152 
digital 	 904.1445579654545 1.6078324701772722 
telephony 	 1114.495212330398 1.6078324701772722 
page 	 67.74072755383659 1.7826021396146152 
home 	 123.26215577254847 1.6078324701772722 
