term 	 tf-idf weight 	 BM25 ranking 
 pictures 	 1798.3546327305492 1.3378899560717743 
urgentappeal 	 3351.004317184827 1.3378899560717743 
gif 	 193.52570235792902 1.3378899560717743 
index 	 48.704341928700714 1.8198722285464275 
html 	 73.35053603291561 1.7167916127922753 
cpj 	 239.32908462579576 1.883484969183682 
website 	 851.05924442581 1.6032762897267974 
http 	 122.85247413813583 1.6032762897267974 
www 	 121.76085482175179 1.6032762897267974 
org 	 356.9928706682862 1.7797983399694934 
thank 	 1173.809507208558 1.6032762897267974 
joining 	 2008.1829644177392 1.3378899560717743 
appeal 	 1484.9697914867124 1.3378899560717743 
please 	 996.3764503258857 1.3378899560717743 
sign 	 1505.3356722224023 1.3378899560717743 
send 	 591.7422534967919 1.3378899560717743 
mail 	 988.0800022862068 1.3378899560717743 
europe 	 383.06065428640136 1.7167916127922753 
mailto 	 406.806908849269 1.3378899560717743 
fax 	 664.4451430520305 1.6032762897267974 
catherine 	 2449.7190862217303 1.3378899560717743 
fitzpatrick 	 2962.8418960712575 1.3378899560717743 
cpj's 	 2574.679474957688 1.3378899560717743 
program 	 660.752532134203 1.3378899560717743 
coordinator 	 2261.2946337138515 1.3378899560717743 
central 	 979.9046746103614 1.3378899560717743 
republics 	 2261.2946337138515 1.3378899560717743 
soviet 	 1285.2318228810223 1.3378899560717743 
union 	 1048.9149532477722 1.3378899560717743 
excellency 	 1675.5021585924135 1.6032762897267974 
boris 	 1620.02054330417 1.3378899560717743 
yeltsin 	 1484.9697914867124 1.3378899560717743 
president 	 948.3470301417276 1.3378899560717743 
russian 	 127.6868847621338 1.8957563083328839 
federation 	 1873.132212600282 1.3378899560717743 
moscow 	 488.43955079746706 1.7167916127922753 
russia 	 558.5866255544165 1.6032762897267974 
writing 	 1194.9216602271938 1.3378899560717743 
express 	 1914.632677006366 1.3378899560717743 
alarm 	 2962.8418960712575 1.3378899560717743 
rash 	 2962.8418960712575 1.3378899560717743 
murders 	 1093.2585269220592 1.6032762897267974 
journalists 	 138.7700232629815 1.913893703341499 
covering 	 1004.0914822088696 1.6032762897267974 
war 	 308.5978822081604 1.7167916127922753 
chechnya 	 176.44048445133456 1.9056891117417734 
assassinated 	 2735.781435530685 1.3378899560717743 
conflict 	 1171.5849502428757 1.3378899560717743 
appalling 	 3351.004317184827 1.3378899560717743 
example 	 988.0800022862068 1.3378899560717743 
execution 	 2061.5566651081613 1.3378899560717743 
style 	 1376.2424233997763 1.3378899560717743 
killing 	 1959.4565933035467 1.3378899560717743 
obshchaya 	 2735.781435530685 1.3378899560717743 
gazeta_ 	 2962.8418960712575 1.3378899560717743 
correspondent 	 1030.7783325540806 1.6032762897267974 
nadezhda 	 2735.781435530685 1.3378899560717743 
chaikova 	 911.927145176895 1.7167916127922753 
killed 	 405.0051358260425 1.7797983399694934 
gekhi 	 1675.5021585924135 1.6032762897267974 
kilometers 	 1959.4565933035467 1.3378899560717743 
outside 	 442.9634287013536 1.7167916127922753 
chechen 	 352.8809689026691 1.8198722285464275 
capital 	 656.9780338690254 1.6032762897267974 
grozny 	 376.8824389523085 1.8476059910203242 
join 	 732.6593261962006 1.6032762897267974 
committee 	 585.7924751214379 1.6032762897267974 
protect 	 628.9546654730702 1.6032762897267974 
call 	 352.72378744681674 1.7167916127922753 
thorough 	 1959.4565933035467 1.3378899560717743 
investigation 	 379.4359449264091 1.7167916127922753 
chaikova's 	 3351.004317184827 1.3378899560717743 
assassination 	 2186.5170538441184 1.3378899560717743 
bring 	 1344.233711649405 1.3378899560717743 
justice 	 1194.9216602271938 1.3378899560717743 
responsible 	 622.3661261982159 1.6032762897267974 
assignment 	 2735.781435530685 1.3378899560717743 
march 	 203.2122204855746 1.8476059910203242 
republic 	 276.7244333636607 1.7797983399694934 
seen 	 529.0856811702251 1.6032762897267974 
colleagues 	 638.2108923354554 1.7167916127922753 
sernovodsk 	 3351.004317184827 1.3378899560717743 
reporters 	 1959.4565933035467 1.3378899560717743 
went 	 1764.4048445133456 1.3378899560717743 
search 	 679.4209274840543 1.3378899560717743 
april 	 585.7924751214379 1.6032762897267974 
found 	 262.22873831194306 1.7797983399694934 
photographs 	 911.927145176895 1.7167916127922753 
urus 	 2962.8418960712575 1.3378899560717743 
martanovsky 	 3351.004317184827 1.3378899560717743 
district 	 1410.1922116169796 1.3378899560717743 
prosecutor's 	 2735.781435530685 1.3378899560717743 
office 	 918.4732809467636 1.3378899560717743 
beaten 	 2261.2946337138515 1.3378899560717743 
blindfolded 	 3351.004317184827 1.3378899560717743 
forced 	 1620.02054330417 1.3378899560717743 
kneeling 	 3351.004317184827 1.3378899560717743 
position 	 812.7486010190033 1.3378899560717743 
shot 	 334.69716073628985 1.8476059910203242 
head 	 622.3661261982159 1.6032762897267974 
prosecutor 	 1959.4565933035467 1.3378899560717743 
explained 	 1834.4962045675888 1.3378899560717743 
body 	 398.30722007573127 1.7167916127922753 
discovered 	 1873.132212600282 1.3378899560717743 
outskirts 	 1481.4209480356287 1.6032762897267974 
near 	 1360.009402750755 1.3378899560717743 
sewage 	 3351.004317184827 1.3378899560717743 
pipe 	 2574.679474957688 1.3378899560717743 
forensic 	 2735.781435530685 1.3378899560717743 
exam 	 2449.7190862217303 1.3378899560717743 
indicated 	 2120.558553876544 1.3378899560717743 
murdered 	 1004.0914822088696 1.6032762897267974 
dumped 	 2962.8418960712575 1.3378899560717743 
village 	 1392.9600827635977 1.3378899560717743 
frequently 	 1446.3337834540196 1.3378899560717743 
traveled 	 1224.8595431108652 1.6032762897267974 
surrounding 	 696.4800413817989 1.6032762897267974 
regions 	 1465.3186523924012 1.3378899560717743 
known 	 1022.0297905034104 1.3378899560717743 
hard 	 1526.4702558927968 1.3378899560717743 
hitting 	 2735.781435530685 1.3378899560717743 
coverage 	 1344.233711649405 1.3378899560717743 
issues 	 777.7372011094562 1.3378899560717743 
authorities' 	 2962.8418960712575 1.3378899560717743 
special 	 925.7936466244813 1.3378899560717743 
filtration 	 2574.679474957688 1.3378899560717743 
prison 	 797.5637781322514 1.6032762897267974 
camps 	 1914.632677006366 1.3378899560717743 
control 	 789.1661692229322 1.3378899560717743 
population 	 1160.2714341450649 1.3378899560717743 
prosecute 	 2347.619014417116 1.3378899560717743 
nina 	 1287.339737478844 1.6032762897267974 
yefimova 	 2735.781435530685 1.3378899560717743 
reporter 	 957.316338503183 1.6032762897267974 
language 	 603.4825675754666 1.6032762897267974 
newspaper 	 531.7091854215009 1.7167916127922753 
vozrozhdeniye_ 	 2962.8418960712575 1.3378899560717743 
revival 	 2449.7190862217303 1.3378899560717743 
