term 	 tf-idf weight 	 BM25 ranking 
 nelson 	 213.94921123932988 1.904887095697011 
communications 	 60.52739881473932 1.904887095697011 
images 	 107.71153427815311 1.904887095697011 
logosm 	 988.6366312251984 1.667050126912972 
gif 	 19.525361041469623 1.904887095697011 
index 	 49.139202124492684 1.818409969013805 
htm 	 74.13479264442987 1.818409969013805 
professional 	 455.08362697252556 1.667050126912972 
public 	 30.472187438527495 1.9512851962312567 
relations 	 67.01817790882444 1.9355700437542325 
firm 	 616.0397818424501 1.667050126912972 
sacramento 	 947.4319593897646 1.667050126912972 
blball 	 494.3183156125992 1.818409969013805 
san 	 555.4121208720526 1.667050126912972 
diego 	 790.780696583217 1.667050126912972 
irvine 	 247.1591578062996 1.904887095697011 
larry 	 115.77789539755334 1.9445189918660175 
tenney 	 676.1847997176526 1.818409969013805 
partner 	 332.1537642549057 1.818409969013805 
manager 	 686.9263901436896 1.667050126912972 
office 	 370.66957409637246 1.667050126912972 
managing 	 855.7968449573195 1.667050126912972 
division 	 576.288491221662 1.667050126912972 
addition 	 502.3383732885599 1.667050126912972 
role 	 296.3102828469143 1.667050126912972 
marketing 	 530.2751273371418 1.667050126912972 
management 	 188.30864288804943 1.818409969013805 
lead 	 555.4121208720526 1.667050126912972 
serves 	 225.11136853736767 1.8751617490322885 
senior 	 607.5104677183266 1.667050126912972 
consultant 	 912.5939057488042 1.667050126912972 
providing 	 463.7770064396074 1.667050126912972 
strategic 	 740.3502539862055 1.667050126912972 
services 	 318.4849182935405 1.667050126912972 
account 	 434.7094790518143 1.667050126912972 
comprehensive 	 507.65626570326384 1.667050126912972 
affairs 	 134.0755377944276 1.904887095697011 
accounts 	 686.9263901436896 1.667050126912972 
directed 	 337.6670528060515 1.818409969013805 
local 	 353.71162207327393 1.667050126912972 
national 	 128.7916589478317 1.818409969013805 
programs 	 367.7534046034573 1.667050126912972 
clients 	 202.5034892394422 1.8751617490322885 
including 	 198.42592233377383 1.667050126912972 
anheuser 	 1104.0832221963121 1.667050126912972 
busch 	 1104.0832221963121 1.667050126912972 
company 	 209.81861420755718 1.818409969013805 
unocal 	 1195.7183366287575 1.667050126912972 
walt 	 988.6366312251984 1.667050126912972 
disney 	 912.5939057488042 1.667050126912972 
sea 	 542.4943193442242 1.667050126912972 
world 	 250.5750043918448 1.667050126912972 
california 	 291.84949558982896 1.818409969013805 
served 	 362.8822741045572 1.818409969013805 
acting 	 740.3502539862055 1.667050126912972 
executive 	 542.4943193442242 1.667050126912972 
director 	 536.3021511777104 1.667050126912972 
primary 	 555.4121208720526 1.667050126912972 
press 	 367.7534046034573 1.667050126912972 
spokesperson 	 1195.7183366287575 1.667050126912972 
launch 	 831.9853684186508 1.667050126912972 
grass 	 831.9853684186508 1.667050126912972 
roots 	 576.288491221662 1.667050126912972 
consumer 	 542.4943193442242 1.667050126912972 
advocacy 	 725.7645482091144 1.667050126912972 
education 	 245.45780464639904 1.667050126912972 
organization 	 330.4453810222219 1.667050126912972 
leave 	 699.1455821507718 1.667050126912972 
absence 	 664.3075285098114 1.667050126912972 
assist 	 675.334105612103 1.667050126912972 
transition 	 675.334105612103 1.667050126912972 
operations 	 492.06387674721276 1.667050126912972 
senator 	 370.17512699310277 1.818409969013805 
john 	 482.2362414488318 1.667050126912972 
seymour 	 1352.3695994353052 1.667050126912972 
calif 	 988.6366312251984 1.667050126912972 
set 	 335.41261394066515 1.667050126912972 
field 	 472.8182120623034 1.667050126912972 
offices 	 530.2751273371418 1.667050126912972 
hired 	 855.7968449573195 1.667050126912972 
senate 	 755.9426429422566 1.667050126912972 
aides 	 855.7968449573195 1.667050126912972 
media 	 195.70299782911837 1.667050126912972 
political 	 107.00915564491243 1.818409969013805 
activity 	 455.08362697252556 1.667050126912972 
constituent 	 1195.7183366287575 1.667050126912972 
entire 	 607.5104677183266 1.667050126912972 
southern 	 555.4121208720526 1.667050126912972 
region 	 518.6828428055554 1.667050126912972 
prior 	 530.2751273371418 1.667050126912972 
joining 	 810.4452677828733 1.667050126912972 
aide 	 988.6366312251984 1.667050126912972 
pete 	 1195.7183366287575 1.667050126912972 
wilson 	 712.0633836786002 1.667050126912972 
congressman 	 947.4319593897646 1.667050126912972 
wayne 	 1039.0670738222097 1.667050126912972 
grisham 	 1352.3695994353052 1.667050126912972 
honors 	 415.9926842093254 1.818409969013805 
graduate 	 427.89842247865977 1.818409969013805 
uci 	 450.789866478435 1.8751617490322885 
science 	 247.15069645718867 1.667050126912972 
foundation 	 288.144245610831 1.818409969013805 
board 	 248.571371084889 1.818409969013805 
trustees 	 1039.0670738222097 1.667050126912972 
coro 	 1352.3695994353052 1.667050126912972 
foundation's 	 1104.0832221963121 1.667050126912972 
leadership 	 616.0397818424501 1.667050126912972 
training 	 487.0966438287695 1.667050126912972 
program 	 266.66084332558904 1.667050126912972 
currently 	 477.4781709701217 1.667050126912972 
chairman 	 548.8609375386975 1.667050126912972 
volunteer 	 912.5939057488042 1.667050126912972 
center 	 351.0050028967161 1.667050126912972 
orange 	 395.3903482916085 1.818409969013805 
county 	 268.1510755888552 1.818409969013805 
trustee 	 1195.7183366287575 1.667050126912972 
received 	 455.08362697252556 1.667050126912972 
top 	 211.10214179690965 1.667050126912972 
society 	 343.0743646193691 1.667050126912972 
america 	 442.6401173291613 1.667050126912972 
chapter 	 583.6989911796579 1.667050126912972 
excellence 	 882.4158110156621 1.667050126912972 
programming 	 740.3502539862055 1.667050126912972 
special 	 373.62386453059423 1.667050126912972 
events 	 416.0211512708186 1.667050126912972 
observances 	 1352.3695994353052 1.667050126912972 
corporate 	 562.1588905438805 1.667050126912972 
institutional 	 790.780696583217 1.667050126912972 
advertising 	 675.334105612103 1.667050126912972 
send 	 238.81026658977677 1.667050126912972 
mail 	 398.76085806550486 1.667050126912972 
mailto 	 82.0878226785132 1.818409969013805 
ltenney 	 1352.3695994353052 1.667050126912972 
irv 	 1104.0832221963121 1.667050126912972 
nelsongroup 	 294.1386036718874 1.8751617490322885 
com 	 54.542621926098356 1.818409969013805 
agover 	 947.4319593897646 1.667050126912972 
html 	 12.686648834264487 1.9445189918660175 
people 	 264.81593512113864 1.667050126912972 
meet 	 468.25240020854403 1.667050126912972 
ncg 	 947.4319593897646 1.667050126912972 
staflist 	 947.4319593897646 1.667050126912972 
gazette 	 855.7968449573195 1.667050126912972 
contact 	 182.4371923888791 1.818409969013805 
agency 	 477.4781709701217 1.667050126912972 
specialties 	 947.4319593897646 1.667050126912972 
studio 	 912.5939057488042 1.667050126912972 
studies 	 242.10959525895728 1.667050126912972 
campaigns 	 653.7940049763257 1.667050126912972 
awards 	 356.0316918393001 1.818409969013805 
feedback 	 725.7645482091144 1.667050126912972 
lhart 	 947.4319593897646 1.667050126912972 
sac 	 947.4319593897646 1.667050126912972 
