term 	 tf-idf weight 	 BM25 ranking 
sea 	 2546.842800107176 1.032182315522944 
change 	 1699.6261344201207 1.032182315522944 
debate 	 3069.360350795936 1.032182315522944 
cybercast 	 6348.95639380911 1.032182315522944 
sen 	 1295.8321888830612 1.6202065066314657 
burns 	 1071.0864314153555 1.6202065066314657 
tonight 	 3174.478196904555 1.3616362185595414 
focus 	 2546.842800107176 1.032182315522944 
nrc 	 5613.5272352350075 1.032182315522944 
report 	 334.6854544923473 1.6841701948025898 
calls 	 1039.5726957948525 1.5237544992472754 
question 	 2078.0582499391157 1.032182315522944 
unveils 	 2806.7636176175038 1.3616362185595414 
demo 	 5613.5272352350075 1.032182315522944 
clearinghouse 	 5613.5272352350075 1.032182315522944 
floats 	 6348.95639380911 1.032182315522944 
iii 	 2933.729143623948 1.032182315522944 
draft 	 1703.6198797563507 1.3616362185595414 
urge 	 3905.9136101424265 1.032182315522944 
abandon 	 4878.0980766609055 1.032182315522944 
urges 	 4878.0980766609055 1.032182315522944 
fcc 	 1339.2337057517937 1.5237544992472754 
avoid 	 2892.115966968317 1.032182315522944 
regulating 	 3548.91656708732 1.032182315522944 
senator 	 315.9741027672422 1.8429099862439902 
goes 	 2813.487408513218 1.032182315522944 
discuss 	 2977.0412798099387 1.032182315522944 
legislation 	 497.8954956678827 1.6841701948025898 
challenges 	 3548.91656708732 1.032182315522944 
clinton's 	 4878.0980766609055 1.032182315522944 
grip 	 5613.5272352350075 1.032182315522944 
april 	 554.9337643784336 1.6202065066314657 
senators 	 2439.0490383304527 1.3616362185595414 
strengthen 	 4017.7011172553803 1.032182315522944 
medical 	 2022.6891658251407 1.032182315522944 
march 	 210.0079538329818 1.8429099862439902 
net 	 820.6391624218514 1.5237544992472754 
friendly 	 3627.5451255424186 1.032182315522944 
legislators 	 4878.0980766609055 1.032182315522944 
announce 	 4641.342768716529 1.032182315522944 
caucus 	 4878.0980766609055 1.032182315522944 
controls 	 1641.135979340639 1.3616362185595414 
announces 	 2806.7636176175038 1.3616362185595414 
lift 	 4641.342768716529 1.032182315522944 
export 	 3282.271958681278 1.032182315522944 
proposes 	 3342.9170357654634 1.032182315522944 
improve 	 2705.4959698503685 1.032182315522944 
med 	 1391.0850004450267 1.032182315522944 
deadline 	 4447.899596958143 1.032182315522944 
extended 	 3118.7180873845573 1.032182315522944 
cda 	 575.9254172813605 1.8112948383470864 
challenge 	 1023.1201169319787 1.5237544992472754 
bills 	 3407.2397595127013 1.032182315522944 
relax 	 5613.5272352350075 1.032182315522944 
exports 	 3804.789509370038 1.032182315522944 
introduced 	 3282.271958681278 1.032182315522944 
citizens 	 2671.8106009385992 1.032182315522944 
empowerment 	 4878.0980766609055 1.032182315522944 
coalition 	 482.01932782805284 1.7296942787277276 
files 	 3224.9066369135157 1.032182315522944 
motion 	 3407.2397595127013 1.032182315522944 
overturn 	 5183.328755532245 1.032182315522944 
february 	 528.4140752613874 1.7296942787277276 
broad 	 2740.285971865562 1.032182315522944 
launches 	 5183.328755532245 1.032182315522944 
court 	 976.5452245538464 1.3616362185595414 
individual 	 1782.343329919485 1.032182315522944 
users 	 3170.4844515683244 1.032182315522944 
invited 	 3627.5451255424186 1.032182315522944 
signs 	 3712.470438384041 1.032182315522944 
protest 	 3282.271958681278 1.032182315522944 
begins 	 3407.2397595127013 1.032182315522944 
passes 	 1482.6331989860475 1.5237544992472754 
plan 	 1919.931500449838 1.032182315522944 
vote 	 1319.5809355465867 1.3616362185595414 
final 	 2517.772488493587 1.032182315522944 
telecomm 	 5613.5272352350075 1.032182315522944 
pp35011796 	 6348.95639380911 1.032182315522944 
fails 	 3475.715130439664 1.032182315522944 
meet 	 2198.299985049846 1.032182315522944 
accountability 	 4878.0980766609055 1.032182315522944 
requirements 	 2333.931192221834 1.032182315522944 
digtel 	 6348.95639380911 1.032182315522944 
pp34011296 	 6348.95639380911 1.032182315522944 
victory 	 3342.9170357654634 1.032182315522944 
pgp 	 3118.7180873845573 1.032182315522944 
author 	 2740.285971865562 1.032182315522944 
phil 	 4284.345725661422 1.032182315522944 
zimmermann 	 6348.95639380911 1.032182315522944 
fundamental 	 3118.7180873845573 1.032182315522944 
pp33010496 	 6348.95639380911 1.032182315522944 
text 	 2776.2555181934604 1.032182315522944 
analysis 	 261.0794402090512 1.6841701948025898 
decency 	 863.8881259220408 1.7296942787277276 
pp321206 	 6348.95639380911 1.032182315522944 
december 	 858.9107001896137 1.5237544992472754 
conferees 	 2116.3187979363697 1.5237544992472754 
approve 	 4878.0980766609055 1.032182315522944 
censorship 	 1813.7725627712093 1.3616362185595414 
provision 	 3407.2397595127013 1.032182315522944 
pp311204 	 6348.95639380911 1.032182315522944 
set 	 1574.658333588698 1.032182315522944 
week 	 2461.917487265554 1.032182315522944 
fate 	 3712.470438384041 1.032182315522944 
pp301201 	 6348.95639380911 1.032182315522944 
close 	 2489.4774783394137 1.032182315522944 
decision 	 1887.777524635294 1.032182315522944 
cyberporn 	 3174.478196904555 1.3616362185595414 
issue 	 1506.1829626617348 1.032182315522944 
pp291109 	 6348.95639380911 1.032182315522944 
administration's 	 2071.3344590434017 1.3616362185595414 
flawed 	 5613.5272352350075 1.032182315522944 
pledges 	 4641.342768716529 1.032182315522944 
develop 	 2383.2889288104557 1.032182315522944 
alternative 	 1179.1615355291196 1.3616362185595414 
pp281106 	 6348.95639380911 1.032182315522944 
leahy 	 935.587872539168 1.7296942787277276 
justify 	 4447.899596958143 1.032182315522944 
wiretap 	 6348.95639380911 1.032182315522944 
request 	 1446.0579834841585 1.3616362185595414 
pp271024 	 6348.95639380911 1.032182315522944 
bennett 	 4447.899596958143 1.032182315522944 
introduces 	 1428.1152418871407 1.5237544992472754 
landmark 	 4878.0980766609055 1.032182315522944 
legislaion 	 6348.95639380911 1.032182315522944 
pp261020 	 6348.95639380911 1.032182315522944 
requests 	 4017.7011172553803 1.032182315522944 
pp251006 	 6348.95639380911 1.032182315522944 
panel 	 5183.328755532245 1.032182315522944 
approves 	 4447.899596958143 1.032182315522944 
national 	 604.6369475382718 1.3616362185595414 
system 	 572.2299269429676 1.3616362185595414 
pp240911 	 6348.95639380911 1.032182315522944 
flops 	 6348.95639380911 1.032182315522944 
conference 	 2383.2889288104557 1.032182315522944 
pp230804 	 6348.95639380911 1.032182315522944 
cox 	 6348.95639380911 1.032182315522944 
wyden 	 6348.95639380911 1.032182315522944 
freedom 	 2040.8263596193583 1.032182315522944 
amendment 	 744.2603199524847 1.6202065066314657 
pp220726 	 6348.95639380911 1.032182315522944 
hearings 	 4017.7011172553803 1.032182315522944 
pp210706 	 6348.95639380911 1.032182315522944 
expose 	 4284.345725661422 1.032182315522944 
private 	 2040.8263596193583 1.032182315522944 
records 	 1612.4533184567579 1.3616362185595414 
pp200621 	 6348.95639380911 1.032182315522944 
gingrich 	 4641.342768716529 1.032182315522944 
exon 	 801.9324621764297 1.7637479328077328 
pp190620 	 6348.95639380911 1.032182315522944 
passed 	 1426.0367394892578 1.3616362185595414 
pp180614 	 6348.95639380911 1.032182315522944 
unconstitutional 	 2591.6643777661225 1.3616362185595414 
battle 	 3118.7180873845573 1.032182315522944 
moves 	 3407.2397595127013 1.032182315522944 
pp170614 	 6348.95639380911 1.032182315522944 
harkin 	 6348.95639380911 1.032182315522944 
remove 	 3548.91656708732 1.032182315522944 
protection 	 2136.476673530308 1.032182315522944 
telephone 	 2639.1618710931734 1.032182315522944 
consumer 	 1273.421400053588 1.3616362185595414 
pp160606 	 6348.95639380911 1.032182315522944 
dole 	 4142.668918086803 1.032182315522944 
introduce 	 3905.9136101424265 1.032182315522944 
indecency 	 1727.7762518440816 1.5237544992472754 
pp150531 	 6348.95639380911 1.032182315522944 
proposals 	 3804.789509370038 1.032182315522944 
create 	 2263.949788394737 1.032182315522944 
identification 	 3224.9066369135157 1.032182315522944 
pp140526 	 6348.95639380911 1.032182315522944 
pp130512 	 6348.95639380911 1.032182315522944 
testifies 	 6348.95639380911 1.032182315522944 
subcommittee 	 5613.5272352350075 1.032182315522944 
availability 	 3804.789509370038 1.032182315522944 
bomb 	 3627.5451255424186 1.032182315522944 
material 	 2040.8263596193583 1.032182315522944 
pp120508 	 6348.95639380911 1.032182315522944 
modifies 	 5183.328755532245 1.032182315522944 
caller 	 6348.95639380911 1.032182315522944 
pp110504 	 6348.95639380911 1.032182315522944 
justice 	 2263.949788394737 1.032182315522944 
department 	 2040.8263596193583 1.032182315522944 
threatens 	 4447.899596958143 1.032182315522944 
rights 	 977.5430637674973 1.032182315522944 
comprehensive 	 2383.2889288104557 1.032182315522944 
review 	 1431.5089372974655 1.032182315522944 
pro 	 2740.285971865562 1.032182315522944 
family 	 1811.4136415330745 1.032182315522944 
express 	 3627.5451255424186 1.032182315522944 
concern 	 1191.6444644052278 1.3616362185595414 
pp100427 	 6348.95639380911 1.032182315522944 
counter 	 3475.715130439664 1.032182315522944 
initiative 	 3342.9170357654634 1.032182315522944 
pp090411 	 6348.95639380911 1.032182315522944 
subject 	 117.24976423595432 1.790181310003818 
sponsor 	 4142.668918086803 1.032182315522944 
slow 	 3407.2397595127013 1.032182315522944 
pp080407 	 6348.95639380911 1.032182315522944 
pp070330 	 6348.95639380911 1.032182315522944 
strong 	 2576.7321005688414 1.032182315522944 
opposition 	 2383.2889288104557 1.032182315522944 
pp060323 	 6348.95639380911 1.032182315522944 
pp050322 	 6348.95639380911 1.032182315522944 
commerce 	 3627.5451255424186 1.032182315522944 
committee 	 1109.8675287568672 1.3616362185595414 
adopts 	 6348.95639380911 1.032182315522944 
telecommunications 	 3407.2397595127013 1.032182315522944 
reform 	 2156.686808394215 1.032182315522944 
pp040316 	 6348.95639380911 1.032182315522944 
expresses 	 4447.899596958143 1.032182315522944 
serious 	 3407.2397595127013 1.032182315522944 
led 	 1217.5276464971112 1.3616362185595414 
explore 	 3905.9136101424265 1.032182315522944 
alternatives 	 2852.0734789785156 1.032182315522944 
pp30302 	 6348.95639380911 1.032182315522944 
sends 	 4142.668918086803 1.032182315522944 
letter 	 2933.729143623948 1.032182315522944 
pressler 	 6348.95639380911 1.032182315522944 
message 	 3407.2397595127013 1.032182315522944 
keep 	 2489.4774783394137 1.032182315522944 
fast 	 3548.91656708732 1.032182315522944 
track 	 3548.91656708732 1.032182315522944 
pp20213 	 6348.95639380911 1.032182315522944 
agrees 	 3804.789509370038 1.032182315522944 
adopt 	 4142.668918086803 1.032182315522944 
xdes 	 6348.95639380911 1.032182315522944 
based 	 1305.3972010452562 1.032182315522944 
security 	 1841.302941994739 1.032182315522944 
standards 	 2286.767872134179 1.032182315522944 
pp10209 	 6348.95639380911 1.032182315522944 
constitutional 	 1388.1277590967302 1.3616362185595414 
pfaw 	 6348.95639380911 1.032182315522944 
const 	 5613.5272352350075 1.032182315522944 
people 	 1243.228792758974 1.032182315522944 
american 	 1176.3720338926873 1.032182315522944 
freespeech 	 6348.95639380911 1.032182315522944 
coats_analysis 	 6348.95639380911 1.032182315522944 
federal 	 943.888762317647 1.3616362185595414 
trade 	 1131.9748941973685 1.3616362185595414 
commission 	 1191.6444644052278 1.3616362185595414 
transactional 	 6348.95639380911 1.032182315522944 
ftc_xprivacy_112095 	 6348.95639380911 1.032182315522944 
workship 	 6348.95639380911 1.032182315522944 
global 	 2546.842800107176 1.032182315522944 
infrastructure 	 3548.91656708732 1.032182315522944 
ftc_june96_test 	 6348.95639380911 1.032182315522944 
iwg 	 6348.95639380911 1.032182315522944 
iwgrept 	 6348.95639380911 1.032182315522944 
concerned 	 2546.842800107176 1.032182315522944 
government 	 1251.8900653471237 1.032182315522944 
content 	 1099.149992524923 1.3616362185595414 
regulations 	 1370.142985932781 1.3616362185595414 
completed 	 3118.7180873845573 1.032182315522944 
describes 	 2136.476673530308 1.032182315522944 
currently 	 2241.612121235837 1.032182315522944 
available 	 1660.5665089369186 1.032182315522944 
parental 	 3627.5451255424186 1.032182315522944 
control 	 1495.1880456170197 1.032182315522944 
technologies 	 3627.5451255424186 1.032182315522944 
current 	 1495.1880456170197 1.032182315522944 
raised 	 3224.9066369135157 1.032182315522944 
progress 	 2671.8106009385992 1.032182315522944 
annuals 	 3174.478196904555 1.3616362185595414 
activities 	 1903.7327125190716 1.032182315522944 
cdtovrvw 	 6348.95639380911 1.032182315522944 
home 	 236.9223682512209 1.3616362185595414 
s_home 	 5613.5272352350075 1.032182315522944 
page 	 520.8182024247872 1.032182315522944 
updated 	 1136.6295600431579 1.032182315522944 
write 	 2156.686808394215 1.032182315522944 
webmaster 	 1902.394754685019 1.3616362185595414 
org 	 1352.7479849251843 1.3616362185595414 
mailto 	 770.7538040876328 1.032182315522944 
