term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 1842.387916503615 1.1595285483863056 
eeeeeee 	 2378.964094080122 1.0492911422045494 
zzzzzzz 	 4757.928188160244 0.7112129273157106 
tttttttnn 	 9515.856376320487 0.4325077371063871 
eeee 	 4757.928188160244 0.7112129273157106 
szerb 	 4478.136270792668 0.9057704734915503 
nepirtas 	 18854.929512145496 0.4325077371063871 
szerkesztoseg 	 17939.817808205924 0.4325077371063871 
arra 	 4655.381820771901 0.7112129273157106 
keri 	 15097.221220729587 0.4325077371063871 
olvasoinkat 	 18854.929512145496 0.4325077371063871 
hogy 	 200.25955614169732 1.853934365980362 
alabbi 	 12254.62463325325 0.4325077371063871 
magyar 	 575.7462239073797 1.6306401579804026 
angol 	 7174.76025815879 0.7112129273157106 
illetve 	 2040.1890355048265 1.1595285483863056 
nemet 	 11178.66878467207 0.4325077371063871 
valtozatot 	 18854.929512145496 0.4325077371063871 
megfelelo 	 5589.334392336035 0.7112129273157106 
forumokra 	 24540.12268709817 0.4325077371063871 
juttassak 	 17939.817808205924 0.4325077371063871 
subject 	 3625.5704665911303 0.4325077371063871 
history 	 4515.752002571462 0.4325077371063871 
serbian 	 4902.118057784017 0.9057704734915503 
genocide 	 10017.356845635126 0.7112129273157106 
signed 	 8928.999816550087 0.4325077371063871 
siliconvalley 	 10457.341161504582 0.4325077371063871 
com 	 989.731382827121 0.7112129273157106 
altal 	 3171.9521254401625 0.9057704734915503 
kisse 	 8596.058551896956 0.7112129273157106 
szerkesztve 	 20034.71369127025 0.4325077371063871 
menlevel 	 24540.12268709817 0.4325077371063871 
balkani 	 3311.989033164466 1.1595285483863056 
nepirtoknak 	 24540.12268709817 0.4325077371063871 
vilagsajto 	 24540.12268709817 0.4325077371063871 
naponta 	 8279.972582911165 0.7112129273157106 
tolti 	 21697.526099621835 0.4325077371063871 
tele 	 15529.304695442333 0.4325077371063871 
ujsagok 	 8279.972582911165 0.7112129273157106 
hasabjait 	 24540.12268709817 0.4325077371063871 
volt 	 1842.387916503615 1.1595285483863056 
jugoszlavia 	 17939.817808205924 0.4325077371063871 
problemaival 	 21697.526099621835 0.4325077371063871 
szorgalmazzak 	 18854.929512145496 0.4325077371063871 
megszallott 	 24540.12268709817 0.4325077371063871 
modon 	 5100.472588762066 0.7112129273157106 
kovetelik 	 17192.117103793913 0.4325077371063871 
ket 	 1862.1527283087605 1.1595285483863056 
fobunos 	 24540.12268709817 0.4325077371063871 
karadzic 	 8596.058551896956 0.7112129273157106 
und 	 897.8537862926427 1.7056395327866474 
mladic 	 9427.464756072748 0.7112129273157106 
elleni 	 5511.947849807207 0.7112129273157106 
bunteto 	 18854.929512145496 0.4325077371063871 
eljaras 	 16012.332924669161 0.4325077371063871 
elinditasat 	 21697.526099621835 0.4325077371063871 
ennyi 	 14349.52051631758 0.4325077371063871 
nagy 	 1330.1090916491146 1.3177469306202958 
igyekezet 	 21697.526099621835 0.4325077371063871 
lattan 	 18854.929512145496 0.4325077371063871 
akaratlanul 	 21697.526099621835 0.4325077371063871 
felmerul 	 12270.061343549085 0.7112129273157106 
