term 	 tf-idf weight 	 BM25 ranking 
 appendix 	 352.1556530922423 1.833139163594296 
arizona 	 22.009728318265143 1.9886862839142065 
notice 	 313.06822205663724 1.833139163594296 
capacity 	 284.80122694935596 1.833139163594296 
requirements 	 226.57390461719973 1.833139163594296 
county 	 48.8841783816851 1.9642411307886478 
telecommunications 	 330.7687985200831 1.833139163594296 
carriers 	 369.36222381254845 1.833139163594296 
providing 	 211.36739674017505 1.833139163594296 
local 	 161.204854307731 1.833139163594296 
services 	 145.15020612493217 1.833139163594296 
represent 	 293.3895326700782 1.833139163594296 
historical 	 85.82208060827031 1.9129377623486856 
simultaneous 	 195.01565272257503 1.9129377623486856 
interceptions 	 112.64333298251708 1.955500320762037 
estimation 	 360.4000519826166 1.833139163594296 
requirement 	 138.43711985616736 1.9129377623486856 
pen 	 402.1629581177575 1.833139163594296 
register 	 344.52253196040897 1.833139163594296 
trap 	 431.79421158029095 1.833139163594296 
trace 	 415.91669155808336 1.833139163594296 
call 	 194.62794700190423 1.833139163594296 
content 	 213.40706735168158 1.833139163594296 
conducted 	 94.93374231645198 1.9411039039134197 
estimated 	 138.43711985616736 1.9129377623486856 
actual 	 259.3746389224088 1.833139163594296 
maximum 	 289.00589238494223 1.833139163594296 
experience 	 184.81099848205878 1.833139163594296 
apache 	 544.9512773131063 1.833139163594296 
cochise 	 616.3454369107807 1.833139163594296 
coconino 	 544.9512773131063 1.833139163594296 
gila 	 544.9512773131063 1.833139163594296 
graham 	 431.79421158029095 1.833139163594296 
greenlee 	 544.9512773131063 1.833139163594296 
paz 	 544.9512773131063 1.833139163594296 
maricopa 	 473.5571177154319 1.833139163594296 
mohave 	 544.9512773131063 1.833139163594296 
navajo 	 503.18837117796534 1.833139163594296 
pima 	 544.9512773131063 1.833139163594296 
pinal 	 503.18837117796534 1.833139163594296 
santa 	 369.36222381254845 1.833139163594296 
cruz 	 473.5571177154319 1.833139163594296 
yavapai 	 544.9512773131063 1.833139163594296 
yuma 	 503.18837117796534 1.833139163594296 
term 	 201.73421276506022 1.833139163594296 
includes 	 140.98802367613087 1.833139163594296 
boroughs 	 450.5733319300683 1.833139163594296 
parishes 	 450.5733319300683 1.833139163594296 
district 	 259.3746389224088 1.833139163594296 
columbia 	 352.1556530922423 1.833139163594296 
independent 	 194.62794700190423 1.833139163594296 
cities 	 307.78501273471954 1.833139163594296 
territories 	 379.17917233239393 1.833139163594296 
american 	 114.200112621062 1.833139163594296 
samoa 	 415.91669155808336 1.833139163594296 
guam 	 450.5733319300683 1.833139163594296 
mariana 	 450.5733319300683 1.833139163594296 
islands 	 176.07782654612114 1.9129377623486856 
puerto 	 352.1556530922423 1.833139163594296 
rico 	 369.36222381254845 1.833139163594296 
virgin 	 431.79421158029095 1.833139163594296 
considered 	 213.40706735168158 1.833139163594296 
single 	 221.99537307240382 1.833139163594296 
entities 	 360.4000519826166 1.833139163594296 
digi_tele 	 225.28666596503416 1.9129377623486856 
intercept_data 	 450.5733319300683 1.833139163594296 
cdt 	 189.58958616619697 1.9129377623486856 
digital 	 337.416266197253 1.833139163594296 
telephony 	 415.91669155808336 1.833139163594296 
page 	 25.28005412335206 1.9129377623486856 
home 	 46.00000740787135 1.833139163594296 
