term 	 tf-idf weight 	 BM25 ranking 
 car 	 46.20232919367007 1.9688740188366798 
graphic 	 550.4568946393302 1.7508823007832062 
images 	 76.7325531804542 1.9313029566802467 
gif 	 13.909659856976148 1.9313029566802467 
maintenance 	 205.27090063426454 1.8671684797122128 
tips 	 148.1743853046491 1.9313029566802467 
masthead 	 740.2203490503352 1.7508823007832062 
maintips480x60 	 786.537162715072 1.7508823007832062 
keep 	 188.88118473734477 1.8671684797122128 
cool 	 609.6605842395063 1.7508823007832062 
summer 	 275.2284473196651 1.8671684797122128 
heat 	 550.4568946393302 1.7508823007832062 
hard 	 438.8601985691791 1.7508823007832062 
car's 	 481.70687059531883 1.8671684797122128 
interior 	 175.8058862710606 1.909440800449417 
cause 	 405.43026083988167 1.7508823007832062 
headliner 	 963.4137411906377 1.7508823007832062 
ceiling 	 786.537162715072 1.7508823007832062 
fabric 	 786.537162715072 1.7508823007832062 
droop 	 963.4137411906377 1.7508823007832062 
padded 	 851.8170451204865 1.7508823007832062 
dash 	 786.537162715072 1.7508823007832062 
crack 	 674.9404666449208 1.7508823007832062 
upholstery 	 963.4137411906377 1.7508823007832062 
fade 	 963.4137411906377 1.7508823007832062 
related 	 255.907427288375 1.7508823007832062 
addressed 	 263.7088294065909 1.8671684797122128 
little 	 373.58031616376456 1.7508823007832062 
common 	 288.87932772438313 1.7508823007832062 
sense 	 386.46719209920394 1.7508823007832062 
try 	 222.58736669342866 1.8671684797122128 
park 	 275.2284473196651 1.8671684797122128 
shade 	 283.93901504016213 1.909440800449417 
avoid 	 438.8601985691791 1.7508823007832062 
wide 	 343.53997731531825 1.7508823007832062 
spaces 	 786.537162715072 1.7508823007832062 
allow 	 391.0027032908421 1.7508823007832062 
relentless 	 963.4137411906377 1.7508823007832062 
full 	 277.1222809869859 1.7508823007832062 
time 	 76.75661792322778 1.8671684797122128 
exposure 	 628.623652980184 1.7508823007832062 
sun 	 253.63319639879342 1.8671684797122128 
near 	 391.0027032908421 1.7508823007832062 
building 	 318.2330983682098 1.7508823007832062 
assure 	 704.2942372887476 1.7508823007832062 
finally 	 432.7840057639406 1.7508823007832062 
purchase 	 489.35906554484075 1.7508823007832062 
inexpensive 	 963.4137411906377 1.7508823007832062 
cardboard 	 851.8170451204865 1.7508823007832062 
blockers 	 963.4137411906377 1.7508823007832062 
placed 	 445.1747333868573 1.7508823007832062 
windshield 	 963.4137411906377 1.7508823007832062 
rear 	 851.8170451204865 1.7508823007832062 
windows 	 577.3526022701001 1.7508823007832062 
help 	 277.1222809869859 1.7508823007832062 
lower 	 361.6489326470154 1.7508823007832062 
temperature 	 609.6605842395063 1.7508823007832062 
protecting 	 527.4176588131818 1.7508823007832062 
free 	 203.73542291212743 1.7508823007832062 
pamphlet 	 592.6975412185964 1.7508823007832062 
looking 	 361.6489326470154 1.7508823007832062 
young' 	 963.4137411906377 1.7508823007832062 
published 	 382.05595725491753 1.7508823007832062 
care 	 79.55827459205246 1.9313029566802467 
council 	 124.52677205458819 1.909440800449417 
send 	 170.1258978803277 1.7508823007832062 
stamped 	 740.2203490503352 1.7508823007832062 
self 	 291.3373907374401 1.7508823007832062 
envelope 	 674.9404666449208 1.7508823007832062 
dept 	 609.6605842395063 1.7508823007832062 
grande 	 786.537162715072 1.7508823007832062 
lake 	 458.59917242604456 1.7508823007832062 
drive 	 489.35906554484075 1.7508823007832062 
port 	 628.623652980184 1.7508823007832062 
clinton 	 451.74707450461847 1.7508823007832062 
button 	 192.62757060272824 1.7508823007832062 
bar 	 309.6824164926642 1.7508823007832062 
tips2_buttons 	 393.268581357536 1.8671684797122128 
x98 	 393.268581357536 1.8671684797122128 
maps 	 563.3437705747697 1.7508823007832062 
map 	 426.92881505242985 1.7508823007832062 
html 	 12.652967465677945 1.9446622110960419 
mainttips 	 740.2203490503352 1.7508823007832062 
industry 	 126.96597119054645 1.8671684797122128 
news 	 293.8335647697305 1.7508823007832062 
quiz 	 740.2203490503352 1.7508823007832062 
ccquiz 	 786.537162715072 1.7508823007832062 
service 	 244.40253408724965 1.7508823007832062 
department 	 309.6824164926642 1.7508823007832062 
cgi 	 498.06388816935515 1.7508823007832062 
ais 	 674.9404666449208 1.7508823007832062 
secure 	 498.06388816935515 1.7508823007832062 
home 	 35.95146210032664 1.8671684797122128 
page 	 79.03084881280935 1.7508823007832062 
autoshop 	 352.1471186443738 1.8671684797122128 
mini 	 609.6605842395063 1.7508823007832062 
logo 	 400.47602379453434 1.7508823007832062 
autoshop_logo_small 	 740.2203490503352 1.7508823007832062 
copyright 	 125.56866457127359 1.7508823007832062 
automotive 	 577.3526022701001 1.7508823007832062 
information 	 133.73379447649523 1.7508823007832062 
systems 	 253.9319423810929 1.7508823007832062 
mailto 	 116.95698629416484 1.7508823007832062 
webmaster 	 577.3526022701001 1.7508823007832062 
online 	 527.4176588131818 1.7508823007832062 
com 	 38.8555846464683 1.8671684797122128 
site 	 321.1873096937895 1.7508823007832062 
created 	 298.9451051983779 1.7508823007832062 
periscope 	 704.2942372887476 1.7508823007832062 
marketing 	 377.76236947468954 1.7508823007832062 
communications 	 172.47630458713328 1.7508823007832062 
http 	 70.64017262942811 1.7508823007832062 
www 	 70.01249152250728 1.7508823007832062 
mpls 	 704.2942372887476 1.7508823007832062 
modified 	 481.1008451484451 1.7508823007832062 
february 	 481.1008451484451 1.7508823007832062 
