term 	 tf-idf weight 	 BM25 ranking 
 law 	 42.58882851390447 1.9138814416418575 
leading 	 941.72514978429 1.2987335880323272 
attorneys 	 1740.3981015671627 1.2987335880323272 
web 	 2507.6792118106205 0.9615738620066696 
header 	 3378.9038770108054 0.9615738620066696 
gif 	 105.57518226847735 1.5748268884084249 
webhead 	 3651.58529671677 0.9615738620066696 
illinois 	 158.0609249430946 1.8924374957319456 
criminal 	 91.0047749672363 1.9366240697742165 
dui 	 281.1019252328476 1.9103050781775772 
misdemeanors 	 431.0229520236996 1.8656805264533505 
codes 	 1460.7140372133792 1.4706158365451345 
attempt 	 632.969505591638 1.5748268884084249 
conspiracy 	 730.3570186066896 1.6949335862065062 
aiding 	 1492.4664795618291 1.5748268884084249 
abetting 	 1616.3360700888734 1.5748268884084249 
crimes 	 161.96004535676212 1.8924374957319456 
causing 	 2001.5663946264228 1.2987335880323272 
harm 	 1590.430857022329 1.4706158365451345 
property 	 154.13250386039348 1.8868000252937893 
civil 	 347.7140229270212 1.6949335862065062 
rights 	 102.35263678552667 1.8212035976430456 
sex 	 883.7790642489712 1.5748268884084249 
alcohol 	 454.16023091221115 1.785727851483723 
drug 	 799.383657689069 1.5748268884084249 
related 	 323.7255446650044 1.6949335862065062 
traffic 	 547.7677639550172 1.7621293982261226 
offenses 	 593.9596673339196 1.785727851483723 
juveniles 	 2155.114760118498 1.4706158365451345 
crime 	 98.92449346198944 1.9305066869196852 
victims' 	 2984.9329591236583 1.2987335880323272 
resources 	 1144.4411364899802 1.2987335880323272 
chapter 	 450.872419229799 1.7326896883085972 
outlines 	 4087.442078209901 0.9615738620066696 
issues 	 1697.133678135278 0.9615738620066696 
focuses 	 2437.8316300982033 0.9615738620066696 
punishments 	 5618.318425711241 0.9615738620066696 
relatively 	 3780.3358468506335 0.9615738620066696 
severe 	 1260.1119489502112 1.4706158365451345 
felonies 	 663.3184353608129 1.785727851483723 
covered 	 1665.488082768748 1.2987335880323272 
white 	 860.5874998901013 1.4706158365451345 
collar 	 1707.6133545343544 1.4706158365451345 
c13 	 3656.1850674998736 1.2987335880323272 
html 	 68.59772068792569 1.7326896883085972 
persons 	 1483.8674019298417 1.2987335880323272 
accused 	 639.5069261512551 1.6447575572514612 
victims 	 435.0995253917907 1.7621293982261226 
discusses 	 1648.7313113831317 0.9615738620066696 
driving 	 328.9087853045239 1.8466009520129567 
influence 	 350.56255420920985 1.6949335862065062 
violations 	 1238.0885674861188 1.4706158365451345 
juvenile 	 548.2742147615727 1.785727851483723 
justice 	 1303.7448828550275 1.2987335880323272 
system 	 263.62487114959714 1.6447575572514612 
family 	 2086.2841375621274 0.9615738620066696 
c16 	 6465.3442803554935 0.9615738620066696 
covers 	 3714.2657024583564 0.9615738620066696 
domestic 	 1330.314286250208 1.2987335880323272 
abuse 	 1038.6792570396326 1.4706158365451345 
protective 	 4627.361701494887 0.9615738620066696 
process 	 956.273456136152 1.2987335880323272 
c03 	 2809.1592128556204 1.2987335880323272 
describes 	 2460.6734166390543 0.9615738620066696 
procedure 	 3330.976165537496 0.9615738620066696 
private 	 2350.5087761120226 0.9615738620066696 
causes 	 2688.0904023516314 0.9615738620066696 
action 	 1230.3367083195271 1.2987335880323272 
result 	 2192.612040243455 0.9615738620066696 
conduct 	 870.1990507835814 1.5748268884084249 
personal 	 1747.5325734638857 0.9615738620066696 
injury 	 2001.5663946264228 1.2987335880323272 
chapters 	 2313.6808507474434 1.2987335880323272 
defines 	 3330.976165537496 0.9615738620066696 
prohibited 	 4498.611151361023 0.9615738620066696 
government 	 720.9282091678535 1.2987335880323272 
range 	 924.7950231623608 1.4706158365451345 
penalties 	 1460.7140372133792 1.4706158365451345 
imposed 	 3780.3358468506335 0.9615738620066696 
violating 	 1499.5370504536743 1.4706158365451345 
prohibitions 	 2809.1592128556204 1.2987335880323272 
depending 	 1767.5581284979423 1.2987335880323272 
nature 	 2069.4286979164126 0.9615738620066696 
person 	 97.93786567133427 1.9138814416418575 
violates 	 4934.467932854154 0.9615738620066696 
incurs 	 7312.370134999747 0.9615738620066696 
including 	 1072.9047658932373 0.9615738620066696 
fines 	 2561.420031801532 1.2987335880323272 
imprisonment 	 817.4884156419802 1.6447575572514612 
definition 	 2581.762499670304 0.9615738620066696 
committed 	 385.018342856305 1.805066626699621 
laws 	 603.8522456614168 1.5748268884084249 
allow 	 2967.7348038596833 0.9615738620066696 
authorities 	 3156.1069346085924 0.9615738620066696 
seize 	 5345.637006005276 0.9615738620066696 
connected 	 1334.3775964176152 1.4706158365451345 
commission 	 1372.4689307287354 1.2987335880323272 
example 	 269.516464909318 1.7621293982261226 
convicted 	 712.6357014931351 1.6949335862065062 
repeatedly 	 5345.637006005276 0.9615738620066696 
driver's 	 2672.818503002638 1.2987335880323272 
license 	 1425.2714029862702 1.4706158365451345 
confiscated 	 5969.865918247317 0.9615738620066696 
privileges 	 626.0203016628769 1.7326896883085972 
revoked 	 5969.865918247317 0.9615738620066696 
similarly 	 1542.4539004982955 1.4706158365451345 
charged 	 707.023251399177 1.6447575572514612 
controlled 	 1925.0917142815251 1.2987335880323272 
substances 	 1590.430857022329 1.4706158365451345 
forfeit 	 5618.318425711241 0.9615738620066696 
raw 	 5122.840063603064 0.9615738620066696 
materials 	 2899.8284457485042 0.9615738620066696 
drugs 	 3850.1834285630503 0.9615738620066696 
vehicles 	 3591.9637161017235 0.9615738620066696 
real 	 1218.9158150491016 1.2987335880323272 
money 	 1154.5405399821698 1.2987335880323272 
proceeds 	 4627.361701494887 0.9615738620066696 
sale 	 3714.2657024583564 0.9615738620066696 
defined 	 3330.976165537496 0.9615738620066696 
list 	 2804.5594420725165 0.9615738620066696 
elements 	 896.0301341172105 1.4706158365451345 
trial 	 3077.240861778481 0.9615738620066696 
prosecutor 	 2137.9071044794055 1.2987335880323272 
attempts 	 2556.565730708561 0.9615738620066696 
prove 	 4003.1327892528457 0.9615738620066696 
committing 	 1069.1274012010554 1.6447575572514612 
proven 	 4498.611151361023 0.9615738620066696 
judge 	 555.1626942562493 1.6949335862065062 
jury 	 2001.5663946264228 1.2987335880323272 
guilty 	 800.6265578505692 1.6447575572514612 
minor 	 521.65504238811 1.7326896883085972 
found 	 2288.8822729799604 0.9615738620066696 
reasonable 	 1890.1679234253168 1.2987335880323272 
doubt 	 4627.361701494887 0.9615738620066696 
intent 	 4275.814208958811 0.9615738620066696 
commit 	 562.3263939201279 1.7621293982261226 
takes 	 3039.6378948877077 0.9615738620066696 
substantial 	 1260.1119489502112 1.4706158365451345 
step 	 977.7699974021267 1.4706158365451345 
merely 	 4003.1327892528457 0.9615738620066696 
thinking 	 4003.1327892528457 0.9615738620066696 
preparing 	 4178.002020181749 0.9615738620066696 
teenagers 	 5345.637006005276 0.9615738620066696 
talks 	 3378.9038770108054 0.9615738620066696 
easy 	 3378.9038770108054 0.9615738620066696 
walk 	 4934.467932854154 0.9615738620066696 
store 	 3714.2657024583564 0.9615738620066696 
pair 	 5969.865918247317 0.9615738620066696 
jeans 	 7312.370134999747 0.9615738620066696 
attempted 	 2249.3055756805115 1.2987335880323272 
deactivate 	 6465.3442803554935 0.9615738620066696 
store's 	 7312.370134999747 0.9615738620066696 
alarm 	 6465.3442803554935 0.9615738620066696 
detect 	 6465.3442803554935 0.9615738620066696 
passes 	 5122.840063603064 0.9615738620066696 
doors 	 5345.637006005276 0.9615738620066696 
probably 	 3714.2657024583564 0.9615738620066696 
tampering 	 5969.865918247317 0.9615738620066696 
vandalism 	 5618.318425711241 0.9615738620066696 
theft 	 994.9776530412194 1.6949335862065062 
doctrines 	 4934.467932854154 0.9615738620066696 
apply 	 1080.1387411885491 1.4706158365451345 
wide 	 2607.489765710055 0.9615738620066696 
agreement 	 2531.878022366552 0.9615738620066696 
people 	 357.9702131836631 1.5748268884084249 
conspire 	 6465.3442803554935 0.9615738620066696 
preclude 	 6465.3442803554935 0.9615738620066696 
potential 	 2507.6792118106205 0.9615738620066696 
renters 	 6465.3442803554935 0.9615738620066696 
fall 	 2531.878022366552 0.9615738620066696 
protected 	 4498.611151361023 0.9615738620066696 
renting 	 3656.1850674998736 1.2987335880323272 
apartments 	 5345.637006005276 0.9615738620066696 
building 	 1207.7044913228335 1.2987335880323272 
apartment 	 4627.361701494887 0.9615738620066696 
manager 	 3714.2657024583564 0.9615738620066696 
rejects 	 5122.840063603064 0.9615738620066696 
conspirator 	 5969.865918247317 0.9615738620066696 
conspirators 	 2672.818503002638 1.2987335880323272 
criminally 	 3232.6721401777468 1.2987335880323272 
liable 	 1156.8404253737217 1.5748268884084249 
acts 	 870.1990507835814 1.5748268884084249 
reasonably 	 4087.442078209901 0.9615738620066696 
foreseeable 	 5345.637006005276 0.9615738620066696 
aids 	 3591.9637161017235 0.9615738620066696 
advises 	 2984.9329591236583 1.2987335880323272 
intentionally 	 2561.420031801532 1.2987335880323272 
equally 	 4275.814208958811 0.9615738620066696 
penalize 	 6465.3442803554935 0.9615738620066696 
variety 	 2556.565730708561 0.9615738620066696 
activities 	 2192.612040243455 0.9615738620066696 
listed 	 4382.142111640138 0.9615738620066696 
code 	 1372.4689307287354 1.2987335880323272 
unlawfully 	 5618.318425711241 0.9615738620066696 
interfering 	 5345.637006005276 0.9615738620066696 
public 	 439.37478524932857 1.4706158365451345 
utility 	 4627.361701494887 0.9615738620066696 
trespass 	 3656.1850674998736 1.2987335880323272 
residence 	 1795.9818580508618 1.2987335880323272 
vehicle 	 547.476247457076 1.6949335862065062 
damaging 	 1590.430857022329 1.4706158365451345 
sign 	 3284.8574847424566 0.9615738620066696 
light 	 2460.6734166390543 0.9615738620066696 
offense 	 731.8342948004376 1.7326896883085972 
means 	 730.8706800811516 1.4706158365451345 
retail 	 1542.4539004982955 1.4706158365451345 
valued 	 6465.3442803554935 0.9615738620066696 
misdemeanor 	 1336.409251501319 1.5748268884084249 
time 	 194.19583250969842 1.6949335862065062 
shoplifting 	 5969.865918247317 0.9615738620066696 
arrested 	 1890.1679234253168 1.2987335880323272 
similar 	 1207.7044913228335 1.2987335880323272 
felony 	 1069.1274012010554 1.6447575572514612 
mentioned 	 4498.611151361023 0.9615738620066696 
usually 	 3077.240861778481 0.9615738620066696 
carry 	 707.023251399177 1.6447575572514612 
maximum 	 1714.3941771572786 1.2987335880323272 
punishment 	 1021.8605195524752 1.5748268884084249 
fine 	 928.5664256145891 1.5748268884084249 
incarceration 	 5969.865918247317 0.9615738620066696 
punished 	 5618.318425711241 0.9615738620066696 
jail 	 1925.0917142815251 1.2987335880323272 
prison 	 3480.7962031343254 0.9615738620066696 
categorized 	 5969.865918247317 0.9615738620066696 
burglary 	 6465.3442803554935 0.9615738620066696 
robbery 	 5345.637006005276 0.9615738620066696 
value 	 1154.5405399821698 1.2987335880323272 
depends 	 2089.0010100908744 1.2987335880323272 
damaged 	 4627.361701494887 0.9615738620066696 
statute 	 4498.611151361023 0.9615738620066696 
prohibiting 	 5345.637006005276 0.9615738620066696 
damage 	 962.5458571407626 1.5748268884084249 
proscribes 	 7312.370134999747 0.9615738620066696 
knowingly 	 1872.7728085704134 1.4706158365451345 
recklessly 	 5618.318425711241 0.9615738620066696 
another's 	 1293.0688560710987 1.6447575572514612 
setting 	 1417.7489017146595 1.2987335880323272 
fire 	 3428.788354314557 0.9615738620066696 
