term 	 tf-idf weight 	 BM25 ranking 
 law 	 65.31216418580766 1.87089876723765 
leading 	 722.0920338362355 1.4143975869948342 
attorneys 	 889.6634048927613 1.5673739110613085 
web 	 1922.827677141204 1.094056518419569 
header 	 2590.8616471023934 1.094056518419569 
gif 	 80.95249245954442 1.6569805372194037 
webhead 	 2799.947154683808 1.094056518419569 
illinois 	 575.6871208596386 1.6569805372194037 
personal 	 223.32760792903176 1.7574540265615255 
injury 	 191.84407853569542 1.9015859027690232 
medical 	 66.15910037274956 1.940487468442027 
professional 	 157.23206433379661 1.87089876723765 
malpractice 	 89.27431073493659 1.9630562134706888 
legal 	 72.714188249357 1.9274525163165968 
duty 	 179.91065368270293 1.888311866509518 
breach 	 236.4769053336918 1.9015859027690232 
proximate 	 509.72257227308165 1.8599839390806734 
cause 	 262.17263934228373 1.8314908135995465 
elements 	 343.5271013370811 1.7574540265615255 
third 	 634.8776435643666 1.5673739110613085 
party 	 570.0249486319616 1.5673739110613085 
lawsuits 	 756.7260970678138 1.7158370888635017 
consent 	 601.8065324530445 1.7158370888635017 
forms 	 339.1094846223371 1.7158370888635017 
resources 	 877.5297421367524 1.4143975869948342 
injuries 	 689.8852125736954 1.7158370888635017 
caused 	 2590.8616471023934 1.094056518419569 
negligence 	 3783.630485339069 1.094056518419569 
lawyer 	 140.71198347884197 1.9382691741075668 
government 	 1105.5805760888359 1.094056518419569 
punish 	 3449.4260628684765 1.094056518419569 
wrongdoer 	 2478.7346934096145 1.4143975869948342 
victim 	 2710.6415162071557 1.094056518419569 
pursue 	 3360.1204243918246 1.094056518419569 
private 	 1802.3131941219026 1.094056518419569 
civil 	 1599.7121414858536 1.094056518419569 
lawsuit 	 406.5012856055435 1.8314908135995465 
called 	 1639.5905001962653 1.094056518419569 
tort 	 3203.5907470624375 1.094056518419569 
action 	 235.84809650069494 1.8124029049159711 
chapter 	 605.0065870966145 1.6569805372194037 
outlines 	 3134.1515771544 1.094056518419569 
actions 	 403.90226129872303 1.7158370888635017 
lead 	 1151.3742417192773 1.4143975869948342 
accidents 	 1891.8152426695344 1.4143975869948342 
occurring 	 3360.1204243918246 1.094056518419569 
workers 	 2249.1910496705223 1.094056518419569 
job 	 2330.7207099098055 1.094056518419569 
discussed 	 926.038550220536 1.4143975869948342 
c18 	 5606.948295003897 1.094056518419569 
html 	 73.63869885304493 1.7158370888635017 
transportation 	 1210.013174193229 1.4143975869948342 
c20 	 4957.469386819229 1.094056518419569 
deals 	 2040.1055420891078 1.094056518419569 
result 	 840.6209008625683 1.4143975869948342 
related 	 1489.3494370758222 1.094056518419569 
brought 	 1225.8960511532857 1.4143975869948342 
kind 	 2389.3022844013153 1.094056518419569 
including 	 822.6773859590535 1.094056518419569 
psychologists 	 4098.904971053145 1.094056518419569 
clergy 	 4098.904971053145 1.094056518419569 
accountants 	 4957.469386819229 1.094056518419569 
financial 	 787.0196513357953 1.4143975869948342 
advisors 	 4307.99047863456 1.094056518419569 
doctors 	 298.0537058320492 1.8599839390806734 
lawyers 	 429.8618088950318 1.7884382040716043 
common 	 840.6209008625683 1.4143975869948342 
types 	 1852.077100441072 1.094056518419569 
claims 	 582.6801774774514 1.6569805372194037 
precise 	 3278.5907641525414 1.094056518419569 
definition 	 989.8164738916018 1.4143975869948342 
speaking 	 2754.23077085705 1.094056518419569 
commits 	 1435.9968262115199 1.5673739110613085 
fails 	 613.9010513142254 1.7158370888635017 
provide 	 793.3938993239275 1.4143975869948342 
quality 	 2040.1055420891078 1.094056518419569 
services 	 440.1480360487425 1.5673739110613085 
client 	 196.8151594415482 1.895368204410445 
bad 	 1534.7526282855633 1.4143975869948342 
conduct 	 889.6634048927613 1.5673739110613085 
unique 	 1165.3603549549027 1.4143975869948342 
constitute 	 3658.511570449891 1.094056518419569 
instance 	 1534.7526282855633 1.4143975869948342 
misses 	 2803.4741475019487 1.4143975869948342 
deadlines 	 4957.469386819229 1.094056518419569 
inadequately 	 2803.4741475019487 1.4143975869948342 
prepares 	 3928.06967233721 1.094056518419569 
trial 	 589.8884385201384 1.6569805372194037 
represents 	 2754.23077085705 1.094056518419569 
dispute 	 2952.227391623223 1.094056518419569 
informing 	 4577.548580521879 1.094056518419569 
parties 	 2061.162608022487 1.094056518419569 
steals 	 5606.948295003897 1.094056518419569 
funds 	 2359.5537540805535 1.094056518419569 
assaults 	 4577.548580521879 1.094056518419569 
defrauds 	 5606.948295003897 1.094056518419569 
committed 	 738.0568479058057 1.6569805372194037 
crime 	 2275.587161388317 1.094056518419569 
probably 	 2848.008971524943 1.094056518419569 
steps 	 2554.111838877769 1.094056518419569 
hire 	 3548.14886603986 1.094056518419569 
attorney 	 525.8223711935746 1.7158370888635017 
c01 	 5606.948295003897 1.094056518419569 
help 	 1612.817250216185 1.094056518419569 
consumer 	 2249.1910496705223 1.094056518419569 
avoid 	 2554.111838877769 1.094056518419569 
disputes 	 3203.5907470624375 1.094056518419569 
causation 	 1868.9827650012992 1.5673739110613085 
judge 	 319.26397985972113 1.8124029049159711 
jury 	 613.9010513142254 1.7158370888635017 
examines 	 627.5770112542157 1.4143975869948342 
element 	 738.0568479058057 1.6569805372194037 
missing 	 1182.7162886799533 1.5673739110613085 
plaintiff 	 683.1508285088576 1.7574540265615255 
recover 	 887.037216509965 1.6569805372194037 
owes 	 4957.469386819229 1.094056518419569 
components 	 2629.1118559678725 1.094056518419569 
exercise 	 949.3363238416475 1.5673739110613085 
skill 	 3928.06967233721 1.094056518419569 
competent 	 560.0200707319707 1.7574540265615255 
meet 	 970.6913694588623 1.4143975869948342 
fiduciary 	 1652.4897956064096 1.5673739110613085 
obligations 	 1680.0602121959123 1.4143975869948342 
include 	 799.8560707429268 1.4143975869948342 
undivided 	 5606.948295003897 1.094056518419569 
loyalty 	 3783.630485339069 1.094056518419569 
client's 	 1024.7262427632863 1.6569805372194037 
confidentiality 	 3783.630485339069 1.094056518419569 
expected 	 1179.7768770402768 1.4143975869948342 
know 	 1165.3603549549027 1.4143975869948342 
perfect 	 3449.4260628684765 1.094056518419569 
answers 	 1449.3349789275956 1.4143975869948342 
obscure 	 3928.06967233721 1.094056518419569 
questions 	 504.2585524140994 1.5673739110613085 
research 	 537.6760740951812 1.4143975869948342 
issues 	 1301.3209954277868 1.094056518419569 
recognize 	 3134.1515771544 1.094056518419569 
limits 	 2898.669957855191 1.094056518419569 
reach 	 2518.749151557841 1.094056518419569 
unsettled 	 4957.469386819229 1.094056518419569 
unclear 	 3009.0326622652224 1.094056518419569 
frequently 	 484.00526967729155 1.7158370888635017 
toughest 	 2478.7346934096145 1.4143975869948342 
prove 	 383.68815707139083 1.8124029049159711 
mistakes 	 3548.14886603986 1.094056518419569 
commit 	 3449.4260628684765 1.094056518419569 
inexact 	 2803.4741475019487 1.4143975869948342 
science 	 512.345580930057 1.4143975869948342 
disagree 	 2288.7742902609393 1.4143975869948342 
course 	 555.8795527140647 1.6569805372194037 
particular 	 354.1094880403578 1.7158370888635017 
matter 	 1179.7768770402768 1.4143975869948342 
strategy 	 434.83820651608374 1.7158370888635017 
chosen 	 1534.7526282855633 1.4143975869948342 
combination 	 3009.0326622652224 1.094056518419569 
knowledge 	 2040.1055420891078 1.094056518419569 
react 	 4577.548580521879 1.094056518419569 
able 	 640.942559047068 1.5673739110613085 
pursued 	 2478.7346934096145 1.4143975869948342 
unable 	 1377.115385428525 1.4143975869948342 
injured 	 492.77515183835385 1.7884382040716043 
lawyer's 	 4577.548580521879 1.094056518419569 
example 	 413.3173938134713 1.6569805372194037 
deadline 	 982.0174180843024 1.6569805372194037 
subsequently 	 3069.5052565711267 1.094056518419569 
granted 	 3449.4260628684765 1.094056518419569 
extension 	 3069.5052565711267 1.094056518419569 
bars 	 4307.99047863456 1.094056518419569 
plaintiff's 	 2288.7742902609393 1.4143975869948342 
claim 	 568.8967903470792 1.6569805372194037 
forget 	 4957.469386819229 1.094056518419569 
assert 	 5606.948295003897 1.094056518419569 
denied 	 2668.9902146782842 1.094056518419569 
anyway 	 3928.06967233721 1.094056518419569 
usually 	 786.5179180268511 1.5673739110613085 
recovers 	 5606.948295003897 1.094056518419569 
direct 	 2082.703786599029 1.094056518419569 
economic 	 1401.0960165648823 1.094056518419569 
losses 	 1023.1684188570421 1.5673739110613085 
money 	 1770.547440201789 1.094056518419569 
pay 	 2040.1055420891078 1.094056518419569 
fees 	 3134.1515771544 1.094056518419569 
penalties 	 3360.1204243918246 1.094056518419569 
