term 	 tf-idf weight 	 BM25 ranking 
 appendix 	 2027.4592454728127 1.312289034851333 
texas 	 7.950820570481619 1.9958981983572286 
notice 	 1802.4218998018048 1.312289034851333 
capacity 	 1639.680850300661 1.312289034851333 
requirements 	 1304.449761533975 1.312289034851333 
county 	 281.43997844989576 1.810264546128239 
telecommunications 	 1904.3291021593136 1.312289034851333 
carriers 	 2126.5223176780705 1.312289034851333 
providing 	 1216.9016142419787 1.312289034851333 
local 	 928.1017340241214 1.312289034851333 
services 	 835.6706041949978 1.312289034851333 
represent 	 1689.126144401518 1.312289034851333 
historical 	 494.1018815602359 1.5847518390377826 
simultaneous 	 1122.760020043563 1.5847518390377826 
interceptions 	 648.5193830935207 1.7683252958041982 
estimation 	 2074.9245711232197 1.312289034851333 
requirement 	 797.0214764534684 1.5847518390377826 
pen 	 2315.365380231361 1.312289034851333 
register 	 1983.5132179856555 1.312289034851333 
trap 	 2485.960849195267 1.312289034851333 
trace 	 2394.5494960577034 1.312289034851333 
call 	 1120.5278890497982 1.312289034851333 
content 	 1228.6445722286132 1.312289034851333 
conducted 	 546.5602834335536 1.7025843418433704 
estimated 	 797.0214764534684 1.5847518390377826 
actual 	 1493.292824087266 1.312289034851333 
maximum 	 1663.8882930511722 1.312289034851333 
experience 	 1064.0089524258335 1.312289034851333 
anderson 	 2315.365380231361 1.312289034851333 
andrews 	 2726.401658303409 1.312289034851333 
angelina 	 3548.474214447504 1.312289034851333 
aransas 	 3548.474214447504 1.312289034851333 
archer 	 2594.0775323740827 1.312289034851333 
armstrong 	 2594.0775323740827 1.312289034851333 
atascosa 	 3548.474214447504 1.312289034851333 
austin 	 2315.365380231361 1.312289034851333 
bailey 	 3548.474214447504 1.312289034851333 
bandera 	 3548.474214447504 1.312289034851333 
bastrop 	 3548.474214447504 1.312289034851333 
baylor 	 3548.474214447504 1.312289034851333 
bee 	 2896.9971272673147 1.312289034851333 
bell 	 2183.0412543020348 1.312289034851333 
bexar 	 3548.474214447504 1.312289034851333 
blanco 	 3548.474214447504 1.312289034851333 
borden 	 3548.474214447504 1.312289034851333 
bosque 	 3548.474214447504 1.312289034851333 
bowie 	 3548.474214447504 1.312289034851333 
brazoria 	 3548.474214447504 1.312289034851333 
brazos 	 3548.474214447504 1.312289034851333 
brewster 	 3548.474214447504 1.312289034851333 
briscoe 	 3548.474214447504 1.312289034851333 
brooks 	 2726.401658303409 1.312289034851333 
brown 	 1772.0049762299873 1.312289034851333 
burleson 	 3137.4379363754565 1.312289034851333 
burnet 	 3548.474214447504 1.312289034851333 
caldwell 	 3137.4379363754565 1.312289034851333 
calhoun 	 2726.401658303409 1.312289034851333 
callahan 	 3548.474214447504 1.312289034851333 
cameron 	 2896.9971272673147 1.312289034851333 
camp 	 1868.3787014221678 1.312289034851333 
carson 	 2896.9971272673147 1.312289034851333 
cass 	 2896.9971272673147 1.312289034851333 
castro 	 2726.401658303409 1.312289034851333 
chambers 	 2896.9971272673147 1.312289034851333 
cherokee 	 2896.9971272673147 1.312289034851333 
childress 	 3548.474214447504 1.312289034851333 
clay 	 2315.365380231361 1.312289034851333 
cochran 	 2594.0775323740827 1.312289034851333 
coke 	 3548.474214447504 1.312289034851333 
coleman 	 3548.474214447504 1.312289034851333 
collin 	 3548.474214447504 1.312289034851333 
collingsworth 	 3548.474214447504 1.312289034851333 
colorado 	 2245.520040087126 1.312289034851333 
comal 	 3548.474214447504 1.312289034851333 
comanche 	 3548.474214447504 1.312289034851333 
concho 	 3548.474214447504 1.312289034851333 
cooke 	 3548.474214447504 1.312289034851333 
coryell 	 3548.474214447504 1.312289034851333 
cottle 	 3548.474214447504 1.312289034851333 
crane 	 2027.4592454728127 1.312289034851333 
crockett 	 3548.474214447504 1.312289034851333 
crosby 	 3548.474214447504 1.312289034851333 
