term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 908.2117686880645 1.2506472753189048 
logo_asm 	 2724.6353060641936 0.7149200145138805 
gif 	 117.15216624881775 1.5389516848716969 
subject 	 599.3993602411085 1.2506472753189048 
index 	 442.25281912043414 1.0533201872496274 
anthropology 	 2705.1710426973427 0.7149200145138805 
ant 	 2724.6353060641936 0.7149200145138805 
idx 	 143.40185821390492 1.8271413017929827 
html 	 26.641962551955423 1.8869398626389435 
architecture 	 2610.549330895971 0.7149200145138805 
arc 	 1286.9498453517615 1.0533201872496274 
art 	 460.4593676210488 1.4711256831173731 
black 	 2350.536253244865 0.7149200145138805 
studies 	 726.3287857768719 1.2506472753189048 
blk 	 2724.6353060641936 0.7149200145138805 
stu 	 2724.6353060641936 0.7149200145138805 
business 	 1848.4228547321416 0.7149200145138805 
bus 	 2592.1419654484575 0.7149200145138805 
ecology 	 2705.1710426973427 0.7149200145138805 
eco 	 2705.1710426973427 0.7149200145138805 
economics 	 2573.899690703523 0.7149200145138805 
ecn 	 2705.1710426973427 0.7149200145138805 
education 	 2209.1202418175912 0.7149200145138805 
edu 	 2224.356268114698 0.7149200145138805 
film 	 2520.1344458268945 0.7149200145138805 
flm 	 2724.6353060641936 0.7149200145138805 
gen 	 486.7136380198127 1.4711256831173731 
healthcare 	 2685.8912774938008 0.7149200145138805 
med 	 1333.3962728111142 1.0533201872496274 
history 	 2239.7072843770675 0.7149200145138805 
law 	 850.661314539591 1.0533201872496274 
linguistics 	 2685.8912774938008 0.7149200145138805 
lin 	 2666.7925456222283 0.7149200145138805 
literature 	 1277.9097858284224 1.0533201872496274 
lit 	 2705.1710426973427 0.7149200145138805 
mass 	 2302.2968381052438 0.7149200145138805 
media 	 1761.3269804620654 0.7149200145138805 
mda 	 2724.6353060641936 0.7149200145138805 
medicine 	 2502.5239462073996 0.7149200145138805 
music 	 2610.549330895971 0.7149200145138805 
mus 	 2705.1710426973427 0.7149200145138805 
philosophy 	 2610.549330895971 0.7149200145138805 
phi 	 2724.6353060641936 0.7149200145138805 
political 	 1926.1648016084234 0.7149200145138805 
science 	 1112.178134057349 1.0533201872496274 
psi 	 2705.1710426973427 0.7149200145138805 
psychology 	 2685.8912774938008 0.7149200145138805 
psy 	 2685.8912774938008 0.7149200145138805 
religion 	 2592.1419654484575 0.7149200145138805 
rel 	 2705.1710426973427 0.7149200145138805 
sci 	 2629.1248024636675 0.7149200145138805 
shakespeare 	 82.56470624436949 1.8966871220274604 
sha 	 1342.9456387469004 1.0533201872496274 
sociology 	 2705.1710426973427 0.7149200145138805 
soc 	 2705.1710426973427 0.7149200145138805 
sports 	 2573.899690703523 0.7149200145138805 
recreation 	 2629.1248024636675 0.7149200145138805 
spt 	 2647.871478947083 0.7149200145138805 
urban 	 2592.1419654484575 0.7149200145138805 
urb 	 2724.6353060641936 0.7149200145138805 
women's 	 2592.1419654484575 0.7149200145138805 
wom 	 2724.6353060641936 0.7149200145138805 
home 	 908.388495802042 0.7149200145138805 
page 	 499.21970958153486 1.0533201872496274 
topic 	 2685.8912774938008 0.7149200145138805 
search 	 1233.8769343772915 1.0533201872496274 
custom 	 1323.9357394735414 1.0533201872496274 
specific 	 2193.9974955739794 0.7149200145138805 
paper 	 583.5822490446097 1.379901382957728 
click 	 1251.2619731036998 1.0533201872496274 
catalog 	 2666.7925456222283 0.7149200145138805 
button 	 2433.5681900990635 0.7149200145138805 
title 	 1175.2681266224324 1.0533201872496274 
description 	 2485.064611539109 0.7149200145138805 
written 	 2239.7072843770675 0.7149200145138805 
pgs 	 22.173533136863465 1.9709603906299253 
pages 	 2366.8736904771004 0.7149200145138805 
footnotes 	 2705.1710426973427 0.7149200145138805 
sources 	 788.9578968257 1.2506472753189048 
price 	 2334.328996178439 0.7149200145138805 
king 	 204.70179525866374 1.870670763143687 
henry 	 544.3234111568358 1.7394435662407082 
critique 	 5186.596420994958 0.7149200145138805 
lear 	 329.5455437417328 1.8751617490322887 
mcdonaldson's 	 12171.326394917745 0.7149200145138805 
view 	 1668.013083433676 1.0533201872496274 
theater 	 7487.868315767857 0.7149200145138805 
absurd 	 10761.465029658817 0.7149200145138805 
symbolic 	 1700.8709466200773 1.379901382957728 
nature 	 287.04432430182646 1.7394435662407082 
storm 	 4675.801832199944 1.0533201872496274 
observes 	 175.50250144835806 1.8184099690138051 
heath 	 9936.74899976681 0.7149200145138805 
lear's 	 6085.663197458873 1.0533201872496274 
punitive 	 8897.729681026785 0.7149200145138805 
tramatic 	 12171.326394917745 0.7149200145138805 
experiences 	 5122.019568623101 0.7149200145138805 
consequences 	 2499.3545439242366 1.0533201872496274 
inflicted 	 9351.603664399889 0.7149200145138805 
gods 	 8213.345151739239 0.7149200145138805 
pre 	 4617.920811241183 0.7149200145138805 
christian 	 2499.3545439242366 1.0533201872496274 
britain 	 6182.337511293205 0.7149200145138805 
upsetting 	 12171.326394917745 0.7149200145138805 
