term 	 tf-idf weight 	 BM25 ranking 
 shared 	 220.31560018385662 1.8581236190124806 
vision 	 349.7167035644799 1.7742171177611288 
line 	 351.4811300634813 1.6794209898650796 
july 	 501.2009210644295 1.6794209898650796 
chaos 	 91.81196257184058 1.96060491974502 
cool 	 817.9297279238098 1.6794209898650796 
shahriar 	 1292.5302366284332 1.6794209898650796 
shahriari 	 1292.5302366284332 1.6794209898650796 
spend 	 1444.9877068630747 1.4474154790941047 
lives 	 349.7167035644799 1.7742171177611288 
operating 	 1130.3886747027095 1.4474154790941047 
gear 	 2585.0604732568663 1.4474154790941047 
dashing 	 2585.0604732568663 1.4474154790941047 
appointment 	 1635.8594558476195 1.4474154790941047 
grabbing 	 2585.0604732568663 1.4474154790941047 
bite 	 2285.62089125497 1.4474154790941047 
eat 	 1986.1813092530736 1.4474154790941047 
meetings 	 1336.419873845723 1.4474154790941047 
getting 	 1212.1412185465538 1.4474154790941047 
stressed 	 1387.3021452492808 1.4474154790941047 
traffic 	 258.1949525679951 1.8803551172632027 
jams 	 2585.0604732568663 1.4474154790941047 
overwhelmed 	 2585.0604732568663 1.4474154790941047 
workload 	 2585.0604732568663 1.4474154790941047 
time 	 411.9112912153342 1.4474154790941047 
lack 	 313.5274258920294 1.7742171177611288 
words 	 1161.258947142996 1.4474154790941047 
orderly 	 1142.810445627485 1.6794209898650796 
relaxed 	 2110.459964552243 1.4474154790941047 
enjoyable 	 2285.62089125497 1.4474154790941047 
breakfast 	 1889.7832950853349 1.4474154790941047 
digested 	 2585.0604732568663 1.4474154790941047 
prevailed 	 2585.0604732568663 1.4474154790941047 
calmly 	 1292.5302366284332 1.6794209898650796 
rush 	 1889.7832950853349 1.4474154790941047 
flow 	 1590.3437130834386 1.4474154790941047 
obstructed 	 2585.0604732568663 1.4474154790941047 
ladies 	 2285.62089125497 1.4474154790941047 
harassed 	 1986.1813092530736 1.4474154790941047 
bad 	 707.5913931903557 1.6794209898650796 
taxi 	 2585.0604732568663 1.4474154790941047 
drivers 	 2110.459964552243 1.4474154790941047 
telephone 	 537.2846033516734 1.6794209898650796 
ring 	 1889.7832950853349 1.4474154790941047 
ready 	 1230.5269719754735 1.4474154790941047 
accept 	 1145.5481248611782 1.4474154790941047 
calls 	 1269.8267801603474 1.4474154790941047 
mail 	 762.2331446207882 1.4474154790941047 
messages 	 1549.1697154079702 1.4474154790941047 
sorted 	 2585.0604732568663 1.4474154790941047 
priority 	 1444.9877068630747 1.4474154790941047 
coffee 	 944.8916475426674 1.6794209898650796 
