term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 202.2713526134185 1.7645337475966119 
logo_asm 	 606.8140578402555 1.428233061133004 
gif 	 26.091411657185073 1.8749028335560989 
subject 	 400.48364334693537 1.428233061133004 
index 	 98.49583434688135 1.6664363660981487 
anthropology 	 602.4790965299392 1.428233061133004 
ant 	 606.8140578402555 1.428233061133004 
idx 	 31.937581991592392 1.9587293985194394 
html 	 5.933534432662638 1.9736626769153784 
architecture 	 581.4055294473327 1.428233061133004 
arc 	 286.62157322730974 1.6664363660981487 
art 	 128.18835639892765 1.8180447712191812 
black 	 523.4970121533548 1.428233061133004 
studies 	 161.76349063762189 1.7645337475966119 
blk 	 606.8140578402555 1.428233061133004 
stu 	 606.8140578402555 1.428233061133004 
business 	 411.6693968503737 1.428233061133004 
bus 	 577.3059539568098 1.428233061133004 
ecology 	 602.4790965299392 1.428233061133004 
eco 	 602.4790965299392 1.428233061133004 
economics 	 573.2431464546195 1.428233061133004 
ecn 	 602.4790965299392 1.428233061133004 
education 	 492.00170577353435 1.428233061133004 
edu 	 495.3949800668428 1.428233061133004 
film 	 561.2688810027449 1.428233061133004 
flm 	 606.8140578402555 1.428233061133004 
gen 	 108.39787513420606 1.8517381144447773 
healthcare 	 598.1852255185308 1.428233061133004 
med 	 296.9658365700269 1.6664363660981487 
history 	 498.81386421967136 1.428233061133004 
law 	 189.45406857740153 1.6664363660981487 
linguistics 	 598.1852255185308 1.428233061133004 
lin 	 593.9316731400538 1.428233061133004 
literature 	 113.84329065492139 1.8517381144447773 
lit 	 602.4790965299392 1.428233061133004 
mass 	 512.7534255957106 1.428233061133004 
media 	 392.27193812650717 1.428233061133004 
mda 	 606.8140578402555 1.428233061133004 
medicine 	 557.3467785801141 1.428233061133004 
music 	 581.4055294473327 1.428233061133004 
mus 	 602.4790965299392 1.428233061133004 
philosophy 	 581.4055294473327 1.428233061133004 
phi 	 606.8140578402555 1.428233061133004 
political 	 428.9836062579232 1.428233061133004 
science 	 70.77071143812039 1.89180709837504 
psi 	 602.4790965299392 1.428233061133004 
psychology 	 598.1852255185308 1.428233061133004 
psy 	 598.1852255185308 1.428233061133004 
religion 	 577.3059539568098 1.428233061133004 
rel 	 602.4790965299392 1.428233061133004 
sci 	 585.5425445014952 1.428233061133004 
shakespeare 	 606.8140578402555 1.428233061133004 
sha 	 299.0926127592654 1.6664363660981487 
sociology 	 602.4790965299392 1.428233061133004 
soc 	 602.4790965299392 1.428233061133004 
sports 	 573.2431464546195 1.428233061133004 
recreation 	 585.5425445014952 1.428233061133004 
spt 	 589.7176892640258 1.428233061133004 
urban 	 577.3059539568098 1.428233061133004 
urb 	 606.8140578402555 1.428233061133004 
women's 	 577.3059539568098 1.428233061133004 
wom 	 606.8140578402555 1.428233061133004 
home 	 202.3107121919002 1.428233061133004 
page 	 111.1831506590144 1.6664363660981487 
topic 	 598.1852255185308 1.428233061133004 
search 	 274.80150013417557 1.6664363660981487 
