term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 491.61315502731514 1.5101970151060042 
logo_asm 	 1474.8394650819455 1.013689078635763 
gif 	 63.414225683357095 1.7209256444660246 
subject 	 973.3609080021542 1.013689078635763 
index 	 239.39053778347986 1.3454461322130018 
anthropology 	 1464.3034995131634 1.013689078635763 
ant 	 1474.8394650819455 1.013689078635763 
idx 	 77.62312974115503 1.902569271082301 
html 	 14.421239316471446 1.9371716121542932 
architecture 	 1413.0849622991464 1.013689078635763 
arc 	 696.6232938703488 1.3454461322130018 
art 	 623.114262230549 1.3454461322130018 
black 	 254.46808405335258 1.6742029339825963 
studies 	 393.16027194706777 1.5101970151060042 
blk 	 1474.8394650819455 1.013689078635763 
stu 	 1474.8394650819455 1.013689078635763 
business 	 500.27373723207666 1.3454461322130018 
bus 	 1403.1210933917166 1.013689078635763 
ecology 	 1464.3034995131634 1.013689078635763 
eco 	 1464.3034995131634 1.013689078635763 
economics 	 1393.2465877406976 1.013689078635763 
ecn 	 1464.3034995131634 1.013689078635763 
education 	 1195.792225290643 1.013689078635763 
edu 	 1204.0394548644456 1.013689078635763 
film 	 1364.1435717086583 1.013689078635763 
flm 	 1474.8394650819455 1.013689078635763 
gen 	 263.4570872467128 1.6742029339825963 
healthcare 	 1453.8674024192107 1.013689078635763 
med 	 721.764649147019 1.3454461322130018 
history 	 1212.3489282690025 1.013689078635763 
law 	 460.4612130324925 1.3454461322130018 
linguistics 	 1453.8674024192107 1.013689078635763 
lin 	 1443.529298294038 1.013689078635763 
literature 	 230.57664277238496 1.7209256444660246 
lit 	 1464.3034995131634 1.013689078635763 
mass 	 1246.228524461098 1.013689078635763 
media 	 953.4026575657492 1.013689078635763 
mda 	 1474.8394650819455 1.013689078635763 
medicine 	 1354.6110446284893 1.013689078635763 
music 	 1413.0849622991464 1.013689078635763 
mus 	 1464.3034995131634 1.013689078635763 
philosophy 	 1413.0849622991464 1.013689078635763 
phi 	 1474.8394650819455 1.013689078635763 
political 	 521.3145148895954 1.3454461322130018 
science 	 602.0197274322228 1.3454461322130018 
psi 	 1464.3034995131634 1.013689078635763 
psychology 	 1453.8674024192107 1.013689078635763 
psy 	 1453.8674024192107 1.013689078635763 
religion 	 1403.1210933917166 1.013689078635763 
rel 	 1464.3034995131634 1.013689078635763 
sci 	 1423.1398267023096 1.013689078635763 
shakespeare 	 1474.8394650819455 1.013689078635763 
sha 	 726.9337012096054 1.3454461322130018 
sociology 	 1464.3034995131634 1.013689078635763 
soc 	 1464.3034995131634 1.013689078635763 
sports 	 1393.2465877406976 1.013689078635763 
