term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 689.8658714960961 1.374454056617484 
logo_asm 	 2069.5976144882884 0.8455338110945375 
gif 	 88.987264923512 1.6292461341082496 
subject 	 682.9439613366613 1.1885767201891753 
index 	 335.92950124929735 1.1885767201891753 
anthropology 	 2054.8128126683355 0.8455338110945375 
ant 	 2069.5976144882884 0.8455338110945375 
idx 	 108.92619023622571 1.8659126097761054 
html 	 20.236888959081185 1.9129377623486854 
architecture 	 1982.9393885124261 0.8455338110945375 
arc 	 977.5503987553941 1.1885767201891753 
art 	 874.3973979529503 1.1885767201891753 
black 	 357.08736590593077 1.5710006766881797 
studies 	 413.7824387998772 1.4910435902808175 
blk 	 2069.5976144882884 0.8455338110945375 
stu 	 2069.5976144882884 0.8455338110945375 
business 	 100.2884292232462 1.822279624227735 
bus 	 1968.9573926341527 0.8455338110945375 
ecology 	 2054.8128126683355 0.8455338110945375 
eco 	 2054.8128126683355 0.8455338110945375 
economics 	 1955.1007975107882 0.8455338110945375 
ecn 	 2054.8128126683355 0.8455338110945375 
education 	 559.3396875791836 1.374454056617484 
edu 	 1689.5921505590995 0.8455338110945375 
film 	 1914.261415340488 0.8455338110945375 
flm 	 2069.5976144882884 0.8455338110945375 
gen 	 369.70136221268956 1.5710006766881797 
healthcare 	 2040.1681532585656 0.8455338110945375 
med 	 1012.8305022090321 1.1885767201891753 
history 	 850.6262916328832 1.1885767201891753 
law 	 430.7675289949748 1.374454056617484 
linguistics 	 2040.1681532585656 0.8455338110945375 
lin 	 2025.6610044180643 0.8455338110945375 
literature 	 388.2734747502286 1.5710006766881797 
lit 	 2054.8128126683355 0.8455338110945375 
mass 	 1748.7947959059006 0.8455338110945375 
media 	 1337.8811134778225 0.8455338110945375 
mda 	 2069.5976144882884 0.8455338110945375 
medicine 	 1900.884708402376 0.8455338110945375 
music 	 1982.9393885124261 0.8455338110945375 
mus 	 2054.8128126683355 0.8455338110945375 
philosophy 	 991.4696942562131 1.1885767201891753 
phi 	 2069.5976144882884 0.8455338110945375 
political 	 1463.089782932652 0.8455338110945375 
science 	 563.1973835196999 1.374454056617484 
psi 	 2054.8128126683355 0.8455338110945375 
psychology 	 1020.0840766292828 1.1885767201891753 
psy 	 2040.1681532585656 0.8455338110945375 
religion 	 1968.9573926341527 0.8455338110945375 
rel 	 2054.8128126683355 0.8455338110945375 
sci 	 1997.0490756176823 0.8455338110945375 
shakespeare 	 2069.5976144882884 0.8455338110945375 
sha 	 1020.0840766292828 1.1885767201891753 
sociology 	 2054.8128126683355 0.8455338110945375 
soc 	 2054.8128126683355 0.8455338110945375 
sports 	 1955.1007975107882 0.8455338110945375 
recreation 	 499.2622689044206 1.4910435902808175 
spt 	 2011.28880775479 0.8455338110945375 
urban 	 1968.9573926341527 0.8455338110945375 
urb 	 2069.5976144882884 0.8455338110945375 
women's 	 984.4786963170764 1.1885767201891753 
wom 	 2069.5976144882884 0.8455338110945375 
home 	 690.0001111180702 0.8455338110945375 
page 	 379.2008118502809 1.1885767201891753 
topic 	 2040.1681532585656 0.8455338110945375 
search 	 937.2369044311286 1.1885767201891753 
custom 	 1005.644403877395 1.1885767201891753 
labor 	 302.7209632805507 1.7791623424025116 
relations 	 458.1552427837778 1.6292461341082496 
human 	 340.18362319773865 1.6735662158476308 
resources 	 723.4703583784858 1.4910435902808175 
specific 	 555.5106736581118 1.374454056617484 
paper 	 354.6252014843351 1.5710006766881797 
click 	 950.442354201188 1.1885767201891753 
catalog 	 2025.6610044180643 0.8455338110945375 
button 	 1848.506811063448 0.8455338110945375 
title 	 892.7184147648269 1.1885767201891753 
description 	 314.60380406652934 1.6292461341082496 
written 	 850.6262916328832 1.1885767201891753 
pgs 	 23.618538076647532 1.9690971782687967 
pages 	 1797.8465348019272 0.8455338110945375 
