term 	 tf-idf weight 	 BM25 ranking 
 law 	 71.89914339131334 1.8587976705549083 
leading 	 1589.8355024590755 1.0462592963723987 
attorneys 	 2938.167989797919 1.0462592963723987 
web 	 4233.50426674739 0.7084300223695653 
header 	 5704.319720354576 0.7084300223695653 
gif 	 178.23371605553908 1.3738282852261774 
webhead 	 6164.664866715791 0.7084300223695653 
illinois 	 137.02645364255494 1.9060795259499415 
health 	 45.899161107298006 1.95060779190516 
access 	 555.7966682625838 1.6288064110934177 
care 	 57.43284768905755 1.9499295431321695 
system 	 741.7595597130645 1.2440018258172214 
paying 	 1175.5616704357537 1.533910142610768 
medicaid 	 480.47004233556646 1.8160590426821512 
medicare 	 278.9826052271031 1.8889110656859773 
costs 	 628.8580063899748 1.5867359669352845 
covered 	 702.9259236399196 1.6288064110934177 
insurance 	 265.94071506067854 1.8160590426821512 
issues 	 955.0427654100049 1.2440018258172214 
facilities 	 1065.6380697377294 1.4656000125278899 
providers' 	 6172.4302735288375 1.0462592963723987 
responsibilities 	 3082.3324333578953 1.0462592963723987 
consent 	 331.2505006538503 1.832916463127719 
refuse 	 881.6712528268154 1.6288064110934177 
treatment 	 241.6849972695374 1.7695598243782453 
written 	 378.60669679366515 1.533910142610768 
information 	 100.80117574169151 1.8062869792657714 
hiv 	 1115.9980348590077 1.5867359669352845 
testing 	 663.1155517532743 1.663102692036599 
confidentiality 	 1666.0895819113127 1.4656000125278899 
anatomical 	 3086.2151367644187 1.3738282852261774 
gifts 	 4512.295066853063 1.0462592963723987 
reporting 	 1157.7070990099726 1.4656000125278899 
abuse 	 219.1893726752007 1.8587976705549083 
employee 	 1157.7070990099726 1.4656000125278899 
resources 	 1288.0425884227109 1.2440018258172214 
relatively 	 6382.0236105178865 0.7084300223695653 
legal 	 704.4196687055104 1.4656000125278899 
specialization 	 9024.590133706126 0.7084300223695653 
lawyers 	 6625.010013077005 0.7084300223695653 
attracted 	 10078.423395535363 0.7084300223695653 
evolving 	 7053.370022614523 0.7084300223695653 
practice 	 2534.9893923872664 1.0462592963723987 
clients 	 2772.7745462453713 1.0462592963723987 
range 	 4683.761373446687 0.7084300223695653 
consumers 	 6625.010013077005 0.7084300223695653 
seeking 	 2699.064624897789 1.0462592963723987 
assistance 	 2505.0887481025065 1.0462592963723987 
pay 	 898.3431661323009 1.4656000125278899 
corporate 	 5131.565447752325 0.7084300223695653 
providers 	 555.2690868111561 1.754013852828675 
buy 	 6499.9414182697 0.7084300223695653 
nursing 	 1027.4441444526317 1.533910142610768 
homes 	 3249.97070913485 1.0462592963723987 
diversity 	 7398.002599274636 0.7084300223695653 
numerous 	 5131.565447752325 0.7084300223695653 
subspecialties 	 12344.860547057675 0.7084300223695653 
chapter 	 1776.0634495628822 1.2440018258172214 
covers 	 2090.1609776791024 1.2440018258172214 
subjects 	 6625.010013077005 0.7084300223695653 
businesses 	 2984.0199828897344 1.0462592963723987 
benefits 	 435.8572861554695 1.6915974229338104 
plans 	 1790.1074313549232 1.0462592963723987 
discussed 	 2038.866092961543 1.0462592963723987 
b21 	 12344.860547057675 0.7084300223695653 
html 	 202.66360156594408 1.3738282852261774 
medical 	 135.61726897517843 1.8817029149440216 
malpractice 	 2882.8202540133984 1.2440018258172214 
professional 	 4154.148329399647 0.7084300223695653 
defense 	 4274.357086859409 0.7084300223695653 
b32 	 12344.860547057675 0.7084300223695653 
fine 	 6270.482933037308 0.7084300223695653 
residents 	 3082.3324333578953 1.0462592963723987 
hurdles 	 12344.860547057675 0.7084300223695653 
receiving 	 1689.5382455459535 1.3738282852261774 
patients 	 580.1839645925351 1.715647887932748 
families 	 6164.664866715791 0.7084300223695653 
institutions 	 1528.5015694606182 1.2440018258172214 
aware 	 3191.0118052589432 1.0462592963723987 
framework 	 6625.010013077005 0.7084300223695653 
exists 	 3379.076491091907 1.0462592963723987 
guarantee 	 6900.485276061396 0.7084300223695653 
issue 	 1464.305114029764 1.0462592963723987 
government 	 405.69418862882753 1.533910142610768 
sponsored 	 4027.486323286086 1.0462592963723987 
programs 	 419.62127969963075 1.6288064110934177 
administered 	 1610.9945293144347 1.4656000125278899 
primarily 	 2664.0951743443234 1.0462592963723987 
department 	 360.74241966367373 1.715647887932748 
public 	 247.25318657102153 1.663102692036599 
aid 	 1158.5120311347714 1.3738282852261774 
provide 	 388.18252444094924 1.663102692036599 
payments 	 5704.319720354576 0.7084300223695653 
professionals 	 2984.0199828897344 1.0462592963723987 
payment 	 3379.076491091907 1.0462592963723987 
days 	 4358.572861554695 0.7084300223695653 
confused 	 9484.93528006734 0.7084300223695653 
despite 	 5328.190348688647 0.7084300223695653 
similar 	 2038.866092961543 1.0462592963723987 
names 	 1624.985354567425 1.3738282852261774 
described 	 2534.9893923872664 1.0462592963723987 
program 	 221.28773925208773 1.715647887932748 
funded 	 3312.5050065385026 1.0462592963723987 
entirely 	 6900.485276061396 0.7084300223695653 
federal 	 305.8816394378426 1.7362186141807805 
elderly 	 2127.341203505962 1.2440018258172214 
persons 	 835.0295827008356 1.533910142610768 
people 	 127.22759062759876 1.8248925289658398 
disabilities 	 844.7691227729767 1.6288064110934177 
coverage 	 412.67174808522657 1.7362186141807805 
uniform 	 3797.313750105479 1.0462592963723987 
country 	 3356.970237597046 0.7084300223695653 
cooperative 	 7398.002599274636 0.7084300223695653 
partly 	 4165.223954778281 1.0462592963723987 
individual 	 866.393564944368 1.3738282852261774 
indigent 	 4742.46764003367 1.0462592963723987 
wide 	 2201.0030223649114 1.0462592963723987 
latitude 	 7218.498128545029 0.7084300223695653 
decide 	 3082.3324333578953 1.0462592963723987 
operates 	 6900.485276061396 0.7084300223695653 
government's 	 5704.319720354576 0.7084300223695653 
role 	 2704.8146615627616 0.7084300223695653 
limited 	 2179.2864307773475 1.0462592963723987 
pays 	 3905.993122006527 1.0462592963723987 
percentage 	 6758.152982183814 0.7084300223695653 
cost 	 2096.7223778120947 1.0462592963723987 
state's 	 1952.9965610032634 1.3738282852261774 
ensures 	 10078.423395535363 0.7084300223695653 
complies 	 10914.897913562507 0.7084300223695653 
various 	 2520.4957195699026 0.7084300223695653 
requirements 	 4538.0773322843015 0.7084300223695653 
amount 	 1223.8842233181597 1.3738282852261774 
money 	 3898.22771519348 0.7084300223695653 
receives 	 6625.010013077005 0.7084300223695653 
called 	 1203.2996093578424 1.2440018258172214 
financial 	 1155.191419925824 1.2440018258172214 
participation 	 5623.407389119357 0.7084300223695653 
ffp 	 5039.2116977676815 1.0462592963723987 
determined 	 3032.005379017126 1.0462592963723987 
formula 	 2082.6119773891405 1.3738282852261774 
based 	 846.0679942684145 1.2440018258172214 
capita 	 10078.423395535363 0.7084300223695653 
income 	 495.2060977022719 1.6915974229338104 
services 	 290.7231798405195 1.6915974229338104 
chooses 	 9024.590133706126 0.7084300223695653 
needy 	 10914.897913562507 0.7084300223695653 
receive 	 936.7522746893375 1.4656000125278899 
person 	 248.0104135187757 1.795418356971688 
assets 	 928.5630597528143 1.5867359669352845 
low 	 1359.244061974362 1.2440018258172214 
value 	 3898.22771519348 0.7084300223695653 
