term 	 tf-idf weight 	 BM25 ranking 
comstock 	 4984.61892181243 1.1519737002375852 
house 	 747.3182608522086 1.4619077565916911 
d4_ 	 1661.5396406041434 1.6059309183616928 
continuing 	 1119.5934062154117 1.4619077565916911 
education 	 226.1795921133301 1.6891354240252374 
div 	 4407.227320405996 1.1519737002375852 
e2_ 	 1661.5396406041434 1.6059309183616928 
medical 	 794.0151155194827 1.4619077565916911 
controller 	 3363.675767649354 1.1519737002375852 
corleone 	 4984.61892181243 1.1519737002375852 
apartments 	 3643.957140754824 1.1519737002375852 
coronado 	 4984.61892181243 1.1519737002375852 
b2_ 	 4984.61892181243 1.1519737002375852 
cultural 	 1661.7952110243891 1.1519737002375852 
affairs 	 988.3621502898953 1.4619077565916911 
crowder 	 4984.61892181243 1.1519737002375852 
music 	 534.5593885536734 1.4619077565916911 
a6_ 	 1661.5396406041434 1.6059309183616928 
dean 	 4069.474885351894 1.1519737002375852 
design 	 1560.2609929560613 1.1519737002375852 
construction 	 1999.54764607849 1.1519737002375852 
development 	 323.1081258878113 1.6059309183616928 
disabled 	 2987.172159571387 1.1519737002375852 
services 	 391.2948922397039 1.6059309183616928 
douglas 	 2914.691682539026 1.1519737002375852 
drama 	 2914.691682539026 1.1519737002375852 
theatre 	 3252.4441175931265 1.1519737002375852 
stadium 	 1469.0757734686651 1.6059309183616928 
economics 	 1054.1093620236159 1.1519737002375852 
electrical 	 2914.691682539026 1.1519737002375852 
enke 	 4984.61892181243 1.1519737002375852 
entomology 	 4984.61892181243 1.1519737002375852 
exercies 	 4984.61892181243 1.1519737002375852 
sport 	 3154.330848891359 1.1519737002375852 
f5_ 	 1661.5396406041434 1.6059309183616928 
faculty 	 696.5710415607298 1.6891354240252374 
senate 	 2786.284166242919 1.1519737002375852 
family 	 711.0780223360279 1.4619077565916911 
consumer 	 1999.54764607849 1.1519737002375852 
resources 	 156.02609929560612 1.8628650502042194 
practice 	 2047.1606048071674 1.1519737002375852 
unit 	 2179.661495433697 1.1519737002375852 
fluid 	 3643.957140754824 1.1519737002375852 
dynamics 	 2179.661495433697 1.1519737002375852 
franklin 	 2848.0161070469694 1.1519737002375852 
gallagher 	 4984.61892181243 1.1519737002375852 
theater 	 3066.56553934839 1.1519737002375852 
geography 	 3492.0832839454597 1.1519737002375852 
regional 	 2047.1606048071674 1.1519737002375852 
geosciences 	 4984.61892181243 1.1519737002375852 
gila 	 4407.227320405996 1.1519737002375852 
gittings 	 4984.61892181243 1.1519737002375852 
ina 	 4984.61892181243 1.1519737002375852 
physical 	 196.75373768517747 1.831470227983349 
pool 	 3154.330848891359 1.1519737002375852 
gould 	 3829.835718999561 1.1519737002375852 
simpson 	 4984.61892181243 1.1519737002375852 
science 	 182.19161960074172 1.7433293581972724 
library 	 363.2769159056162 1.7814328169008034 
school 	 1546.7159790698684 1.1519737002375852 
e4_ 	 4984.61892181243 1.1519737002375852 
graham 	 3492.0832839454597 1.1519737002375852 
greenhouses 	 4984.61892181243 1.1519737002375852 
greenlee 	 4407.227320405996 1.1519737002375852 
harvill 	 4984.61892181243 1.1519737002375852 
herring 	 4407.227320405996 1.1519737002375852 
hillenbrand 	 4984.61892181243 1.1519737002375852 
aquatic 	 4069.474885351894 1.1519737002375852 
hist 	 3829.835718999561 1.1519737002375852 
mem 	 4407.227320405996 1.1519737002375852 
fountain 	 4407.227320405996 1.1519737002375852 
history 	 917.2449202979828 1.1519737002375852 
hopi 	 4407.227320405996 1.1519737002375852 
huachuca 	 4984.61892181243 1.1519737002375852 
human 	 1283.8904251559961 1.1519737002375852 
preschool 	 4407.227320405996 1.1519737002375852 
humanities 	 4407.227320405996 1.1519737002375852 
hydrology 	 3829.835718999561 1.1519737002375852 
water 	 966.4360352932171 1.4619077565916911 
international 	 561.9448373085716 1.4619077565916911 
joseph 	 2624.5522062136015 1.1519737002375852 
gross 	 2914.691682539026 1.1519737002375852 
gallery 	 4984.61892181243 1.1519737002375852 
journalism 	 2914.691682539026 1.1519737002375852 
kaibab 	 4984.61892181243 1.1519737002375852 
keys 	 4407.227320405996 1.1519737002375852 
kuat 	 4984.61892181243 1.1519737002375852 
radio 	 1813.6690678337532 1.1519737002375852 
land 	 1891.2133902477415 1.1519737002375852 
property 	 1891.2133902477415 1.1519737002375852 
management 	 347.03783080917077 1.6891354240252374 
law 	 348.37801131341166 1.4619077565916911 
college 	 524.4152286950643 1.6891354240252374 
c3_ 	 2492.309460906215 1.4619077565916911 
leon 	 3829.835718999561 1.1519737002375852 
levy 	 4407.227320405996 1.1519737002375852 
life 	 258.02261472146057 1.6891354240252374 
south 	 494.03665661991835 1.6059309183616928 
north 	 489.92300113357754 1.6059309183616928 
linguistics 	 1099.9741564170777 1.1519737002375852 
policy 	 1324.0427759702882 1.1519737002375852 
marketing 	 1954.5096507603503 1.1519737002375852 
manzanita 	 4984.61892181243 1.1519737002375852 
maricopa 	 3829.835718999561 1.1519737002375852 
marley 	 4984.61892181243 1.1519737002375852 
mathematics 	 2987.172159571387 1.1519737002375852 
mckale 	 4984.61892181243 1.1519737002375852 
memorial 	 4407.227320405996 1.1519737002375852 
media 	 721.3300760692726 1.1519737002375852 
instructional 	 3252.4441175931265 1.1519737002375852 
medicine 	 1024.878292620828 1.1519737002375852 
micro 	 3363.675767649354 1.1519737002375852 
mines 	 3829.835718999561 1.1519737002375852 
metallurgy 	 4407.227320405996 1.1519737002375852 
minority 	 2151.421502887854 1.1519737002375852 
mirror 	 3252.4441175931265 1.1519737002375852 
casting 	 3492.0832839454597 1.1519737002375852 
modern 	 1399.3326991733563 1.1519737002375852 
languages 	 3154.330848891359 1.1519737002375852 
mohave 	 4407.227320405996 1.1519737002375852 
national 	 949.411078792423 1.1519737002375852 
navajo 	 4069.474885351894 1.1519737002375852 
news 	 1520.269313373823 1.1519737002375852 
nugent 	 4984.61892181243 1.1519737002375852 
robert 	 1777.445969587951 1.1519737002375852 
nursing 	 2489.173937941955 1.1519737002375852 
nutrition 	 3829.835718999561 1.1519737002375852 
food 	 1795.3606385370133 1.1519737002375852 
optical 	 1746.0416419727298 1.4619077565916911 
f7_ 	 4984.61892181243 1.1519737002375852 
oriental 	 3643.957140754824 1.1519737002375852 
papago 	 4984.61892181243 1.1519737002375852 
parkavenue 	 4984.61892181243 1.1519737002375852 
transportation 	 2151.421502887854 1.1519737002375852 
serv 	 4984.61892181243 1.1519737002375852 
personnel 	 1954.5096507603503 1.1519737002375852 
pharm 	 4407.227320405996 1.1519737002375852 
anim 	 4984.61892181243 1.1519737002375852 
shelter 	 3154.330848891359 1.1519737002375852 
pharmacy 	 2492.309460906215 1.4619077565916911 
microbiology 	 4984.61892181243 1.1519737002375852 
offices 	 1954.5096507603503 1.1519737002375852 
shop 	 656.1380515534004 1.6891354240252374 
physics 	 2786.284166242919 1.1519737002375852 
atmospheric 	 3066.56553934839 1.1519737002375852 
pas 	 3829.835718999561 1.1519737002375852 
philosophy 	 1069.118777107347 1.1519737002375852 
phase 	 2675.0525161866917 1.1519737002375852 
pinal 	 4069.474885351894 1.1519737002375852 
planetarium 	 4069.474885351894 1.1519737002375852 
flandrau 	 4984.61892181243 1.1519737002375852 
poetry 	 3252.4441175931265 1.1519737002375852 
police 	 2047.1606048071674 1.1519737002375852 
post 	 1646.5103785137812 1.1519737002375852 
printing 	 3492.0832839454597 1.1519737002375852 
reproduction 	 3829.835718999561 1.1519737002375852 
psychology 	 1099.9741564170777 1.1519737002375852 
purchasing 	 3066.56553934839 1.1519737002375852 
stores 	 1626.2220587965633 1.4619077565916911 
radiation 	 3252.4441175931265 1.1519737002375852 
control 	 1173.8846767191117 1.1519737002375852 
radiology 	 3492.0832839454597 1.1519737002375852 
temp 	 2203.613660202998 1.4619077565916911 
registrar 	 4984.61892181243 1.1519737002375852 
reservoir 	 4069.474885351894 1.1519737002375852 
residence 	 1224.265865594409 1.4619077565916911 
maintenance 	 2124.1075804763027 1.1519737002375852 
rotc 	 4984.61892181243 1.1519737002375852 
risk 	 1976.7243005797907 1.1519737002375852 
santa 	 2987.172159571387 1.1519737002375852 
cruz 	 3829.835718999561 1.1519737002375852 
sancet 	 4984.61892181243 1.1519737002375852 
frank 	 3154.330848891359 1.1519737002375852 
field 	 1742.7326134862776 1.1519737002375852 
street 	 1777.445969587951 1.1519737002375852 
shops 	 3643.957140754824 1.1519737002375852 
warehouse 	 4407.227320405996 1.1519737002375852 
sierra 	 3829.835718999561 1.1519737002375852 
slonaker 	 4984.61892181243 1.1519737002375852 
social 	 534.5593885536734 1.4619077565916911 
beh 	 4407.227320405996 1.1519737002375852 
sonora 	 4407.227320405996 1.1519737002375852 
space 	 871.3663067431388 1.4619077565916911 
kuiper 	 4984.61892181243 1.1519737002375852 
speech 	 2072.0281231108515 1.1519737002375852 
track 	 2786.284166242919 1.1519737002375852 
steward 	 4984.61892181243 1.1519737002375852 
observatory 	 4407.227320405996 1.1519737002375852 
activities 	 1494.6365217044172 1.1519737002375852 
recreation 	 1076.726135915553 1.1519737002375852 
uhion 	 4984.61892181243 1.1519737002375852 
union 	 1560.2609929560613 1.1519737002375852 
vending 	 4984.61892181243 1.1519737002375852 
teaching 	 2270.624505640535 1.1519737002375852 
telephone 	 2072.0281231108515 1.1519737002375852 
athletic 	 4069.474885351894 1.1519737002375852 
tree 	 2914.691682539026 1.1519737002375852 
ring 	 3643.957140754824 1.1519737002375852 
telecommunications 	 2675.0525161866917 1.1519737002375852 
foundation 	 2124.1075804763027 1.1519737002375852 
press 	 1355.4804691799995 1.1519737002375852 
udall 	 4069.474885351894 1.1519737002375852 
utility 	 3154.330848891359 1.1519737002375852 
cooling 	 3643.957140754824 1.1519737002375852 
veterinary 	 4984.61892181243 1.1519737002375852 
visitor 	 1356.4916284506314 1.6059309183616928 
campbell 	 3643.957140754824 1.1519737002375852 
yavapai 	 4407.227320405996 1.1519737002375852 
yuma 	 4069.474885351894 1.1519737002375852 
direction 	 2337.300081132591 1.1519737002375852 
i10 	 4984.61892181243 1.1519737002375852 
phoenix 	 3829.835718999561 1.1519737002375852 
speedway 	 4984.61892181243 1.1519737002375852 
blvd 	 2492.309460906215 1.4619077565916911 
exit 	 3643.957140754824 1.1519737002375852 
proceed 	 3066.56553934839 1.1519737002375852 
ave 	 1821.978570377412 1.4619077565916911 
side 	 1832.3889567585181 1.1519737002375852 
university 	 1999.54764607849 1.1519737002375852 
hours 	 2179.661495433697 1.1519737002375852 
phone 	 1891.2133902477415 1.1519737002375852 
blueline 	 3829.835718999561 1.1519737002375852 
home 	 186.00973869299435 1.4619077565916911 
iconhome 	 3643.957140754824 1.1519737002375852 
shtml 	 1746.0416419727298 1.4619077565916911 
iconup 	 3829.835718999561 1.1519737002375852 
directory 	 3154.330848891359 1.1519737002375852 
