term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 1315.349578456181 1.3179661909175628 
magyar 	 180.5381774351621 1.8673648372711862 
internet 	 4243.188023876682 0.4326731142726843 
vilaglap 	 18845.734228306363 0.4326731142726843 
junius 	 4152.966479644518 0.9060122158270624 
vasarnap 	 14342.522457055782 0.4326731142726843 
http 	 899.2362348075335 0.7114365045334815 
www 	 1782.4919425512878 0.4326731142726843 
siliconvalley 	 5226.120631676089 0.7114365045334815 
com 	 989.2487047569786 0.7114365045334815 
html 	 805.3495907113959 0.7114365045334815 
subs 	 11857.971798221057 0.4326731142726843 
nemzetstrategia 	 18845.734228306363 0.4326731142726843 
iii 	 5666.99140420102 0.7114365045334815 
tallozo 	 10843.472260710789 0.7114365045334815 
ember 	 1306.5301579190223 1.3766487529646287 
szamabol 	 20024.943043286214 0.4326731142726843 
jalsovszky 	 18845.734228306363 0.4326731142726843 
orgy 	 24528.154814536796 0.4326731142726843 
rovata_ 	 24528.154814536796 0.4326731142726843 
ezen 	 10725.609207422238 0.4326731142726843 
heten 	 6581.656821037965 0.7114365045334815 
hetilap 	 11675.76402344321 0.4326731142726843 
szamat 	 7349.591045668137 0.7114365045334815 
vehettuk 	 24528.154814536796 0.4326731142726843 
kezbe 	 17931.068811469417 0.4326731142726843 
gyonyoru 	 16551.869113559063 0.4326731142726843 
ezalkalommal 	 24528.154814536796 0.4326731142726843 
szines 	 17931.068811469417 0.4326731142726843 
nyomassal 	 24528.154814536796 0.4326731142726843 
keszult 	 14699.182091336274 0.4326731142726843 
lap 	 3672.839833595016 0.9060122158270624 
sok 	 2404.4222864545845 1.0495344491290433 
ertekes 	 17183.732750170995 0.4326731142726843 
cikke 	 16551.869113559063 0.4326731142726843 
kozul 	 5097.985160042846 0.7114365045334815 
ronaylaszlo 	 24528.154814536796 0.4326731142726843 
foszerkeszto 	 18845.734228306363 0.4326731142726843 
irasaval 	 20024.943043286214 0.4326731142726843 
szeretnem 	 17183.732750170995 0.4326731142726843 
olvasoit 	 20024.943043286214 0.4326731142726843 
