term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 706.386931201828 1.3642354475073695 
logo_asm 	 2119.160793605484 0.834004774971131 
gif 	 91.11835152685825 1.6220451496855361 
subject 	 1398.5985072292533 0.834004774971131 
index 	 343.9744148714488 1.177139548015937 
anthropology 	 2104.0219220979334 0.834004774971131 
ant 	 2119.160793605484 0.834004774971131 
idx 	 111.53477861081493 1.8629215454834351 
html 	 20.721526429298663 1.9109456152781499 
architecture 	 2030.4272573635328 0.834004774971131 
arc 	 1000.9609908291479 1.177139548015937 
art 	 895.3376592631504 1.177139548015937 
black 	 914.0974318174474 1.177139548015937 
studies 	 564.922388937567 1.3642354475073695 
blk 	 2119.160793605484 0.834004774971131 
stu 	 2119.160793605484 0.834004774971131 
business 	 1437.6622203472211 0.834004774971131 
bus 	 2016.1104175710225 0.834004774971131 
ecology 	 2104.0219220979334 0.834004774971131 
eco 	 2104.0219220979334 0.834004774971131 
economics 	 667.307327219432 1.3642354475073695 
ecn 	 2104.0219220979334 0.834004774971131 
education 	 1718.2046325247934 0.834004774971131 
edu 	 1730.0548752003206 0.834004774971131 
film 	 1960.1045689764737 0.834004774971131 
flm 	 2119.160793605484 0.834004774971131 
gen 	 378.5550517931876 1.562971869776815 
healthcare 	 2089.026549161845 0.834004774971131 
med 	 1037.0859899641998 1.177139548015937 
history 	 290.3324257525828 1.6220451496855361 
law 	 132.32509337282525 1.7546833675952873 
linguistics 	 2089.026549161845 0.834004774971131 
lin 	 2074.1719799283997 0.834004774971131 
literature 	 1987.8596668442126 0.834004774971131 
lit 	 2104.0219220979334 0.834004774971131 
mass 	 1790.6753185263008 0.834004774971131 
media 	 1369.9209848038286 0.834004774971131 
mda 	 2119.160793605484 0.834004774971131 
medicine 	 1946.4075137168663 0.834004774971131 
music 	 2030.4272573635328 0.834004774971131 
mus 	 2104.0219220979334 0.834004774971131 
philosophy 	 88.27944597232751 1.8853952029242877 
phi 	 2119.160793605484 0.834004774971131 
political 	 78.84885152783019 1.8629215454834351 
science 	 865.0274376001603 1.177139548015937 
psi 	 2104.0219220979334 0.834004774971131 
psychology 	 2089.026549161845 0.834004774971131 
psy 	 2089.026549161845 0.834004774971131 
religion 	 672.0368058570075 1.3642354475073695 
rel 	 2104.0219220979334 0.834004774971131 
sci 	 2044.87484636063 0.834004774971131 
shakespeare 	 2119.160793605484 0.834004774971131 
sha 	 1044.5132745809226 1.177139548015937 
sociology 	 2104.0219220979334 0.834004774971131 
soc 	 2104.0219220979334 0.834004774971131 
sports 	 2001.9219816582959 0.834004774971131 
recreation 	 2044.87484636063 0.834004774971131 
spt 	 2059.45559473662 0.834004774971131 
urban 	 2016.1104175710225 0.834004774971131 
urb 	 2119.160793605484 0.834004774971131 
women's 	 2016.1104175710225 0.834004774971131 
wom 	 2119.160793605484 0.834004774971131 
home 	 706.5243856238104 0.834004774971131 
page 	 388.2819963411938 1.177139548015937 
topic 	 1044.5132745809226 1.177139548015937 
search 	 959.6820600712268 1.177139548015937 
custom 	 1029.72779736831 1.177139548015937 
comparative 	 1344.673146183878 1.3642354475073695 
specific 	 853.2212482787698 1.177139548015937 
paper 	 453.8973048124742 1.482011765899346 
click 	 973.2037568584332 1.177139548015937 
catalog 	 2074.1719799283997 0.834004774971131 
button 	 1892.7752589659383 0.834004774971131 
title 	 914.0974318174474 1.177139548015937 
description 	 1932.828031197085 0.834004774971131 
written 	 870.9972772577484 1.177139548015937 
pgs 	 23.64069575390936 1.9690686352295093 
pages 	 1840.9017592599669 0.834004774971131 
footnotes 	 2104.0219220979334 0.834004774971131 
sources 	 1840.9017592599669 0.834004774971131 
price 	 1815.5892192498968 0.834004774971131 
locke 	 380.45583438187737 1.8804971575800624 
watergate 	 1730.114104644097 1.482011765899346 
compares 	 313.1315579300445 1.7744700501868722 
locke's 	 1104.0832221963121 1.6670501269129718 
treatise 	 1932.1456388435465 1.482011765899346 
government 	 186.6625903279123 1.7546833675952873 
dilemma 	 5673.116874480113 0.834004774971131 
mature 	 6920.456418576388 0.834004774971131 
selfishness 	 7728.582555374186 0.834004774971131 
question 	 1549.2404106520646 1.177139548015937 
ethics 	 1631.3396916851343 1.3642354475073695 
comparison 	 91.93835115086432 1.904887095697011 
objectivity 	 9466.587196047136 0.834004774971131 
subjectivity 	 6920.456418576388 0.834004774971131 
afn 	 229.6014797878684 1.7546833675952873 
liberalism 	 3194.078670120815 1.177139548015937 
freedom 	 380.3707941703375 1.702477608390926 
research 	 1815.5892192498968 0.834004774971131 
liberty 	 748.8222393376545 1.702477608390926 
white 	 3342.3471967908517 0.834004774971131 
