term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 257.192713256797 1.7098737472737862 
logo_asm 	 771.5781397703911 1.3253538122029438 
gif 	 33.17583468993069 1.84359238481395 
subject 	 509.2242352490834 1.3253538122029438 
index 	 125.23973638808755 1.594240958468041 
anthropology 	 766.0661359850882 1.3253538122029438 
ant 	 771.5781397703911 1.3253538122029438 
idx 	 40.609375777389 1.9478158593945578 
html 	 7.544626563385606 1.9666307980433066 
architecture 	 739.2706069793899 1.3253538122029438 
arc 	 364.4459739049236 1.594240958468041 
art 	 325.98893282906107 1.594240958468041 
black 	 665.6385849896963 1.3253538122029438 
studies 	 154.26452087296394 1.7742171177611286 
blk 	 771.5781397703911 1.3253538122029438 
stu 	 771.5781397703911 1.3253538122029438 
business 	 523.4471801011374 1.3253538122029438 
bus 	 734.0579017199171 1.3253538122029438 
ecology 	 127.67768933084804 1.84359238481395 
eco 	 766.0661359850882 1.3253538122029438 
economics 	 728.8919478098472 1.3253538122029438 
ecn 	 766.0661359850882 1.3253538122029438 
education 	 625.5915729040967 1.3253538122029438 
edu 	 629.9061998200915 1.3253538122029438 
film 	 713.6663917385896 1.3253538122029438 
flm 	 771.5781397703911 1.3253538122029438 
gen 	 137.83041076667263 1.8152012548781284 
healthcare 	 760.606379467271 1.3253538122029438 
med 	 377.59894451288187 1.594240958468041 
history 	 317.1266951330361 1.594240958468041 
law 	 240.89523951563638 1.594240958468041 
linguistics 	 760.606379467271 1.3253538122029438 
lin 	 755.1978890257637 1.3253538122029438 
literature 	 723.7719140975136 1.3253538122029438 
lit 	 766.0661359850882 1.3253538122029438 
mass 	 651.9778656581221 1.3253538122029438 
media 	 498.78286172377074 1.3253538122029438 
mda 	 771.5781397703911 1.3253538122029438 
medicine 	 708.6793475985556 1.3253538122029438 
music 	 739.2706069793899 1.3253538122029438 
mus 	 766.0661359850882 1.3253538122029438 
philosophy 	 739.2706069793899 1.3253538122029438 
phi 	 771.5781397703911 1.3253538122029438 
political 	 272.73129934278563 1.594240958468041 
science 	 314.95309991004575 1.594240958468041 
psi 	 766.0661359850882 1.3253538122029438 
psychology 	 760.606379467271 1.3253538122029438 
psy 	 760.606379467271 1.3253538122029438 
religion 	 734.0579017199171 1.3253538122029438 
rel 	 766.0661359850882 1.3253538122029438 
sci 	 744.530917511835 1.3253538122029438 
shakespeare 	 771.5781397703911 1.3253538122029438 
sha 	 380.3031897336355 1.594240958468041 
sociology 	 766.0661359850882 1.3253538122029438 
soc 	 766.0661359850882 1.3253538122029438 
sports 	 728.8919478098472 1.3253538122029438 
recreation 	 744.530917511835 1.3253538122029438 
spt 	 749.8397108522712 1.3253538122029438 
urban 	 734.0579017199171 1.3253538122029438 
urb 	 771.5781397703911 1.3253538122029438 
women's 	 734.0579017199171 1.3253538122029438 
wom 	 771.5781397703911 1.3253538122029438 
home 	 128.6213799365723 1.594240958468041 
page 	 141.37195315583287 1.594240958468041 
topic 	 760.606379467271 1.3253538122029438 
search 	 349.4164769917994 1.594240958468041 
custom 	 374.9198554261356 1.594240958468041 
