term 	 tf-idf weight 	 BM25 ranking 
 aaa 	 337.17518199126175 1.8625584213259478 
industrial 	 165.04635847046907 1.8625584213259478 
robot 	 99.80601383824886 1.9426590597241278 
store 	 253.79802467698264 1.8625584213259478 
keep 	 391.8404702004544 1.7427923550372533 
simple 	 436.97895526701967 1.7427923550372533 
nachi's 	 499.65867943738044 1.8625584213259478 
series 	 63.191803955856905 1.9519864546169194 
robots 	 116.86758967203295 1.9426590597241278 
previous 	 379.15082373514144 1.7427923550372533 
page 	 20.494024459222302 1.9288339159272205 
dprevpag 	 883.56177972125 1.7427923550372533 
gif 	 9.618688182670876 1.9519864546169194 
nextpage 	 767.8062005677391 1.7427923550372533 
p0000282 	 499.65867943738044 1.8625584213259478 
htm 	 13.695254835862595 1.9637724141077704 
p0000276 	 499.65867943738044 1.8625584213259478 
home 	 18.6456340706663 1.9288339159272205 
homepage 	 499.0300691912443 1.7427923550372533 
index 	 36.31082634862955 1.8625584213259478 
mail 	 58.931914422070186 1.9426590597241278 
mail5 	 383.90310028386955 1.8625584213259478 
m0000252 	 999.3173588747609 1.7427923550372533 
purpose 	 315.56181698367 1.7427923550372533 
light 	 168.13930465577823 1.8625584213259478 
weight 	 182.35765843023057 1.9062241644029763 
fastest 	 700.0935275136756 1.7427923550372533 
speed 	 263.0853652086863 1.8625584213259478 
class 	 169.72982893583122 1.8625584213259478 
designed 	 315.56181698367 1.7427923550372533 
rigid 	 815.8491066671864 1.7427923550372533 
line 	 271.74698481759896 1.7427923550372533 
wrists 	 999.3173588747609 1.7427923550372533 
featuring 	 652.0506214142282 1.7427923550372533 
internally 	 815.8491066671864 1.7427923550372533 
routed 	 883.56177972125 1.7427923550372533 
air 	 405.5742326060287 1.7427923550372533 
lines 	 405.5742326060287 1.7427923550372533 
application 	 287.4498194088611 1.7427923550372533 
cables 	 883.56177972125 1.7427923550372533 
low 	 165.04635847046907 1.8625584213259478 
maintenance 	 212.92074786287068 1.8625584213259478 
components 	 468.58236920665394 1.7427923550372533 
nachi 	 441.780889860625 1.8625584213259478 
demonstrates 	 584.3379483601648 1.7427923550372533 
exceptional 	 652.0506214142282 1.7427923550372533 
value 	 315.56181698367 1.7427923550372533 
innovative 	 526.1707304173726 1.7427923550372533 
robotics 	 584.3379483601648 1.7427923550372533 
engineering 	 468.58236920665394 1.7427923550372533 
include 	 285.11411699907956 1.7427923550372533 
sc15 	 999.3173588747609 1.7427923550372533 
sc35 	 999.3173588747609 1.7427923550372533 
sc50 	 999.3173588747609 1.7427923550372533 
models 	 420.5394631072065 1.7427923550372533 
features 	 227.60761851258667 1.8625584213259478 
accuracy 	 598.8688483174329 1.7427923550372533 
competitively 	 999.3173588747609 1.7427923550372533 
priced 	 883.56177972125 1.7427923550372533 
flexible 	 614.7856483447551 1.7427923550372533 
installation 	 584.3379483601648 1.7427923550372533 
options 	 499.0300691912443 1.7427923550372533 
largest 	 420.5394631072065 1.7427923550372533 
payload 	 767.8062005677391 1.7427923550372533 
space 	 349.3833690902862 1.7427923550372533 
saving 	 632.3808544596122 1.7427923550372533 
controller 	 674.3503639825235 1.7427923550372533 
improved 	 516.6252753061013 1.7427923550372533 
ergonomic 	 883.56177972125 1.7427923550372533 
design 	 312.8014235578178 1.7427923550372533 
user 	 461.7650961217713 1.7427923550372533 
friendly 	 570.9708161786841 1.7427923550372533 
easy 	 461.7650961217713 1.7427923550372533 
operation 	 396.29406746317534 1.7427923550372533 
teach 	 632.3808544596122 1.7427923550372533 
pendant 	 815.8491066671864 1.7427923550372533 
simultaneous 	 632.3808544596122 1.7427923550372533 
axis 	 632.3808544596122 1.7427923550372533 
control 	 235.34062546469585 1.7427923550372533 
hot 	 598.8688483174329 1.7427923550372533 
edit 	 815.8491066671864 1.7427923550372533 
memory 	 598.8688483174329 1.7427923550372533 
capacity 	 461.7650961217713 1.7427923550372533 
menu 	 584.3379483601648 1.7427923550372533 
driven 	 652.0506214142282 1.7427923550372533 
interactive 	 598.8688483174329 1.7427923550372533 
teaching 	 455.21523702517334 1.7427923550372533 
slim 	 883.56177972125 1.7427923550372533 
language 	 359.9342456610819 1.7427923550372533 
remote 	 547.0729752906917 1.7427923550372533 
display 	 632.3808544596122 1.7427923550372533 
capability 	 516.6252753061013 1.7427923550372533 
return 	 253.5107030594453 1.7427923550372533 
movement 	 278.2968439141969 1.7427923550372533 
applications 	 391.8404702004544 1.7427923550372533 
arc 	 211.32804736848001 1.7427923550372533 
welding 	 730.541227498266 1.7427923550372533 
material 	 321.2233761135088 1.7427923550372533 
handling 	 558.5947848290126 1.7427923550372533 
sealing 	 999.3173588747609 1.7427923550372533 
cutting 	 584.3379483601648 1.7427923550372533 
palletizing 	 999.3173588747609 1.7427923550372533 
assembly 	 598.8688483174329 1.7427923550372533 
information 	 138.7176625936317 1.7427923550372533 
send 	 176.4659934535076 1.7427923550372533 
email 	 558.5947848290126 1.7427923550372533 
reveals 	 547.0729752906917 1.7427923550372533 
secrets 	 584.3379483601648 1.7427923550372533 
phone 	 379.15082373514144 1.7427923550372533 
est 	 700.0935275136756 1.7427923550372533 
click 	 205.4677969599979 1.7427923550372533 
icon 	 730.541227498266 1.7427923550372533 
modified 	 499.0300691912443 1.7427923550372533 
saturday 	 652.0506214142282 1.7427923550372533 
january 	 387.50256397110985 1.7427923550372533 
