term 	 tf-idf weight 	 BM25 ranking 
 appendix 	 871.8416654225416 1.6321836992361005 
minnesota 	 13.322712380564337 1.9948914396226927 
notice 	 775.0718118877912 1.6321836992361005 
capacity 	 705.0904162338423 1.6321836992361005 
requirements 	 560.9353949260769 1.6321836992361005 
county 	 121.02393677019127 1.9137465733145604 
telecommunications 	 818.8936274040893 1.6321836992361005 
carriers 	 914.4404570116491 1.6321836992361005 
providing 	 523.2882152305305 1.6321836992361005 
local 	 399.09939658710107 1.6321836992361005 
services 	 359.3524520568709 1.6321836992361005 
represent 	 726.3527265133004 1.6321836992361005 
historical 	 212.4721413117372 1.797468227809482 
simultaneous 	 482.8057421772488 1.797468227809482 
interceptions 	 278.8742709761345 1.8933332630896842 
estimation 	 892.2525558792936 1.6321836992361005 
requirement 	 342.7326753720648 1.797468227809482 
pen 	 995.6461584468755 1.6321836992361005 
register 	 852.9441325233427 1.6321836992361005 
trap 	 1069.0050869220795 1.6321836992361005 
trace 	 1029.6966635661288 1.6321836992361005 
call 	 481.84588820859784 1.6321836992361005 
content 	 528.3378851910563 1.6321836992361005 
conducted 	 235.03013874461413 1.8602619183187536 
estimated 	 342.7326753720648 1.797468227809482 
actual 	 642.1410963613033 1.6321836992361005 
maximum 	 715.5000248365075 1.6321836992361005 
experience 	 457.54179235849506 1.6321836992361005 
aitkin 	 1525.9037515752336 1.6321836992361005 
anoka 	 1525.9037515752336 1.6321836992361005 
becker 	 1349.1512205324475 1.6321836992361005 
beltrami 	 1525.9037515752336 1.6321836992361005 
benton 	 1525.9037515752336 1.6321836992361005 
stone 	 1069.0050869220795 1.6321836992361005 
blue 	 761.9920218189659 1.6321836992361005 
earth 	 705.0904162338423 1.6321836992361005 
brown 	 761.9920218189659 1.6321836992361005 
carlton 	 1349.1512205324475 1.6321836992361005 
carver 	 1349.1512205324475 1.6321836992361005 
cass 	 1245.7576179648656 1.6321836992361005 
chippewa 	 1525.9037515752336 1.6321836992361005 
chisago 	 1525.9037515752336 1.6321836992361005 
clay 	 995.6461584468755 1.6321836992361005 
clearwater 	 1349.1512205324475 1.6321836992361005 
cook 	 892.2525558792936 1.6321836992361005 
cottonwood 	 1525.9037515752336 1.6321836992361005 
crow 	 1245.7576179648656 1.6321836992361005 
wing 	 938.7445528617519 1.6321836992361005 
dakota 	 1172.3986894896616 1.6321836992361005 
dodge 	 1525.9037515752336 1.6321836992361005 
douglas 	 892.2525558792936 1.6321836992361005 
faribault 	 1525.9037515752336 1.6321836992361005 
fillmore 	 1525.9037515752336 1.6321836992361005 
freeborn 	 1525.9037515752336 1.6321836992361005 
goodhue 	 1525.9037515752336 1.6321836992361005 
grant 	 871.8416654225416 1.6321836992361005 
