term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 1582.1204858864255 1.2327084984525858 
eeeeeee 	 2451.4758014100453 1.0343051169012518 
zzzzzzz 	 4902.951602820091 0.6975128310033996 
tttttttnn 	 9805.903205640181 0.42241667889073187 
eeee 	 4902.951602820091 0.6975128310033996 
hazai 	 5014.187811674787 0.6975128310033996 
sajto 	 10511.873767426721 0.42241667889073187 
sajtokivonatok 	 14448.638737551611 0.42241667889073187 
napi 	 3592.0282653432796 0.8909133698154168 
hetilapokbol 	 10776.084796029838 0.42241667889073187 
szent 	 5192.857572578085 0.6975128310033996 
hirek 	 5255.936883713361 0.6975128310033996 
sorok 	 10776.084796029838 0.42241667889073187 
kozt 	 11359.90812644977 0.42241667889073187 
olvaso 	 3592.0282653432796 0.8909133698154168 
szabad 	 9698.910149098572 0.42241667889073187 
velemenyeivel 	 13314.955130202497 0.42241667889073187 
tarkitva 	 13314.955130202497 0.42241667889073187 
magyar 	 287.6582701611683 1.796668248667217 
nsz 	 1279.9331947228093 1.4134651286045707 
nepszabadsag 	 10263.213814329805 0.42241667889073187 
hirlap 	 3461.90504838539 0.8909133698154168 
nszv 	 5759.699376252643 0.6975128310033996 
nepszava 	 10914.654587279798 0.42241667889073187 
esti 	 5759.699376252643 0.6975128310033996 
hvg 	 12421.96290036488 0.42241667889073187 
heti 	 12037.516165667479 0.42241667889073187 
vilaggazdasag 	 5842.572743145525 0.6975128310033996 
gazdasag 	 5320.957398476211 0.6975128310033996 
copyright 	 3295.982462597529 0.42241667889073187 
egyszer 	 10776.084796029838 0.42241667889073187 
mar 	 581.0080830778435 1.621512481893094 
megjelent 	 2660.4786992381055 1.0343051169012518 
hetilap 	 12037.516165667479 0.42241667889073187 
anyagot 	 12225.369314291824 0.42241667889073187 
szabadon 	 11685.14548629105 0.42241667889073187 
utankozolhetonek 	 12628.1501341449 0.42241667889073187 
tart 	 10776.084796029838 0.42241667889073187 
kulfold 	 11206.218462183655 0.42241667889073187 
jelenlegi 	 1730.952524192695 1.2327084984525858 
