term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 185.30377778050482 1.7821342263685622 
logo_asm 	 555.9113333415144 1.4633256512781256 
gif 	 23.902728118613258 1.8847921514194261 
subject 	 366.88898893814167 1.4633256512781256 
index 	 90.23349062683391 1.6900814980977505 
anthropology 	 551.9400111698118 1.4633256512781256 
ant 	 555.9113333415144 1.4633256512781256 
idx 	 29.258491228500755 1.9621258315254089 
html 	 5.435798652439282 1.9758453061596997 
architecture 	 532.6342046813313 1.4633256512781256 
arc 	 262.5782624488599 1.6900814980977505 
art 	 234.87049847927145 1.6900814980977505 
black 	 159.86111850157636 1.7821342263685622 
studies 	 148.19392630157415 1.7821342263685622 
blk 	 555.9113333415144 1.4633256512781256 
stu 	 555.9113333415144 1.4633256512781256 
business 	 377.1364231631459 1.4633256512781256 
bus 	 528.8785229405653 1.4633256512781256 
ecology 	 551.9400111698118 1.4633256512781256 
eco 	 551.9400111698118 1.4633256512781256 
economics 	 525.1565248977198 1.4633256512781256 
ecn 	 551.9400111698118 1.4633256512781256 
education 	 64.39000564365082 1.9004310494611505 
edu 	 453.8386682731562 1.4633256512781256 
film 	 514.1867232144352 1.4633256512781256 
flm 	 555.9113333415144 1.4633256512781256 
gen 	 99.30489664612698 1.8633251828670148 
healthcare 	 548.0063324286762 1.4633256512781256 
med 	 272.0547950917465 1.6900814980977505 
history 	 456.9707586118402 1.4633256512781256 
law 	 173.56167430380052 1.6900814980977505 
linguistics 	 548.0063324286762 1.4633256512781256 
lin 	 544.109590183493 1.4633256512781256 
literature 	 521.4676117195627 1.4633256512781256 
lit 	 551.9400111698118 1.4633256512781256 
mass 	 469.7409969585429 1.4633256512781256 
media 	 359.36612433223064 1.4633256512781256 
mda 	 555.9113333415144 1.4633256512781256 
medicine 	 510.59362717604273 1.4633256512781256 
music 	 532.6342046813313 1.4633256512781256 
mus 	 551.9400111698118 1.4633256512781256 
philosophy 	 532.6342046813313 1.4633256512781256 
phi 	 555.9113333415144 1.4633256512781256 
political 	 196.49911324176395 1.6900814980977505 
science 	 226.9193341365781 1.6900814980977505 
psi 	 551.9400111698118 1.4633256512781256 
psychology 	 548.0063324286762 1.4633256512781256 
psy 	 548.0063324286762 1.4633256512781256 
religion 	 528.8785229405653 1.4633256512781256 
rel 	 551.9400111698118 1.4633256512781256 
sci 	 536.4241853600895 1.4633256512781256 
shakespeare 	 555.9113333415144 1.4633256512781256 
sha 	 274.0031662143381 1.6900814980977505 
sociology 	 551.9400111698118 1.4633256512781256 
soc 	 551.9400111698118 1.4633256512781256 
sports 	 525.1565248977198 1.4633256512781256 
recreation 	 536.4241853600895 1.4633256512781256 
spt 	 540.2490972286329 1.4633256512781256 
urban 	 176.29284098018846 1.7821342263685622 
urb 	 555.9113333415144 1.4633256512781256 
women's 	 528.8785229405653 1.4633256512781256 
wom 	 555.9113333415144 1.4633256512781256 
home 	 185.33983567249135 1.4633256512781256 
page 	 101.85652874942821 1.6900814980977505 
topic 	 548.0063324286762 1.4633256512781256 
search 	 251.74971866596658 1.6900814980977505 
custom 	 270.12454861431644 1.6900814980977505 
financing 	 600.2754691707415 1.6900814980977505 
funding 	 600.2754691707415 1.6900814980977505 
specific 	 223.82226171661787 1.6900814980977505 
paper 	 95.25531302006412 1.8633251828670148 
click 	 255.29681358802137 1.6900814980977505 
catalog 	 544.109590183493 1.4633256512781256 
button 	 496.52448323063487 1.4633256512781256 
title 	 239.7916777523645 1.6900814980977505 
description 	 507.0313735441152 1.4633256512781256 
written 	 456.9707586118402 1.4633256512781256 
pgs 	 39.42428651212941 1.9489446426427124 
pages 	 482.9167067590937 1.4633256512781256 
footnotes 	 551.9400111698118 1.4633256512781256 
sources 	 482.9167067590937 1.4633256512781256 
price 	 476.2765651003206 1.4633256512781256 
students 	 344.0943061588649 1.7821342263685622 
federal 	 184.59652985948327 1.8320262020976972 
aid 	 932.2006648975863 1.4633256512781256 
innovative 	 1307.5500187018542 1.4633256512781256 
approach 	 843.5674132738917 1.4633256512781256 
seeking 	 1085.9057870407973 1.4633256512781256 
financial 	 348.5732714027268 1.6900814980977505 
support 	 576.3588186793293 1.4633256512781256 
government 	 122.41620573022063 1.8320262020976972 
legislatures 	 1908.0213966204294 1.4633256512781256 
notes 	 732.2378588370997 1.4633256512781256 
bills 	 1332.7092367556747 1.4633256512781256 
educational 	 286.6146697441678 1.7821342263685622 
comparing 	 1418.8795731386463 1.4633256512781256 
