term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 872.4905585135094 1.2693531402995535 
logo_asm 	 2617.471675540528 0.7334558943580567 
gif 	 112.54441143077182 1.553032769269152 
subject 	 863.7362462471432 1.0733019630891927 
index 	 424.85841128875535 1.0733019630891927 
anthropology 	 2598.7729682549693 0.7334558943580567 
ant 	 2617.471675540528 0.7334558943580567 
idx 	 137.761667133712 1.833373643609332 
html 	 25.5940977514852 1.891144642837347 
architecture 	 2507.872857704389 0.7334558943580567 
arc 	 1236.3323489760778 1.0733019630891927 
art 	 1105.872178381919 1.0733019630891927 
black 	 752.6954832580245 1.2693531402995535 
studies 	 348.8806409557541 1.553032769269152 
blk 	 2617.471675540528 0.7334558943580567 
stu 	 2617.471675540528 0.7334558943580567 
business 	 161.42925977235203 1.728633326267021 
bus 	 2490.189479098469 0.7334558943580567 
ecology 	 2598.7729682549693 0.7334558943580567 
eco 	 2598.7729682549693 0.7334558943580567 
economics 	 1236.3323489760778 1.0733019630891927 
ecn 	 2598.7729682549693 0.7334558943580567 
education 	 2122.232523358689 0.7334558943580567 
edu 	 2136.869295917463 0.7334558943580567 
film 	 2421.0141136409793 0.7334558943580567 
flm 	 2617.471675540528 0.7334558943580567 
gen 	 467.5705254133304 1.4865871931719508 
healthcare 	 2580.2515025677912 0.7334558943580567 
med 	 1280.9519749621027 1.0733019630891927 
history 	 239.0685039698891 1.678037390159558 
law 	 817.2036423846415 1.0733019630891927 
linguistics 	 2580.2515025677912 0.7334558943580567 
lin 	 2561.9039499242053 0.7334558943580567 
literature 	 818.4318982329523 1.2693531402995535 
lit 	 2598.7729682549693 0.7334558943580567 
mass 	 737.2481189212793 1.2693531402995535 
media 	 564.0171943334769 1.2693531402995535 
mda 	 2617.471675540528 0.7334558943580567 
medicine 	 2404.0962590409335 0.7334558943580567 
music 	 835.9576192347963 1.2693531402995535 
mus 	 2598.7729682549693 0.7334558943580567 
philosophy 	 2507.872857704389 0.7334558943580567 
phi 	 2617.471675540528 0.7334558943580567 
political 	 1850.4061073465386 0.7334558943580567 
science 	 1068.4346479587316 1.0733019630891927 
psi 	 2598.7729682549693 0.7334558943580567 
psychology 	 2580.2515025677912 0.7334558943580567 
psy 	 2580.2515025677912 0.7334558943580567 
religion 	 2490.189479098469 0.7334558943580567 
rel 	 2598.7729682549693 0.7334558943580567 
sci 	 2525.7177305870237 0.7334558943580567 
shakespeare 	 2617.471675540528 0.7334558943580567 
sha 	 1290.1257512838956 1.0733019630891927 
sociology 	 2598.7729682549693 0.7334558943580567 
soc 	 2598.7729682549693 0.7334558943580567 
sports 	 2472.6646979521556 0.7334558943580567 
recreation 	 2525.7177305870237 0.7334558943580567 
spt 	 2543.727074662045 0.7334558943580567 
urban 	 2490.189479098469 0.7334558943580567 
urb 	 2617.471675540528 0.7334558943580567 
women's 	 1245.0947395492344 1.0733019630891927 
wom 	 2617.471675540528 0.7334558943580567 
home 	 436.33016735427486 1.0733019630891927 
page 	 479.58471608766916 1.0733019630891927 
topic 	 2580.2515025677912 0.7334558943580567 
search 	 1185.3468681284305 1.0733019630891927 
custom 	 1271.8635373310226 1.0733019630891927 
marketing 	 34.73309194210161 1.974173960964008 
market 	 160.53313990786023 1.8603284039255212 
research 	 106.78650696569439 1.8480370570037832 
specific 	 702.5681917980263 1.2693531402995535 
