term 	 tf-idf weight 	 BM25 ranking 
 http 	 150.16521169206067 1.5355580403971436 
www 	 148.83090200980195 1.5355580403971436 
camecon 	 1672.0021362685304 1.5355580403971436 
demon 	 1497.1720665346202 1.5355580403971436 
gifs 	 1781.7510992336893 1.4252348926571359 
lefm 	 178.08714713610357 1.9487465928658394 
gif 	 157.7004086476219 1.4252348926571359 
issue 	 647.8053647137652 1.4252348926571359 
version 	 239.08681607250512 1.8297189794348947 
released_ 	 8192.008768260765 0.9050460198867157 
annual 	 1341.352517005799 1.4252348926571359 
conference 	 384.3923826038541 1.7372737461548298 
june_ 	 8192.008768260765 0.9050460198867157 
developments 	 605.0367989718183 1.6643937567172284 
enhanced 	 864.0013869812466 1.6643937567172284 
software_ 	 7243.090278074199 0.9050460198867157 
description 	 836.2963257613177 1.2461709917036132 
lefm_ 	 8192.008768260765 0.9050460198867157 
contact 	 552.5586645583528 1.5355580403971436 
names 	 2156.6698501239016 1.2461709917036132 
addresses_ 	 8192.008768260765 0.9050460198867157 
regular 	 4161.071805781907 0.9050460198867157 
biannual 	 8192.008768260765 0.9050460198867157 
series 	 518.0214348237611 1.6643937567172284 
newsletters 	 7243.090278074199 0.9050460198867157 
users 	 292.2036632689536 1.8409144361836947 
aim 	 2289.5696420087374 1.2461709917036132 
keep 	 3212.1533155953416 0.9050460198867157 
abreast 	 6688.008545074122 0.9050460198867157 
current 	 964.6147193448162 1.2461709917036132 
issues 	 271.6128133466443 1.7052723310601683 
providing 	 936.4464923537205 1.4252348926571359 
support 	 316.881615571085 1.6643937567172284 
updating 	 3621.5451390370995 1.2461709917036132 
software 	 480.1566343143033 1.7372737461548298 
editors 	 2592.00416094374 1.2461709917036132 
pleased 	 5739.090054887556 0.9050460198867157 
receive 	 1554.0643044712833 1.2461709917036132 
comments 	 1549.5793369548078 0.9050460198867157 
suggestions 	 1949.7585933268788 1.2461709917036132 
subsequent 	 3582.180777009281 0.9050460198867157 
write 	 2782.7561175227897 0.9050460198867157 
email 	 2289.5696420087374 1.2461709917036132 
newsletter 	 1259.9424439879788 1.5355580403971436 
saxon 	 2414.3634260247327 1.4252348926571359 
brettell 	 2730.6695894202544 1.4252348926571359 
rob 	 2414.3634260247327 1.4252348926571359 
wilson 	 616.1913857496862 1.7052723310601683 
addresses 	 1299.8390622179193 1.4252348926571359 
published 	 1624.3310729254101 1.2461709917036132 
electronic 	 3841.2530745144263 0.9050460198867157 
paper 	 1571.1388376441903 0.9050460198867157 
versions 	 5184.00832188748 0.9050460198867157 
released 	 557.0738838076797 1.7052723310601683 
local 	 48.695817640618664 1.9464792362119359 
economy 	 212.05224143137764 1.8297189794348947 
forecasting 	 798.3619274501652 1.6643937567172284 
model_ 	 8192.008768260765 0.9050460198867157 
march 	 993.5626065883986 1.4252348926571359 
round 	 4161.071805781907 0.9050460198867157 
ier 	 1170.286966894395 1.7052723310601683 
forecasts 	 1336.3133244252672 1.5355580403971436 
receiving 	 4484.688042951838 0.9050460198867157 
standard 	 2921.1567015196933 0.9050460198867157 
incorporates 	 6688.008545074122 0.9050460198867157 
additional 	 1702.644958306576 1.2461709917036132 
features 	 1243.8915359031182 1.4252348926571359 
reflecting 	 2080.5359028909534 1.2461709917036132 
designed 	 517.3702125157416 1.6103494246396404 
model 	 130.186671824878 1.8957482880487921 
versatile 	 6294.171787887633 0.9050460198867157 
includes 	 1873.9087807050794 0.9050460198867157 
flexible 	 5039.769775951915 0.9050460198867157 
tabulations 	 8192.008768260765 0.9050460198867157 
options 	 4090.85128576535 0.9050460198867157 
regarding 	 2609.860007553834 0.9050460198867157 
occupation 	 2340.2965489479598 1.2461709917036132 
assumptions 	 1728.0027739624932 1.4252348926571359 
addition 	 1014.3086032920921 1.4252348926571359 
locally 	 2764.02888710202 1.2461709917036132 
based 	 280.7239661060251 1.6643937567172284 
existed 	 5039.769775951915 0.9050460198867157 
user 	 1892.6838820080984 1.2461709917036132 
impose 	 5988.688266138481 0.9050460198867157 
national 	 260.05277448315866 1.6643937567172284 
regional 	 560.7368683435398 1.6643937567172284 
trends 	 1682.2106050306195 1.2461709917036132 
change 	 731.0047684640732 1.4252348926571359 
sic92'ed 	 8192.008768260765 0.9050460198867157 
updates 	 7243.090278074199 0.9050460198867157 
include 	 2337.252851327784 0.9050460198867157 
data 	 135.27903856848562 1.8671231722935897 
census 	 2098.057262629211 1.4252348926571359 
employment 	 498.69718361722835 1.7052723310601683 
set 	 507.94233239465774 1.5355580403971436 
level 	 203.1769329578631 1.7841479981405113 
basis 	 1352.9848188387555 1.2461709917036132 
sic92 	 2730.6695894202544 1.4252348926571359 
classification 	 2242.344021475919 1.2461709917036132 
major 	 261.97680390517496 1.7052723310601683 
reclassification 	 2730.6695894202544 1.4252348926571359 
sic80 	 8192.008768260765 0.9050460198867157 
initially 	 5528.05777420404 0.9050460198867157 
evident 	 8192.008768260765 0.9050460198867157 
nomis 	 8192.008768260765 0.9050460198867157 
inconsistencies 	 7243.090278074199 0.9050460198867157 
withdrawn 	 6294.171787887633 0.9050460198867157 
dual 	 1728.0027739624932 1.4252348926571359 
classified 	 2994.3441330692403 1.2461709917036132 
essential 	 1682.2106050306195 1.2461709917036132 
understanding 	 3364.421210061239 0.9050460198867157 
effect 	 1079.6050593780008 1.2461709917036132 
changes 	 565.8087063521941 1.5355580403971436 
know 	 3405.289916613152 0.9050460198867157 
revision 	 4909.290139799795 0.9050460198867157 
required 	 2836.4492738296317 0.9050460198867157 
office 	 561.3347864357676 1.5355580403971436 
statistics 	 4313.339700247803 0.9050460198867157 
ons 	 3621.5451390370995 1.2461709917036132 
formed 	 3899.5171866537576 0.9050460198867157 
merger 	 5988.688266138481 0.9050460198867157 
opcs 	 8192.008768260765 0.9050460198867157 
cso 	 8192.008768260765 0.9050460198867157 
overnight 	 7243.090278074199 0.9050460198867157 
manufacturing 	 4161.071805781907 0.9050460198867157 
reclassified 	 8192.008768260765 0.9050460198867157 
business 	 414.69860506855156 1.4252348926571359 
services 	 643.0764795632108 1.4252348926571359 
analysts 	 3147.0858939438167 1.2461709917036132 
look 	 2193.0143053922197 0.9050460198867157 
carefully 	 4909.290139799795 0.9050460198867157 
sets 	 2289.5696420087374 1.2461709917036132 
principle 	 4090.85128576535 0.9050460198867157 
coded 	 6688.008545074122 0.9050460198867157 
fuller 	 5345.253297701069 0.9050460198867157 
time 	 652.6696269372599 1.2461709917036132 
guide 	 1949.7585933268788 1.2461709917036132 
economic 	 120.4156222410273 1.8671231722935897 
restructuring 	 2869.545027443778 1.2461709917036132 
break 	 3960.3716496132292 0.9050460198867157 
concern 	 3075.139060830833 0.9050460198867157 
practitioners 	 1842.68592473468 1.4252348926571359 
news 	 2498.497827141373 0.9050460198867157 
future 	 692.7268512742128 1.4252348926571359 
available 	 357.1026626978702 1.6643937567172284 
annually 	 5988.688266138481 0.9050460198867157 
year's 	 2519.8848879759576 1.2461709917036132 
delay 	 4680.5930978959195 0.9050460198867157 
sample 	 5039.769775951915 0.9050460198867157 
full 	 1178.2000082956015 1.2461709917036132 
assessed 	 5988.688266138481 0.9050460198867157 
information 	 126.35028615481157 1.7630064167874724 
established 	 821.5428353785873 1.5355580403971436 
linkage 	 5988.688266138481 0.9050460198867157 
procedure 	 3731.674607709355 0.9050460198867157 
constructing 	 7243.090278074199 0.9050460198867157 
consistent 	 1679.9232586506384 1.4252348926571359 
authorities 	 883.9423881913182 1.5355580403971436 
advantage 	 1767.8847763826363 1.2461709917036132 
access 	 2950.5986964671924 0.9050460198867157 
detailed 	 361.54182304098265 1.7372737461548298 
firms 	 4024.0575510173976 0.9050460198867157 
happy 	 5528.05777420404 0.9050460198867157 
agencies 	 608.5851619752553 1.6103494246396404 
undertake 	 6688.008545074122 0.9050460198867157 
thorough 	 4790.171564700991 0.9050460198867157 
analysis 	 240.62054237659294 1.7052723310601683 
establish 	 3899.5171866537576 0.9050460198867157 
agreed 	 1865.8373038546774 1.2461709917036132 
items 	 4484.688042951838 0.9050460198867157 
june 	 954.7022600491052 1.4252348926571359 
event 	 1320.1238832044098 1.4252348926571359 
intend 	 5345.253297701069 0.9050460198867157 
opportunity 	 3176.5928747092776 0.9050460198867157 
experiences 	 3447.416317327938 0.9050460198867157 
meet 	 2836.4492738296317 0.9050460198867157 
exchange 	 3248.6621458508203 0.9050460198867157 
discuss 	 3841.2530745144263 0.9050460198867157 
